Round   0, Devices participated 10, Average loss 0.099, Central accuracy on global test data 32.222, Local accuracy on global train data 20.037, Local accuracy on local train data 98.227
Round   1, Devices participated 10, Average loss 0.074, Central accuracy on global test data 35.697, Local accuracy on global train data 18.113, Local accuracy on local train data 97.813
Round   2, Devices participated 10, Average loss 0.040, Central accuracy on global test data 53.466, Local accuracy on global train data 20.471, Local accuracy on local train data 98.867
Round   3, Devices participated 10, Average loss 0.039, Central accuracy on global test data 61.969, Local accuracy on global train data 21.438, Local accuracy on local train data 98.813
Round   4, Devices participated 10, Average loss 0.032, Central accuracy on global test data 68.159, Local accuracy on global train data 22.302, Local accuracy on local train data 99.153
Round   5, Devices participated 10, Average loss 0.035, Central accuracy on global test data 67.758, Local accuracy on global train data 26.763, Local accuracy on local train data 99.030
Round   6, Devices participated 10, Average loss 0.028, Central accuracy on global test data 66.807, Local accuracy on global train data 26.155, Local accuracy on local train data 99.143
Round   7, Devices participated 10, Average loss 0.039, Central accuracy on global test data 87.350, Local accuracy on global train data 26.294, Local accuracy on local train data 98.783
Round   8, Devices participated 10, Average loss 0.026, Central accuracy on global test data 85.527, Local accuracy on global train data 32.979, Local accuracy on local train data 99.260
Round   9, Devices participated 10, Average loss 0.025, Central accuracy on global test data 86.318, Local accuracy on global train data 34.609, Local accuracy on local train data 99.253
Round  10, Devices participated 10, Average loss 0.029, Central accuracy on global test data 86.869, Local accuracy on global train data 37.942, Local accuracy on local train data 99.207
Round  11, Devices participated 10, Average loss 0.017, Central accuracy on global test data 83.624, Local accuracy on global train data 47.214, Local accuracy on local train data 99.577
Round  12, Devices participated 10, Average loss 0.026, Central accuracy on global test data 86.228, Local accuracy on global train data 40.884, Local accuracy on local train data 99.233
Round  13, Devices participated 10, Average loss 0.022, Central accuracy on global test data 90.355, Local accuracy on global train data 41.028, Local accuracy on local train data 99.390
Round  14, Devices participated 10, Average loss 0.038, Central accuracy on global test data 91.126, Local accuracy on global train data 47.905, Local accuracy on local train data 98.980
Round  15, Devices participated 10, Average loss 0.022, Central accuracy on global test data 91.336, Local accuracy on global train data 48.440, Local accuracy on local train data 99.397
Round  16, Devices participated 10, Average loss 0.034, Central accuracy on global test data 92.678, Local accuracy on global train data 45.339, Local accuracy on local train data 99.110
Round  17, Devices participated 10, Average loss 0.020, Central accuracy on global test data 91.276, Local accuracy on global train data 51.414, Local accuracy on local train data 99.560
Round  18, Devices participated 10, Average loss 0.026, Central accuracy on global test data 90.755, Local accuracy on global train data 49.795, Local accuracy on local train data 99.213
Round  19, Devices participated 10, Average loss 0.010, Central accuracy on global test data 90.745, Local accuracy on global train data 56.758, Local accuracy on local train data 99.720
Round  20, Devices participated 10, Average loss 0.015, Central accuracy on global test data 89.173, Local accuracy on global train data 50.938, Local accuracy on local train data 99.577
Round  21, Devices participated 10, Average loss 0.020, Central accuracy on global test data 89.613, Local accuracy on global train data 55.952, Local accuracy on local train data 99.453
Round  22, Devices participated 10, Average loss 0.017, Central accuracy on global test data 92.969, Local accuracy on global train data 61.401, Local accuracy on local train data 99.557
Round  23, Devices participated 10, Average loss 0.014, Central accuracy on global test data 80.940, Local accuracy on global train data 58.926, Local accuracy on local train data 99.603
Round  24, Devices participated 10, Average loss 0.019, Central accuracy on global test data 92.568, Local accuracy on global train data 54.221, Local accuracy on local train data 99.493
Round  25, Devices participated 10, Average loss 0.017, Central accuracy on global test data 90.184, Local accuracy on global train data 57.495, Local accuracy on local train data 99.533
Round  26, Devices participated 10, Average loss 0.017, Central accuracy on global test data 91.927, Local accuracy on global train data 61.599, Local accuracy on local train data 99.477
Round  27, Devices participated 10, Average loss 0.020, Central accuracy on global test data 91.757, Local accuracy on global train data 65.398, Local accuracy on local train data 99.470
Round  28, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.740, Local accuracy on global train data 62.866, Local accuracy on local train data 99.613
Round  29, Devices participated 10, Average loss 0.016, Central accuracy on global test data 94.231, Local accuracy on global train data 60.327, Local accuracy on local train data 99.487
Round  30, Devices participated 10, Average loss 0.016, Central accuracy on global test data 91.817, Local accuracy on global train data 59.578, Local accuracy on local train data 99.580
Round  31, Devices participated 10, Average loss 0.015, Central accuracy on global test data 92.849, Local accuracy on global train data 64.128, Local accuracy on local train data 99.620
Round  32, Devices participated 10, Average loss 0.008, Central accuracy on global test data 94.261, Local accuracy on global train data 69.536, Local accuracy on local train data 99.737
Round  33, Devices participated 10, Average loss 0.011, Central accuracy on global test data 91.256, Local accuracy on global train data 65.146, Local accuracy on local train data 99.670
Round  34, Devices participated 10, Average loss 0.007, Central accuracy on global test data 92.368, Local accuracy on global train data 69.797, Local accuracy on local train data 99.797
Round  35, Devices participated 10, Average loss 0.012, Central accuracy on global test data 93.730, Local accuracy on global train data 63.552, Local accuracy on local train data 99.687
Round  36, Devices participated 10, Average loss 0.014, Central accuracy on global test data 94.301, Local accuracy on global train data 68.828, Local accuracy on local train data 99.580
Round  37, Devices participated 10, Average loss 0.027, Central accuracy on global test data 93.650, Local accuracy on global train data 67.068, Local accuracy on local train data 99.260
Round  38, Devices participated 10, Average loss 0.009, Central accuracy on global test data 94.712, Local accuracy on global train data 69.475, Local accuracy on local train data 99.727
Round  39, Devices participated 10, Average loss 0.011, Central accuracy on global test data 95.052, Local accuracy on global train data 67.051, Local accuracy on local train data 99.700
Round  40, Devices participated 10, Average loss 0.014, Central accuracy on global test data 95.603, Local accuracy on global train data 64.941, Local accuracy on local train data 99.583
Round  41, Devices participated 10, Average loss 0.015, Central accuracy on global test data 94.692, Local accuracy on global train data 73.381, Local accuracy on local train data 99.567
Round  42, Devices participated 10, Average loss 0.017, Central accuracy on global test data 94.722, Local accuracy on global train data 70.427, Local accuracy on local train data 99.597
Round  43, Devices participated 10, Average loss 0.010, Central accuracy on global test data 95.302, Local accuracy on global train data 68.281, Local accuracy on local train data 99.773
Round  44, Devices participated 10, Average loss 0.020, Central accuracy on global test data 94.451, Local accuracy on global train data 67.415, Local accuracy on local train data 99.457
Round  45, Devices participated 10, Average loss 0.009, Central accuracy on global test data 94.942, Local accuracy on global train data 76.558, Local accuracy on local train data 99.760
Round  46, Devices participated 10, Average loss 0.017, Central accuracy on global test data 94.341, Local accuracy on global train data 70.229, Local accuracy on local train data 99.533
Round  47, Devices participated 10, Average loss 0.008, Central accuracy on global test data 94.401, Local accuracy on global train data 75.654, Local accuracy on local train data 99.760
Round  48, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.952, Local accuracy on global train data 75.308, Local accuracy on local train data 99.600
Round  49, Devices participated 10, Average loss 0.010, Central accuracy on global test data 94.221, Local accuracy on global train data 77.053, Local accuracy on local train data 99.693
Round  50, Devices participated 10, Average loss 0.011, Central accuracy on global test data 95.082, Local accuracy on global train data 74.756, Local accuracy on local train data 99.667
Round  51, Devices participated 10, Average loss 0.010, Central accuracy on global test data 95.443, Local accuracy on global train data 77.158, Local accuracy on local train data 99.743
Round  52, Devices participated 10, Average loss 0.010, Central accuracy on global test data 94.541, Local accuracy on global train data 72.800, Local accuracy on local train data 99.703
Round  53, Devices participated 10, Average loss 0.012, Central accuracy on global test data 94.381, Local accuracy on global train data 73.518, Local accuracy on local train data 99.677
Round  54, Devices participated 10, Average loss 0.004, Central accuracy on global test data 94.501, Local accuracy on global train data 77.085, Local accuracy on local train data 99.887
Round  55, Devices participated 10, Average loss 0.008, Central accuracy on global test data 95.202, Local accuracy on global train data 75.374, Local accuracy on local train data 99.773
Round  56, Devices participated 10, Average loss 0.009, Central accuracy on global test data 95.533, Local accuracy on global train data 75.510, Local accuracy on local train data 99.743
Round  57, Devices participated 10, Average loss 0.009, Central accuracy on global test data 94.271, Local accuracy on global train data 80.112, Local accuracy on local train data 99.783
Round  58, Devices participated 10, Average loss 0.013, Central accuracy on global test data 95.683, Local accuracy on global train data 68.774, Local accuracy on local train data 99.603
Round  59, Devices participated 10, Average loss 0.007, Central accuracy on global test data 95.002, Local accuracy on global train data 78.789, Local accuracy on local train data 99.797
Round  60, Devices participated 10, Average loss 0.009, Central accuracy on global test data 95.282, Local accuracy on global train data 76.504, Local accuracy on local train data 99.740
