Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 23.067, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.152, Central accuracy on global test data 14.804, Ensemble accuracy on global test data 14.609, Local accuracy on global train data 10.403, Local accuracy on local train data 98.600
Round   2, Devices participated 10, Average loss 0.192, Central accuracy on global test data 20.132, Ensemble accuracy on global test data 19.912, Local accuracy on global train data 11.475, Local accuracy on local train data 98.150
Round   3, Devices participated 10, Average loss 0.214, Central accuracy on global test data 28.776, Ensemble accuracy on global test data 31.289, Local accuracy on global train data 10.837, Local accuracy on local train data 98.200
Round   4, Devices participated 10, Average loss 0.130, Central accuracy on global test data 27.845, Ensemble accuracy on global test data 31.611, Local accuracy on global train data 13.120, Local accuracy on local train data 98.067
Round   5, Devices participated 10, Average loss 0.060, Central accuracy on global test data 33.964, Ensemble accuracy on global test data 29.844, Local accuracy on global train data 13.418, Local accuracy on local train data 98.900
Round   6, Devices participated 10, Average loss 0.095, Central accuracy on global test data 30.719, Ensemble accuracy on global test data 31.602, Local accuracy on global train data 14.961, Local accuracy on local train data 98.383
Round   7, Devices participated 10, Average loss 0.096, Central accuracy on global test data 18.850, Ensemble accuracy on global test data 14.121, Local accuracy on global train data 12.559, Local accuracy on local train data 98.483
Round   8, Devices participated 10, Average loss 0.106, Central accuracy on global test data 33.764, Ensemble accuracy on global test data 37.422, Local accuracy on global train data 14.358, Local accuracy on local train data 98.133
Round   9, Devices participated 10, Average loss 0.058, Central accuracy on global test data 43.750, Ensemble accuracy on global test data 33.467, Local accuracy on global train data 21.226, Local accuracy on local train data 98.567
Round  10, Devices participated 10, Average loss 0.052, Central accuracy on global test data 35.637, Ensemble accuracy on global test data 36.758, Local accuracy on global train data 23.218, Local accuracy on local train data 99.317
Round  11, Devices participated 10, Average loss 0.124, Central accuracy on global test data 55.769, Ensemble accuracy on global test data 48.379, Local accuracy on global train data 17.935, Local accuracy on local train data 98.400
Round  12, Devices participated 10, Average loss 0.037, Central accuracy on global test data 50.911, Ensemble accuracy on global test data 42.246, Local accuracy on global train data 23.174, Local accuracy on local train data 98.867
Round  13, Devices participated 10, Average loss 0.038, Central accuracy on global test data 36.569, Ensemble accuracy on global test data 41.699, Local accuracy on global train data 19.541, Local accuracy on local train data 99.100
Round  14, Devices participated 10, Average loss 0.040, Central accuracy on global test data 47.226, Ensemble accuracy on global test data 44.766, Local accuracy on global train data 19.360, Local accuracy on local train data 99.017
Round  15, Devices participated 10, Average loss 0.048, Central accuracy on global test data 68.079, Ensemble accuracy on global test data 59.023, Local accuracy on global train data 18.391, Local accuracy on local train data 98.983
Round  16, Devices participated 10, Average loss 0.035, Central accuracy on global test data 64.774, Ensemble accuracy on global test data 57.061, Local accuracy on global train data 25.627, Local accuracy on local train data 99.100
Round  17, Devices participated 10, Average loss 0.038, Central accuracy on global test data 71.334, Ensemble accuracy on global test data 63.828, Local accuracy on global train data 32.483, Local accuracy on local train data 98.900
Round  18, Devices participated 10, Average loss 0.017, Central accuracy on global test data 67.458, Ensemble accuracy on global test data 63.398, Local accuracy on global train data 36.001, Local accuracy on local train data 99.483
Round  19, Devices participated 10, Average loss 0.018, Central accuracy on global test data 65.635, Ensemble accuracy on global test data 61.064, Local accuracy on global train data 31.047, Local accuracy on local train data 99.550
Round  20, Devices participated 10, Average loss 0.022, Central accuracy on global test data 66.166, Ensemble accuracy on global test data 63.467, Local accuracy on global train data 32.017, Local accuracy on local train data 99.367
Round  21, Devices participated 10, Average loss 0.032, Central accuracy on global test data 75.771, Ensemble accuracy on global test data 67.725, Local accuracy on global train data 31.902, Local accuracy on local train data 99.117
Round  22, Devices participated 10, Average loss 0.019, Central accuracy on global test data 74.569, Ensemble accuracy on global test data 69.453, Local accuracy on global train data 27.480, Local accuracy on local train data 99.433
Round  23, Devices participated 10, Average loss 0.017, Central accuracy on global test data 61.669, Ensemble accuracy on global test data 53.604, Local accuracy on global train data 31.045, Local accuracy on local train data 99.500
Round  24, Devices participated 10, Average loss 0.017, Central accuracy on global test data 70.463, Ensemble accuracy on global test data 67.949, Local accuracy on global train data 32.356, Local accuracy on local train data 99.417
Round  25, Devices participated 10, Average loss 0.016, Central accuracy on global test data 79.056, Ensemble accuracy on global test data 74.033, Local accuracy on global train data 27.141, Local accuracy on local train data 99.450
Round  26, Devices participated 10, Average loss 0.050, Central accuracy on global test data 70.122, Ensemble accuracy on global test data 63.535, Local accuracy on global train data 31.035, Local accuracy on local train data 98.933
Round  27, Devices participated 10, Average loss 0.016, Central accuracy on global test data 66.296, Ensemble accuracy on global test data 60.176, Local accuracy on global train data 36.453, Local accuracy on local train data 99.467
Round  28, Devices participated 10, Average loss 0.018, Central accuracy on global test data 75.180, Ensemble accuracy on global test data 69.131, Local accuracy on global train data 27.249, Local accuracy on local train data 99.450
Round  29, Devices participated 10, Average loss 0.020, Central accuracy on global test data 81.230, Ensemble accuracy on global test data 72.070, Local accuracy on global train data 33.315, Local accuracy on local train data 99.283
Round  30, Devices participated 10, Average loss 0.014, Central accuracy on global test data 73.397, Ensemble accuracy on global test data 65.264, Local accuracy on global train data 27.563, Local accuracy on local train data 99.467
Round  31, Devices participated 10, Average loss 0.055, Central accuracy on global test data 77.304, Ensemble accuracy on global test data 65.752, Local accuracy on global train data 34.221, Local accuracy on local train data 98.667
Round  32, Devices participated 10, Average loss 0.027, Central accuracy on global test data 80.519, Ensemble accuracy on global test data 71.787, Local accuracy on global train data 36.929, Local accuracy on local train data 99.167
Round  33, Devices participated 10, Average loss 0.013, Central accuracy on global test data 72.907, Ensemble accuracy on global test data 67.129, Local accuracy on global train data 37.446, Local accuracy on local train data 99.717
Round  34, Devices participated 10, Average loss 0.019, Central accuracy on global test data 79.277, Ensemble accuracy on global test data 72.754, Local accuracy on global train data 33.738, Local accuracy on local train data 99.400
Round  35, Devices participated 10, Average loss 0.025, Central accuracy on global test data 72.987, Ensemble accuracy on global test data 73.164, Local accuracy on global train data 33.625, Local accuracy on local train data 99.283
Round  36, Devices participated 10, Average loss 0.048, Central accuracy on global test data 69.792, Ensemble accuracy on global test data 61.191, Local accuracy on global train data 25.398, Local accuracy on local train data 99.017
Round  37, Devices participated 10, Average loss 0.070, Central accuracy on global test data 68.239, Ensemble accuracy on global test data 51.074, Local accuracy on global train data 24.495, Local accuracy on local train data 98.833
Round  38, Devices participated 10, Average loss 0.019, Central accuracy on global test data 81.560, Ensemble accuracy on global test data 75.371, Local accuracy on global train data 32.563, Local accuracy on local train data 99.417
Round  39, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.874, Ensemble accuracy on global test data 78.906, Local accuracy on global train data 43.809, Local accuracy on local train data 99.583
Round  40, Devices participated 10, Average loss 0.012, Central accuracy on global test data 80.288, Ensemble accuracy on global test data 72.910, Local accuracy on global train data 35.491, Local accuracy on local train data 99.683
Round  41, Devices participated 10, Average loss 0.044, Central accuracy on global test data 82.322, Ensemble accuracy on global test data 70.615, Local accuracy on global train data 34.014, Local accuracy on local train data 99.067
