Round   0, Devices participated 10, Average loss 0.022, Central accuracy on global test data 25.611, Ensemble accuracy on global test data 25.850, Local accuracy on global train data 12.107, Local accuracy on local train data 99.523
Round   1, Devices participated 10, Average loss 0.052, Central accuracy on global test data 15.915, Ensemble accuracy on global test data 15.400, Local accuracy on global train data 11.118, Local accuracy on local train data 99.647
Round   2, Devices participated 10, Average loss 0.097, Central accuracy on global test data 11.729, Ensemble accuracy on global test data 11.270, Local accuracy on global train data 11.519, Local accuracy on local train data 99.563
Round   3, Devices participated 10, Average loss 0.135, Central accuracy on global test data 25.791, Ensemble accuracy on global test data 27.471, Local accuracy on global train data 10.044, Local accuracy on local train data 99.530
Round   4, Devices participated 10, Average loss 0.052, Central accuracy on global test data 10.958, Ensemble accuracy on global test data 10.264, Local accuracy on global train data 12.878, Local accuracy on local train data 99.480
Round   5, Devices participated 10, Average loss 0.030, Central accuracy on global test data 11.428, Ensemble accuracy on global test data 11.924, Local accuracy on global train data 12.925, Local accuracy on local train data 99.677
Round   6, Devices participated 10, Average loss 0.053, Central accuracy on global test data 31.711, Ensemble accuracy on global test data 33.945, Local accuracy on global train data 12.825, Local accuracy on local train data 99.447
Round   7, Devices participated 10, Average loss 0.030, Central accuracy on global test data 23.347, Ensemble accuracy on global test data 25.166, Local accuracy on global train data 12.300, Local accuracy on local train data 99.657
Round   8, Devices participated 10, Average loss 0.045, Central accuracy on global test data 15.304, Ensemble accuracy on global test data 23.154, Local accuracy on global train data 12.576, Local accuracy on local train data 99.350
Round   9, Devices participated 10, Average loss 0.021, Central accuracy on global test data 31.280, Ensemble accuracy on global test data 28.564, Local accuracy on global train data 15.364, Local accuracy on local train data 99.613
Round  10, Devices participated 10, Average loss 0.015, Central accuracy on global test data 31.180, Ensemble accuracy on global test data 33.486, Local accuracy on global train data 21.169, Local accuracy on local train data 99.743
Round  11, Devices participated 10, Average loss 0.033, Central accuracy on global test data 29.487, Ensemble accuracy on global test data 33.164, Local accuracy on global train data 18.064, Local accuracy on local train data 99.443
