Round   0, Devices participated 10, Average loss 0.022, Central accuracy on global test data 26.022, Ensemble accuracy on global test data 25.850, Local accuracy on global train data 12.107, Local accuracy on local train data 99.523
Round   1, Devices participated 10, Average loss 0.047, Central accuracy on global test data 15.535, Ensemble accuracy on global test data 15.205, Local accuracy on global train data 10.945, Local accuracy on local train data 99.677
Round   2, Devices participated 10, Average loss 0.085, Central accuracy on global test data 14.764, Ensemble accuracy on global test data 13.652, Local accuracy on global train data 11.870, Local accuracy on local train data 99.557
Round   3, Devices participated 10, Average loss 0.074, Central accuracy on global test data 26.402, Ensemble accuracy on global test data 26.748, Local accuracy on global train data 10.547, Local accuracy on local train data 99.513
Round   4, Devices participated 10, Average loss 0.074, Central accuracy on global test data 13.281, Ensemble accuracy on global test data 13.213, Local accuracy on global train data 12.583, Local accuracy on local train data 99.597
Round   5, Devices participated 10, Average loss 0.065, Central accuracy on global test data 11.028, Ensemble accuracy on global test data 10.850, Local accuracy on global train data 11.067, Local accuracy on local train data 99.717
Round   6, Devices participated 10, Average loss 0.116, Central accuracy on global test data 10.046, Ensemble accuracy on global test data 10.713, Local accuracy on global train data 11.794, Local accuracy on local train data 99.367
Round   7, Devices participated 10, Average loss 0.054, Central accuracy on global test data 26.192, Ensemble accuracy on global test data 25.938, Local accuracy on global train data 9.917, Local accuracy on local train data 99.797
Round   8, Devices participated 10, Average loss 0.085, Central accuracy on global test data 24.579, Ensemble accuracy on global test data 26.113, Local accuracy on global train data 11.523, Local accuracy on local train data 99.370
Round   9, Devices participated 10, Average loss 0.031, Central accuracy on global test data 27.043, Ensemble accuracy on global test data 27.529, Local accuracy on global train data 14.890, Local accuracy on local train data 99.683
Round  10, Devices participated 10, Average loss 0.033, Central accuracy on global test data 20.713, Ensemble accuracy on global test data 20.049, Local accuracy on global train data 13.284, Local accuracy on local train data 99.680
Round  11, Devices participated 10, Average loss 0.082, Central accuracy on global test data 40.845, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 12.803, Local accuracy on local train data 99.537
Round  12, Devices participated 10, Average loss 0.020, Central accuracy on global test data 19.521, Ensemble accuracy on global test data 18.555, Local accuracy on global train data 15.557, Local accuracy on local train data 99.703
Round  13, Devices participated 10, Average loss 0.071, Central accuracy on global test data 32.031, Ensemble accuracy on global test data 32.090, Local accuracy on global train data 12.537, Local accuracy on local train data 99.597
Round  14, Devices participated 10, Average loss 0.019, Central accuracy on global test data 38.211, Ensemble accuracy on global test data 37.080, Local accuracy on global train data 17.351, Local accuracy on local train data 99.857
Round  15, Devices participated 10, Average loss 0.040, Central accuracy on global test data 13.281, Ensemble accuracy on global test data 11.318, Local accuracy on global train data 14.739, Local accuracy on local train data 99.737
Round  16, Devices participated 10, Average loss 0.107, Central accuracy on global test data 29.978, Ensemble accuracy on global test data 31.738, Local accuracy on global train data 12.583, Local accuracy on local train data 99.563
Round  17, Devices participated 10, Average loss 0.044, Central accuracy on global test data 25.551, Ensemble accuracy on global test data 28.096, Local accuracy on global train data 17.283, Local accuracy on local train data 99.490
Round  18, Devices participated 10, Average loss 0.038, Central accuracy on global test data 29.778, Ensemble accuracy on global test data 29.824, Local accuracy on global train data 17.092, Local accuracy on local train data 99.677
Round  19, Devices participated 10, Average loss 0.041, Central accuracy on global test data 34.706, Ensemble accuracy on global test data 36.611, Local accuracy on global train data 17.690, Local accuracy on local train data 99.610
Round  20, Devices participated 10, Average loss 0.032, Central accuracy on global test data 37.720, Ensemble accuracy on global test data 36.826, Local accuracy on global train data 22.263, Local accuracy on local train data 99.617
Round  21, Devices participated 10, Average loss 0.045, Central accuracy on global test data 36.328, Ensemble accuracy on global test data 36.816, Local accuracy on global train data 20.156, Local accuracy on local train data 99.517
Round  22, Devices participated 10, Average loss 0.015, Central accuracy on global test data 35.907, Ensemble accuracy on global test data 30.703, Local accuracy on global train data 15.850, Local accuracy on local train data 99.797
