Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 23.047, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.231, Central accuracy on global test data 12.320, Ensemble accuracy on global test data 11.553, Local accuracy on global train data 10.776, Local accuracy on local train data 98.433
Round   2, Devices participated 10, Average loss 0.853, Central accuracy on global test data 24.659, Ensemble accuracy on global test data 25.322, Local accuracy on global train data 10.430, Local accuracy on local train data 97.967
Round   3, Devices participated 10, Average loss 0.226, Central accuracy on global test data 10.116, Ensemble accuracy on global test data 9.873, Local accuracy on global train data 9.995, Local accuracy on local train data 97.683
Round   4, Devices participated 10, Average loss 0.292, Central accuracy on global test data 29.036, Ensemble accuracy on global test data 35.273, Local accuracy on global train data 12.959, Local accuracy on local train data 97.050
Round   5, Devices participated 10, Average loss 0.040, Central accuracy on global test data 30.639, Ensemble accuracy on global test data 32.891, Local accuracy on global train data 14.758, Local accuracy on local train data 98.917
Round   6, Devices participated 10, Average loss 0.145, Central accuracy on global test data 29.407, Ensemble accuracy on global test data 31.436, Local accuracy on global train data 14.236, Local accuracy on local train data 98.033
Round   7, Devices participated 10, Average loss 0.074, Central accuracy on global test data 15.595, Ensemble accuracy on global test data 17.734, Local accuracy on global train data 11.914, Local accuracy on local train data 98.117
Round   8, Devices participated 10, Average loss 0.207, Central accuracy on global test data 20.643, Ensemble accuracy on global test data 25.547, Local accuracy on global train data 12.993, Local accuracy on local train data 97.117
Round   9, Devices participated 10, Average loss 0.074, Central accuracy on global test data 29.237, Ensemble accuracy on global test data 26.592, Local accuracy on global train data 14.045, Local accuracy on local train data 98.400
Round  10, Devices participated 10, Average loss 0.095, Central accuracy on global test data 28.395, Ensemble accuracy on global test data 28.525, Local accuracy on global train data 19.841, Local accuracy on local train data 98.417
Round  11, Devices participated 10, Average loss 0.208, Central accuracy on global test data 38.231, Ensemble accuracy on global test data 37.549, Local accuracy on global train data 11.294, Local accuracy on local train data 97.117
Round  12, Devices participated 10, Average loss 0.129, Central accuracy on global test data 37.320, Ensemble accuracy on global test data 38.652, Local accuracy on global train data 18.494, Local accuracy on local train data 98.383
Round  13, Devices participated 10, Average loss 0.097, Central accuracy on global test data 17.188, Ensemble accuracy on global test data 23.154, Local accuracy on global train data 14.502, Local accuracy on local train data 98.583
Round  14, Devices participated 10, Average loss 0.200, Central accuracy on global test data 26.983, Ensemble accuracy on global test data 25.391, Local accuracy on global train data 15.364, Local accuracy on local train data 98.017
Round  15, Devices participated 10, Average loss 0.201, Central accuracy on global test data 17.788, Ensemble accuracy on global test data 16.855, Local accuracy on global train data 14.216, Local accuracy on local train data 97.400
Round  16, Devices participated 10, Average loss 0.125, Central accuracy on global test data 29.407, Ensemble accuracy on global test data 33.555, Local accuracy on global train data 13.291, Local accuracy on local train data 98.300
Round  17, Devices participated 10, Average loss 0.066, Central accuracy on global test data 37.270, Ensemble accuracy on global test data 47.773, Local accuracy on global train data 21.331, Local accuracy on local train data 98.233
Round  18, Devices participated 10, Average loss 0.067, Central accuracy on global test data 41.466, Ensemble accuracy on global test data 39.629, Local accuracy on global train data 19.080, Local accuracy on local train data 98.667
Round  19, Devices participated 10, Average loss 0.096, Central accuracy on global test data 41.647, Ensemble accuracy on global test data 40.146, Local accuracy on global train data 23.340, Local accuracy on local train data 99.100
Round  20, Devices participated 10, Average loss 0.064, Central accuracy on global test data 34.986, Ensemble accuracy on global test data 37.861, Local accuracy on global train data 22.388, Local accuracy on local train data 98.717
Round  21, Devices participated 10, Average loss 0.135, Central accuracy on global test data 38.361, Ensemble accuracy on global test data 34.727, Local accuracy on global train data 17.520, Local accuracy on local train data 98.117
Round  22, Devices participated 10, Average loss 0.071, Central accuracy on global test data 30.609, Ensemble accuracy on global test data 31.074, Local accuracy on global train data 19.963, Local accuracy on local train data 98.950
Round  23, Devices participated 10, Average loss 0.095, Central accuracy on global test data 35.056, Ensemble accuracy on global test data 35.625, Local accuracy on global train data 17.446, Local accuracy on local train data 98.617
Round  24, Devices participated 10, Average loss 0.096, Central accuracy on global test data 40.986, Ensemble accuracy on global test data 36.289, Local accuracy on global train data 17.822, Local accuracy on local train data 99.050
