Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 30.128, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.068, Central accuracy on global test data 19.020, Ensemble accuracy on global test data 15.107, Local accuracy on global train data 9.978, Local accuracy on local train data 98.650
Round   2, Devices participated 10, Average loss 0.060, Central accuracy on global test data 33.173, Ensemble accuracy on global test data 31.465, Local accuracy on global train data 10.466, Local accuracy on local train data 98.417
Round   3, Devices participated 10, Average loss 0.041, Central accuracy on global test data 47.586, Ensemble accuracy on global test data 43.086, Local accuracy on global train data 11.418, Local accuracy on local train data 98.550
Round   4, Devices participated 10, Average loss 0.047, Central accuracy on global test data 52.784, Ensemble accuracy on global test data 46.338, Local accuracy on global train data 14.226, Local accuracy on local train data 98.800
Round   5, Devices participated 10, Average loss 0.022, Central accuracy on global test data 49.008, Ensemble accuracy on global test data 41.797, Local accuracy on global train data 13.274, Local accuracy on local train data 99.383
Round   6, Devices participated 10, Average loss 0.066, Central accuracy on global test data 59.205, Ensemble accuracy on global test data 58.125, Local accuracy on global train data 14.128, Local accuracy on local train data 98.250
Round   7, Devices participated 10, Average loss 0.028, Central accuracy on global test data 36.589, Ensemble accuracy on global test data 30.127, Local accuracy on global train data 12.483, Local accuracy on local train data 99.150
Round   8, Devices participated 10, Average loss 0.059, Central accuracy on global test data 60.687, Ensemble accuracy on global test data 47.949, Local accuracy on global train data 13.213, Local accuracy on local train data 98.117
Round   9, Devices participated 10, Average loss 0.022, Central accuracy on global test data 60.938, Ensemble accuracy on global test data 52.568, Local accuracy on global train data 20.747, Local accuracy on local train data 99.450
Round  10, Devices participated 10, Average loss 0.018, Central accuracy on global test data 59.125, Ensemble accuracy on global test data 53.701, Local accuracy on global train data 22.842, Local accuracy on local train data 99.567
Round  11, Devices participated 10, Average loss 0.046, Central accuracy on global test data 66.797, Ensemble accuracy on global test data 62.598, Local accuracy on global train data 18.582, Local accuracy on local train data 98.983
Round  12, Devices participated 10, Average loss 0.026, Central accuracy on global test data 57.732, Ensemble accuracy on global test data 48.408, Local accuracy on global train data 19.475, Local accuracy on local train data 99.217
Round  13, Devices participated 10, Average loss 0.028, Central accuracy on global test data 72.626, Ensemble accuracy on global test data 55.625, Local accuracy on global train data 15.762, Local accuracy on local train data 99.233
Round  14, Devices participated 10, Average loss 0.015, Central accuracy on global test data 68.149, Ensemble accuracy on global test data 58.320, Local accuracy on global train data 25.532, Local accuracy on local train data 99.517
