Round   0, Devices participated 10, Average loss 0.022, Central accuracy on global test data 29.026, Ensemble accuracy on global test data 25.850, Local accuracy on global train data 12.107, Local accuracy on local train data 99.523
Round   1, Devices participated 10, Average loss 0.016, Central accuracy on global test data 23.037, Ensemble accuracy on global test data 22.197, Local accuracy on global train data 10.046, Local accuracy on local train data 99.733
Round   2, Devices participated 10, Average loss 0.014, Central accuracy on global test data 28.115, Ensemble accuracy on global test data 24.248, Local accuracy on global train data 10.884, Local accuracy on local train data 99.663
Round   3, Devices participated 10, Average loss 0.007, Central accuracy on global test data 44.040, Ensemble accuracy on global test data 41.016, Local accuracy on global train data 11.436, Local accuracy on local train data 99.723
Round   4, Devices participated 10, Average loss 0.011, Central accuracy on global test data 49.369, Ensemble accuracy on global test data 44.336, Local accuracy on global train data 13.823, Local accuracy on local train data 99.713
Round   5, Devices participated 10, Average loss 0.005, Central accuracy on global test data 44.391, Ensemble accuracy on global test data 40.156, Local accuracy on global train data 12.449, Local accuracy on local train data 99.837
Round   6, Devices participated 10, Average loss 0.010, Central accuracy on global test data 64.263, Ensemble accuracy on global test data 59.873, Local accuracy on global train data 12.581, Local accuracy on local train data 99.700
Round   7, Devices participated 10, Average loss 0.005, Central accuracy on global test data 33.213, Ensemble accuracy on global test data 23.340, Local accuracy on global train data 12.170, Local accuracy on local train data 99.830
Round   8, Devices participated 10, Average loss 0.011, Central accuracy on global test data 56.981, Ensemble accuracy on global test data 43.984, Local accuracy on global train data 11.458, Local accuracy on local train data 99.647
Round   9, Devices participated 10, Average loss 0.005, Central accuracy on global test data 51.923, Ensemble accuracy on global test data 47.070, Local accuracy on global train data 16.897, Local accuracy on local train data 99.847
Round  10, Devices participated 10, Average loss 0.004, Central accuracy on global test data 58.423, Ensemble accuracy on global test data 51.533, Local accuracy on global train data 19.436, Local accuracy on local train data 99.883
Round  11, Devices participated 10, Average loss 0.009, Central accuracy on global test data 66.466, Ensemble accuracy on global test data 60.410, Local accuracy on global train data 16.802, Local accuracy on local train data 99.807
Round  12, Devices participated 10, Average loss 0.005, Central accuracy on global test data 58.193, Ensemble accuracy on global test data 46.602, Local accuracy on global train data 17.561, Local accuracy on local train data 99.870
Round  13, Devices participated 10, Average loss 0.005, Central accuracy on global test data 73.848, Ensemble accuracy on global test data 57.988, Local accuracy on global train data 15.771, Local accuracy on local train data 99.863
Round  14, Devices participated 10, Average loss 0.003, Central accuracy on global test data 66.577, Ensemble accuracy on global test data 57.148, Local accuracy on global train data 24.224, Local accuracy on local train data 99.920
Round  15, Devices participated 10, Average loss 0.003, Central accuracy on global test data 64.513, Ensemble accuracy on global test data 57.090, Local accuracy on global train data 18.413, Local accuracy on local train data 99.917
Round  16, Devices participated 10, Average loss 0.004, Central accuracy on global test data 74.639, Ensemble accuracy on global test data 66.143, Local accuracy on global train data 19.480, Local accuracy on local train data 99.847
Round  17, Devices participated 10, Average loss 0.006, Central accuracy on global test data 71.124, Ensemble accuracy on global test data 66.572, Local accuracy on global train data 27.534, Local accuracy on local train data 99.830
Round  18, Devices participated 10, Average loss 0.003, Central accuracy on global test data 69.431, Ensemble accuracy on global test data 64.570, Local accuracy on global train data 30.374, Local accuracy on local train data 99.943
Round  19, Devices participated 10, Average loss 0.003, Central accuracy on global test data 70.813, Ensemble accuracy on global test data 63.828, Local accuracy on global train data 25.676, Local accuracy on local train data 99.903
Round  20, Devices participated 10, Average loss 0.004, Central accuracy on global test data 74.970, Ensemble accuracy on global test data 71.475, Local accuracy on global train data 29.331, Local accuracy on local train data 99.880
Round  21, Devices participated 10, Average loss 0.005, Central accuracy on global test data 75.010, Ensemble accuracy on global test data 70.420, Local accuracy on global train data 27.971, Local accuracy on local train data 99.857
Round  22, Devices participated 10, Average loss 0.003, Central accuracy on global test data 82.512, Ensemble accuracy on global test data 78.633, Local accuracy on global train data 24.875, Local accuracy on local train data 99.900
Round  23, Devices participated 10, Average loss 0.002, Central accuracy on global test data 61.108, Ensemble accuracy on global test data 52.627, Local accuracy on global train data 27.800, Local accuracy on local train data 99.943
Round  24, Devices participated 10, Average loss 0.004, Central accuracy on global test data 74.239, Ensemble accuracy on global test data 66.230, Local accuracy on global train data 26.882, Local accuracy on local train data 99.870
Round  25, Devices participated 10, Average loss 0.002, Central accuracy on global test data 79.798, Ensemble accuracy on global test data 77.129, Local accuracy on global train data 26.143, Local accuracy on local train data 99.933
Round  26, Devices participated 10, Average loss 0.012, Central accuracy on global test data 71.324, Ensemble accuracy on global test data 66.660, Local accuracy on global train data 26.672, Local accuracy on local train data 99.760
Round  27, Devices participated 10, Average loss 0.003, Central accuracy on global test data 66.446, Ensemble accuracy on global test data 60.420, Local accuracy on global train data 33.948, Local accuracy on local train data 99.910
Round  28, Devices participated 10, Average loss 0.003, Central accuracy on global test data 71.575, Ensemble accuracy on global test data 67.861, Local accuracy on global train data 23.264, Local accuracy on local train data 99.923
Round  29, Devices participated 10, Average loss 0.007, Central accuracy on global test data 75.611, Ensemble accuracy on global test data 69.053, Local accuracy on global train data 22.847, Local accuracy on local train data 99.820
Round  30, Devices participated 10, Average loss 0.004, Central accuracy on global test data 70.503, Ensemble accuracy on global test data 61.660, Local accuracy on global train data 25.073, Local accuracy on local train data 99.883
Round  31, Devices participated 10, Average loss 0.007, Central accuracy on global test data 74.629, Ensemble accuracy on global test data 65.596, Local accuracy on global train data 26.091, Local accuracy on local train data 99.773
Round  32, Devices participated 10, Average loss 0.005, Central accuracy on global test data 79.467, Ensemble accuracy on global test data 72.666, Local accuracy on global train data 33.569, Local accuracy on local train data 99.847
Round  33, Devices participated 10, Average loss 0.002, Central accuracy on global test data 76.442, Ensemble accuracy on global test data 71.230, Local accuracy on global train data 33.945, Local accuracy on local train data 99.940
Round  34, Devices participated 10, Average loss 0.004, Central accuracy on global test data 82.943, Ensemble accuracy on global test data 78.838, Local accuracy on global train data 29.155, Local accuracy on local train data 99.893
