Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 23.067, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.152, Central accuracy on global test data 14.203, Ensemble accuracy on global test data 14.609, Local accuracy on global train data 10.403, Local accuracy on local train data 98.600
Round   2, Devices participated 10, Average loss 0.191, Central accuracy on global test data 16.887, Ensemble accuracy on global test data 17.627, Local accuracy on global train data 11.431, Local accuracy on local train data 98.067
Round   3, Devices participated 10, Average loss 0.215, Central accuracy on global test data 19.521, Ensemble accuracy on global test data 26.670, Local accuracy on global train data 10.945, Local accuracy on local train data 98.250
Round   4, Devices participated 10, Average loss 0.140, Central accuracy on global test data 24.690, Ensemble accuracy on global test data 26.201, Local accuracy on global train data 13.132, Local accuracy on local train data 97.883
Round   5, Devices participated 10, Average loss 0.091, Central accuracy on global test data 30.769, Ensemble accuracy on global test data 29.893, Local accuracy on global train data 14.419, Local accuracy on local train data 98.933
Round   6, Devices participated 10, Average loss 0.104, Central accuracy on global test data 22.686, Ensemble accuracy on global test data 35.273, Local accuracy on global train data 15.557, Local accuracy on local train data 98.150
Round   7, Devices participated 10, Average loss 0.076, Central accuracy on global test data 25.220, Ensemble accuracy on global test data 26.592, Local accuracy on global train data 12.871, Local accuracy on local train data 98.583
Round   8, Devices participated 10, Average loss 0.094, Central accuracy on global test data 43.049, Ensemble accuracy on global test data 31.221, Local accuracy on global train data 13.545, Local accuracy on local train data 98.333
Round   9, Devices participated 10, Average loss 0.040, Central accuracy on global test data 46.064, Ensemble accuracy on global test data 45.908, Local accuracy on global train data 23.271, Local accuracy on local train data 98.917
Round  10, Devices participated 10, Average loss 0.042, Central accuracy on global test data 50.531, Ensemble accuracy on global test data 43.594, Local accuracy on global train data 24.216, Local accuracy on local train data 99.167
Round  11, Devices participated 10, Average loss 0.052, Central accuracy on global test data 52.244, Ensemble accuracy on global test data 55.459, Local accuracy on global train data 20.234, Local accuracy on local train data 98.783
Round  12, Devices participated 10, Average loss 0.038, Central accuracy on global test data 59.014, Ensemble accuracy on global test data 48.574, Local accuracy on global train data 27.021, Local accuracy on local train data 99.033
Round  13, Devices participated 10, Average loss 0.041, Central accuracy on global test data 50.841, Ensemble accuracy on global test data 48.057, Local accuracy on global train data 21.309, Local accuracy on local train data 99.300
Round  14, Devices participated 10, Average loss 0.023, Central accuracy on global test data 48.658, Ensemble accuracy on global test data 50.215, Local accuracy on global train data 25.205, Local accuracy on local train data 99.133
Round  15, Devices participated 10, Average loss 0.042, Central accuracy on global test data 46.004, Ensemble accuracy on global test data 43.799, Local accuracy on global train data 18.096, Local accuracy on local train data 98.983
Round  16, Devices participated 10, Average loss 0.048, Central accuracy on global test data 60.998, Ensemble accuracy on global test data 41.865, Local accuracy on global train data 18.821, Local accuracy on local train data 98.917
Round  17, Devices participated 10, Average loss 0.051, Central accuracy on global test data 61.018, Ensemble accuracy on global test data 56.885, Local accuracy on global train data 30.879, Local accuracy on local train data 98.883
Round  18, Devices participated 10, Average loss 0.018, Central accuracy on global test data 65.395, Ensemble accuracy on global test data 59.131, Local accuracy on global train data 35.229, Local accuracy on local train data 99.567
Round  19, Devices participated 10, Average loss 0.022, Central accuracy on global test data 68.920, Ensemble accuracy on global test data 64.316, Local accuracy on global train data 31.926, Local accuracy on local train data 99.317
Round  20, Devices participated 10, Average loss 0.030, Central accuracy on global test data 74.359, Ensemble accuracy on global test data 67.803, Local accuracy on global train data 31.328, Local accuracy on local train data 99.067
Round  21, Devices participated 10, Average loss 0.041, Central accuracy on global test data 78.105, Ensemble accuracy on global test data 70.986, Local accuracy on global train data 32.998, Local accuracy on local train data 98.967
Round  22, Devices participated 10, Average loss 0.013, Central accuracy on global test data 79.277, Ensemble accuracy on global test data 74.287, Local accuracy on global train data 30.378, Local accuracy on local train data 99.533
Round  23, Devices participated 10, Average loss 0.022, Central accuracy on global test data 41.086, Ensemble accuracy on global test data 42.695, Local accuracy on global train data 29.836, Local accuracy on local train data 99.450
Round  24, Devices participated 10, Average loss 0.040, Central accuracy on global test data 78.335, Ensemble accuracy on global test data 60.742, Local accuracy on global train data 26.089, Local accuracy on local train data 98.917
Round  25, Devices participated 10, Average loss 0.020, Central accuracy on global test data 76.552, Ensemble accuracy on global test data 74.355, Local accuracy on global train data 30.342, Local accuracy on local train data 99.400
Round  26, Devices participated 10, Average loss 0.054, Central accuracy on global test data 77.434, Ensemble accuracy on global test data 67.197, Local accuracy on global train data 29.583, Local accuracy on local train data 98.850
Round  27, Devices participated 10, Average loss 0.013, Central accuracy on global test data 62.760, Ensemble accuracy on global test data 60.020, Local accuracy on global train data 37.769, Local accuracy on local train data 99.550
Round  28, Devices participated 10, Average loss 0.028, Central accuracy on global test data 69.902, Ensemble accuracy on global test data 54.189, Local accuracy on global train data 23.787, Local accuracy on local train data 99.283
Round  29, Devices participated 10, Average loss 0.031, Central accuracy on global test data 82.642, Ensemble accuracy on global test data 70.381, Local accuracy on global train data 26.780, Local accuracy on local train data 99.117
Round  30, Devices participated 10, Average loss 0.018, Central accuracy on global test data 82.212, Ensemble accuracy on global test data 71.973, Local accuracy on global train data 28.979, Local accuracy on local train data 99.333
Round  31, Devices participated 10, Average loss 0.032, Central accuracy on global test data 84.165, Ensemble accuracy on global test data 71.992, Local accuracy on global train data 36.218, Local accuracy on local train data 99.033
Round  32, Devices participated 10, Average loss 0.033, Central accuracy on global test data 84.706, Ensemble accuracy on global test data 70.645, Local accuracy on global train data 38.174, Local accuracy on local train data 99.200
Round  33, Devices participated 10, Average loss 0.012, Central accuracy on global test data 79.637, Ensemble accuracy on global test data 70.742, Local accuracy on global train data 41.328, Local accuracy on local train data 99.700
Round  34, Devices participated 10, Average loss 0.017, Central accuracy on global test data 83.934, Ensemble accuracy on global test data 73.008, Local accuracy on global train data 31.892, Local accuracy on local train data 99.383
Round  35, Devices participated 10, Average loss 0.027, Central accuracy on global test data 80.909, Ensemble accuracy on global test data 70.381, Local accuracy on global train data 35.186, Local accuracy on local train data 99.233
Round  36, Devices participated 10, Average loss 0.023, Central accuracy on global test data 74.319, Ensemble accuracy on global test data 68.232, Local accuracy on global train data 29.336, Local accuracy on local train data 99.317
Round  37, Devices participated 10, Average loss 0.042, Central accuracy on global test data 84.886, Ensemble accuracy on global test data 65.996, Local accuracy on global train data 27.832, Local accuracy on local train data 98.800
Round  38, Devices participated 10, Average loss 0.012, Central accuracy on global test data 80.559, Ensemble accuracy on global test data 81.904, Local accuracy on global train data 38.081, Local accuracy on local train data 99.617
Round  39, Devices participated 10, Average loss 0.014, Central accuracy on global test data 86.659, Ensemble accuracy on global test data 82.695, Local accuracy on global train data 42.266, Local accuracy on local train data 99.567
Round  40, Devices participated 10, Average loss 0.014, Central accuracy on global test data 86.218, Ensemble accuracy on global test data 72.520, Local accuracy on global train data 30.115, Local accuracy on local train data 99.617
Round  41, Devices participated 10, Average loss 0.018, Central accuracy on global test data 83.754, Ensemble accuracy on global test data 72.627, Local accuracy on global train data 31.299, Local accuracy on local train data 99.500
Round  42, Devices participated 10, Average loss 0.013, Central accuracy on global test data 86.939, Ensemble accuracy on global test data 78.857, Local accuracy on global train data 36.189, Local accuracy on local train data 99.533
Round  43, Devices participated 10, Average loss 0.028, Central accuracy on global test data 83.043, Ensemble accuracy on global test data 82.051, Local accuracy on global train data 45.273, Local accuracy on local train data 99.300
Round  44, Devices participated 10, Average loss 0.016, Central accuracy on global test data 86.689, Ensemble accuracy on global test data 78.750, Local accuracy on global train data 36.287, Local accuracy on local train data 99.600
Round  45, Devices participated 10, Average loss 0.018, Central accuracy on global test data 86.498, Ensemble accuracy on global test data 81.836, Local accuracy on global train data 47.271, Local accuracy on local train data 99.567
Round  46, Devices participated 10, Average loss 0.016, Central accuracy on global test data 84.585, Ensemble accuracy on global test data 77.354, Local accuracy on global train data 45.500, Local accuracy on local train data 99.500
Round  47, Devices participated 10, Average loss 0.014, Central accuracy on global test data 86.609, Ensemble accuracy on global test data 83.242, Local accuracy on global train data 45.994, Local accuracy on local train data 99.633
Round  48, Devices participated 10, Average loss 0.022, Central accuracy on global test data 87.690, Ensemble accuracy on global test data 83.271, Local accuracy on global train data 46.335, Local accuracy on local train data 99.400
Round  49, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.464, Ensemble accuracy on global test data 68.535, Local accuracy on global train data 33.562, Local accuracy on local train data 99.650
Round  50, Devices participated 10, Average loss 0.012, Central accuracy on global test data 85.026, Ensemble accuracy on global test data 77.617, Local accuracy on global train data 37.605, Local accuracy on local train data 99.567
Round  51, Devices participated 10, Average loss 0.011, Central accuracy on global test data 85.927, Ensemble accuracy on global test data 82.334, Local accuracy on global train data 40.894, Local accuracy on local train data 99.650
Round  52, Devices participated 10, Average loss 0.012, Central accuracy on global test data 85.787, Ensemble accuracy on global test data 74.492, Local accuracy on global train data 33.840, Local accuracy on local train data 99.600
Round  53, Devices participated 10, Average loss 0.022, Central accuracy on global test data 88.151, Ensemble accuracy on global test data 86.279, Local accuracy on global train data 41.650, Local accuracy on local train data 99.417
Round  54, Devices participated 10, Average loss 0.009, Central accuracy on global test data 86.128, Ensemble accuracy on global test data 73.525, Local accuracy on global train data 42.456, Local accuracy on local train data 99.733
Round  55, Devices participated 10, Average loss 0.021, Central accuracy on global test data 85.887, Ensemble accuracy on global test data 84.580, Local accuracy on global train data 43.528, Local accuracy on local train data 99.467
Round  56, Devices participated 10, Average loss 0.008, Central accuracy on global test data 87.720, Ensemble accuracy on global test data 84.072, Local accuracy on global train data 47.490, Local accuracy on local train data 99.767
Round  57, Devices participated 10, Average loss 0.024, Central accuracy on global test data 89.263, Ensemble accuracy on global test data 84.131, Local accuracy on global train data 47.915, Local accuracy on local train data 99.433
Round  58, Devices participated 10, Average loss 0.010, Central accuracy on global test data 88.251, Ensemble accuracy on global test data 79.355, Local accuracy on global train data 47.380, Local accuracy on local train data 99.683
Round  59, Devices participated 10, Average loss 0.020, Central accuracy on global test data 86.979, Ensemble accuracy on global test data 83.418, Local accuracy on global train data 41.064, Local accuracy on local train data 99.517
Round  60, Devices participated 10, Average loss 0.010, Central accuracy on global test data 89.193, Ensemble accuracy on global test data 82.803, Local accuracy on global train data 40.342, Local accuracy on local train data 99.683
Round  61, Devices participated 10, Average loss 0.014, Central accuracy on global test data 86.488, Ensemble accuracy on global test data 74.844, Local accuracy on global train data 35.896, Local accuracy on local train data 99.633
Round  62, Devices participated 10, Average loss 0.009, Central accuracy on global test data 88.161, Ensemble accuracy on global test data 82.354, Local accuracy on global train data 52.019, Local accuracy on local train data 99.767
Round  63, Devices participated 10, Average loss 0.024, Central accuracy on global test data 88.211, Ensemble accuracy on global test data 85.205, Local accuracy on global train data 30.581, Local accuracy on local train data 99.350
Round  64, Devices participated 10, Average loss 0.010, Central accuracy on global test data 90.264, Ensemble accuracy on global test data 83.584, Local accuracy on global train data 41.641, Local accuracy on local train data 99.750
Round  65, Devices participated 10, Average loss 0.007, Central accuracy on global test data 89.213, Ensemble accuracy on global test data 85.918, Local accuracy on global train data 37.305, Local accuracy on local train data 99.767
Round  66, Devices participated 10, Average loss 0.013, Central accuracy on global test data 89.163, Ensemble accuracy on global test data 76.426, Local accuracy on global train data 40.710, Local accuracy on local train data 99.583
Round  67, Devices participated 10, Average loss 0.022, Central accuracy on global test data 88.111, Ensemble accuracy on global test data 86.143, Local accuracy on global train data 41.655, Local accuracy on local train data 99.500
Round  68, Devices participated 10, Average loss 0.009, Central accuracy on global test data 90.254, Ensemble accuracy on global test data 82.383, Local accuracy on global train data 45.476, Local accuracy on local train data 99.633
