python main_fedavg.py --dataset mnist --model mlp --epochs 1500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.0 --weight_init kaiming --bias_init zeros --noniid_hard --lr 0.100

Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.059, Central accuracy on global test data 28.826, Local accuracy on global train data 10.164, Local accuracy on local train data 98.600
Round   2, Devices participated 10, Average loss 0.063, Central accuracy on global test data 42.117, Local accuracy on global train data 10.251, Local accuracy on local train data 98.467
Round   3, Devices participated 10, Average loss 0.030, Central accuracy on global test data 48.858, Local accuracy on global train data 10.464, Local accuracy on local train data 99.050
Round   4, Devices participated 10, Average loss 0.050, Central accuracy on global test data 49.930, Local accuracy on global train data 12.664, Local accuracy on local train data 98.617
Round   5, Devices participated 10, Average loss 0.021, Central accuracy on global test data 47.656, Local accuracy on global train data 11.804, Local accuracy on local train data 99.367
Round   6, Devices participated 10, Average loss 0.050, Central accuracy on global test data 60.807, Local accuracy on global train data 12.935, Local accuracy on local train data 98.467
Round   7, Devices participated 10, Average loss 0.026, Central accuracy on global test data 35.236, Local accuracy on global train data 12.185, Local accuracy on local train data 99.217
Round   8, Devices participated 10, Average loss 0.071, Central accuracy on global test data 56.020, Local accuracy on global train data 11.653, Local accuracy on local train data 98.017
Round   9, Devices participated 10, Average loss 0.022, Central accuracy on global test data 55.619, Local accuracy on global train data 18.743, Local accuracy on local train data 99.567
Round  10, Devices participated 10, Average loss 0.017, Central accuracy on global test data 55.619, Local accuracy on global train data 22.493, Local accuracy on local train data 99.500
Round  11, Devices participated 10, Average loss 0.049, Central accuracy on global test data 59.375, Local accuracy on global train data 17.483, Local accuracy on local train data 99.033
Round  12, Devices participated 10, Average loss 0.036, Central accuracy on global test data 53.686, Local accuracy on global train data 17.583, Local accuracy on local train data 98.983
Round  13, Devices participated 10, Average loss 0.027, Central accuracy on global test data 66.486, Local accuracy on global train data 16.909, Local accuracy on local train data 99.300
Round  14, Devices participated 10, Average loss 0.016, Central accuracy on global test data 63.922, Local accuracy on global train data 23.167, Local accuracy on local train data 99.517
Round  15, Devices participated 10, Average loss 0.021, Central accuracy on global test data 63.401, Local accuracy on global train data 19.431, Local accuracy on local train data 99.317
Round  16, Devices participated 10, Average loss 0.024, Central accuracy on global test data 75.421, Local accuracy on global train data 17.673, Local accuracy on local train data 99.100
Round  17, Devices participated 10, Average loss 0.038, Central accuracy on global test data 70.503, Local accuracy on global train data 30.283, Local accuracy on local train data 99.100
Round  18, Devices participated 10, Average loss 0.013, Central accuracy on global test data 70.222, Local accuracy on global train data 34.082, Local accuracy on local train data 99.650
Round  19, Devices participated 10, Average loss 0.014, Central accuracy on global test data 66.366, Local accuracy on global train data 26.863, Local accuracy on local train data 99.583
Round  20, Devices participated 10, Average loss 0.019, Central accuracy on global test data 73.888, Local accuracy on global train data 30.410, Local accuracy on local train data 99.450
Round  21, Devices participated 10, Average loss 0.035, Central accuracy on global test data 78.105, Local accuracy on global train data 30.898, Local accuracy on local train data 99.300
Round  22, Devices participated 10, Average loss 0.015, Central accuracy on global test data 81.430, Local accuracy on global train data 25.474, Local accuracy on local train data 99.617
Round  23, Devices participated 10, Average loss 0.013, Central accuracy on global test data 60.036, Local accuracy on global train data 29.541, Local accuracy on local train data 99.683
Round  24, Devices participated 10, Average loss 0.017, Central accuracy on global test data 72.646, Local accuracy on global train data 31.619, Local accuracy on local train data 99.383
Round  25, Devices participated 10, Average loss 0.014, Central accuracy on global test data 78.025, Local accuracy on global train data 27.129, Local accuracy on local train data 99.583
Round  26, Devices participated 10, Average loss 0.033, Central accuracy on global test data 73.738, Local accuracy on global train data 28.271, Local accuracy on local train data 99.150
Round  27, Devices participated 10, Average loss 0.011, Central accuracy on global test data 69.201, Local accuracy on global train data 33.904, Local accuracy on local train data 99.700
Round  28, Devices participated 10, Average loss 0.014, Central accuracy on global test data 72.907, Local accuracy on global train data 23.420, Local accuracy on local train data 99.550
