Round   0, Devices participated 10, Average loss 0.017, Central accuracy on global test data 21.995, Local accuracy on global train data 11.763, Local accuracy on local train data 99.600
Round   1, Devices participated 10, Average loss 0.012, Central accuracy on global test data 29.738, Local accuracy on global train data 10.352, Local accuracy on local train data 99.710
Round   2, Devices participated 10, Average loss 0.013, Central accuracy on global test data 45.242, Local accuracy on global train data 10.754, Local accuracy on local train data 99.700
Round   3, Devices participated 10, Average loss 0.007, Central accuracy on global test data 50.601, Local accuracy on global train data 10.435, Local accuracy on local train data 99.777
Round   4, Devices participated 10, Average loss 0.010, Central accuracy on global test data 51.192, Local accuracy on global train data 12.993, Local accuracy on local train data 99.753
Round   5, Devices participated 10, Average loss 0.004, Central accuracy on global test data 51.743, Local accuracy on global train data 11.562, Local accuracy on local train data 99.893
Round   6, Devices participated 10, Average loss 0.009, Central accuracy on global test data 56.180, Local accuracy on global train data 12.974, Local accuracy on local train data 99.717
Round   7, Devices participated 10, Average loss 0.006, Central accuracy on global test data 33.033, Local accuracy on global train data 11.763, Local accuracy on local train data 99.797
Round   8, Devices participated 10, Average loss 0.017, Central accuracy on global test data 58.884, Local accuracy on global train data 11.289, Local accuracy on local train data 99.600
Round   9, Devices participated 10, Average loss 0.006, Central accuracy on global test data 56.951, Local accuracy on global train data 16.538, Local accuracy on local train data 99.860
Round  10, Devices participated 10, Average loss 0.003, Central accuracy on global test data 56.250, Local accuracy on global train data 19.487, Local accuracy on local train data 99.897
Round  11, Devices participated 10, Average loss 0.010, Central accuracy on global test data 64.293, Local accuracy on global train data 16.035, Local accuracy on local train data 99.807
Round  12, Devices participated 10, Average loss 0.006, Central accuracy on global test data 50.871, Local accuracy on global train data 16.445, Local accuracy on local train data 99.800
Round  13, Devices participated 10, Average loss 0.006, Central accuracy on global test data 63.011, Local accuracy on global train data 16.055, Local accuracy on local train data 99.843
Round  14, Devices participated 10, Average loss 0.004, Central accuracy on global test data 64.173, Local accuracy on global train data 21.252, Local accuracy on local train data 99.873
Round  15, Devices participated 10, Average loss 0.004, Central accuracy on global test data 64.974, Local accuracy on global train data 18.730, Local accuracy on local train data 99.883
Round  16, Devices participated 10, Average loss 0.005, Central accuracy on global test data 75.341, Local accuracy on global train data 18.545, Local accuracy on local train data 99.843
Round  17, Devices participated 10, Average loss 0.008, Central accuracy on global test data 66.847, Local accuracy on global train data 26.013, Local accuracy on local train data 99.820
Round  18, Devices participated 10, Average loss 0.003, Central accuracy on global test data 70.182, Local accuracy on global train data 30.835, Local accuracy on local train data 99.913
Round  19, Devices participated 10, Average loss 0.003, Central accuracy on global test data 68.580, Local accuracy on global train data 25.532, Local accuracy on local train data 99.933
Round  20, Devices participated 10, Average loss 0.004, Central accuracy on global test data 72.576, Local accuracy on global train data 27.725, Local accuracy on local train data 99.900
