Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.059, Central accuracy on global test data 28.826, Local accuracy on global train data 10.164, Local accuracy on local train data 98.600
Round   2, Devices participated 10, Average loss 0.063, Central accuracy on global test data 42.117, Local accuracy on global train data 10.251, Local accuracy on local train data 98.467
Round   3, Devices participated 10, Average loss 0.030, Central accuracy on global test data 48.858, Local accuracy on global train data 10.464, Local accuracy on local train data 99.050
Round   4, Devices participated 10, Average loss 0.050, Central accuracy on global test data 49.880, Local accuracy on global train data 12.693, Local accuracy on local train data 98.617
Round   5, Devices participated 10, Average loss 0.021, Central accuracy on global test data 47.596, Local accuracy on global train data 11.775, Local accuracy on local train data 99.367
Round   6, Devices participated 10, Average loss 0.051, Central accuracy on global test data 60.597, Local accuracy on global train data 12.983, Local accuracy on local train data 98.450
Round   7, Devices participated 10, Average loss 0.026, Central accuracy on global test data 35.617, Local accuracy on global train data 12.129, Local accuracy on local train data 99.233
Round   8, Devices participated 10, Average loss 0.076, Central accuracy on global test data 55.499, Local accuracy on global train data 12.058, Local accuracy on local train data 97.950
Round   9, Devices participated 10, Average loss 0.022, Central accuracy on global test data 55.990, Local accuracy on global train data 18.821, Local accuracy on local train data 99.583
Round  10, Devices participated 10, Average loss 0.017, Central accuracy on global test data 55.298, Local accuracy on global train data 22.498, Local accuracy on local train data 99.500
Round  11, Devices participated 10, Average loss 0.049, Central accuracy on global test data 60.126, Local accuracy on global train data 17.686, Local accuracy on local train data 99.033
Round  12, Devices participated 10, Average loss 0.031, Central accuracy on global test data 54.447, Local accuracy on global train data 17.502, Local accuracy on local train data 99.083
Round  13, Devices participated 10, Average loss 0.027, Central accuracy on global test data 66.987, Local accuracy on global train data 16.636, Local accuracy on local train data 99.283
Round  14, Devices participated 10, Average loss 0.016, Central accuracy on global test data 64.694, Local accuracy on global train data 23.438, Local accuracy on local train data 99.567
Round  15, Devices participated 10, Average loss 0.020, Central accuracy on global test data 63.331, Local accuracy on global train data 19.507, Local accuracy on local train data 99.283
Round  16, Devices participated 10, Average loss 0.024, Central accuracy on global test data 74.900, Local accuracy on global train data 17.512, Local accuracy on local train data 99.117
Round  17, Devices participated 10, Average loss 0.045, Central accuracy on global test data 69.331, Local accuracy on global train data 30.229, Local accuracy on local train data 99.000
Round  18, Devices participated 10, Average loss 0.013, Central accuracy on global test data 69.842, Local accuracy on global train data 34.050, Local accuracy on local train data 99.617
Round  19, Devices participated 10, Average loss 0.015, Central accuracy on global test data 65.895, Local accuracy on global train data 27.009, Local accuracy on local train data 99.583
Round  20, Devices participated 10, Average loss 0.019, Central accuracy on global test data 73.638, Local accuracy on global train data 30.012, Local accuracy on local train data 99.367
Round  21, Devices participated 10, Average loss 0.034, Central accuracy on global test data 77.774, Local accuracy on global train data 30.913, Local accuracy on local train data 99.283
Round  22, Devices participated 10, Average loss 0.015, Central accuracy on global test data 81.440, Local accuracy on global train data 25.190, Local accuracy on local train data 99.650
Round  23, Devices participated 10, Average loss 0.013, Central accuracy on global test data 60.106, Local accuracy on global train data 29.763, Local accuracy on local train data 99.700
Round  24, Devices participated 10, Average loss 0.017, Central accuracy on global test data 72.857, Local accuracy on global train data 31.829, Local accuracy on local train data 99.400
Round  25, Devices participated 10, Average loss 0.014, Central accuracy on global test data 78.025, Local accuracy on global train data 28.013, Local accuracy on local train data 99.567
Round  26, Devices participated 10, Average loss 0.033, Central accuracy on global test data 73.938, Local accuracy on global train data 29.373, Local accuracy on local train data 99.083
Round  27, Devices participated 10, Average loss 0.011, Central accuracy on global test data 69.581, Local accuracy on global train data 34.924, Local accuracy on local train data 99.667
Round  28, Devices participated 10, Average loss 0.014, Central accuracy on global test data 72.626, Local accuracy on global train data 23.645, Local accuracy on local train data 99.567
Round  29, Devices participated 10, Average loss 0.031, Central accuracy on global test data 74.710, Local accuracy on global train data 22.065, Local accuracy on local train data 99.200
