Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.476, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.338, Central accuracy on global test data 12.450, Local accuracy on global train data 17.395, Local accuracy on local train data 88.983
Round   2, Devices participated 10, Average loss 0.276, Central accuracy on global test data 33.183, Local accuracy on global train data 19.070, Local accuracy on local train data 91.583
Round   3, Devices participated 10, Average loss 0.283, Central accuracy on global test data 37.159, Local accuracy on global train data 19.724, Local accuracy on local train data 91.317
Round   4, Devices participated 10, Average loss 0.230, Central accuracy on global test data 34.455, Local accuracy on global train data 18.613, Local accuracy on local train data 93.250
Round   5, Devices participated 10, Average loss 0.253, Central accuracy on global test data 34.235, Local accuracy on global train data 19.749, Local accuracy on local train data 92.650
Round   6, Devices participated 10, Average loss 0.227, Central accuracy on global test data 30.038, Local accuracy on global train data 18.992, Local accuracy on local train data 92.733
Round   7, Devices participated 10, Average loss 0.281, Central accuracy on global test data 48.888, Local accuracy on global train data 20.205, Local accuracy on local train data 91.900
Round   8, Devices participated 10, Average loss 0.230, Central accuracy on global test data 32.462, Local accuracy on global train data 18.589, Local accuracy on local train data 93.433
Round   9, Devices participated 10, Average loss 0.227, Central accuracy on global test data 34.034, Local accuracy on global train data 19.292, Local accuracy on local train data 92.767
Round  10, Devices participated 10, Average loss 0.216, Central accuracy on global test data 41.116, Local accuracy on global train data 18.611, Local accuracy on local train data 93.967
Round  11, Devices participated 10, Average loss 0.169, Central accuracy on global test data 50.641, Local accuracy on global train data 19.368, Local accuracy on local train data 95.450
Round  12, Devices participated 10, Average loss 0.290, Central accuracy on global test data 41.647, Local accuracy on global train data 20.410, Local accuracy on local train data 91.400
Round  13, Devices participated 10, Average loss 0.224, Central accuracy on global test data 33.844, Local accuracy on global train data 18.606, Local accuracy on local train data 93.883
Round  14, Devices participated 10, Average loss 0.235, Central accuracy on global test data 40.925, Local accuracy on global train data 19.758, Local accuracy on local train data 92.900
Round  15, Devices participated 10, Average loss 0.185, Central accuracy on global test data 54.327, Local accuracy on global train data 18.638, Local accuracy on local train data 94.283
Round  16, Devices participated 10, Average loss 0.264, Central accuracy on global test data 62.580, Local accuracy on global train data 19.170, Local accuracy on local train data 92.083
Round  17, Devices participated 10, Average loss 0.199, Central accuracy on global test data 49.579, Local accuracy on global train data 19.817, Local accuracy on local train data 94.667
Round  18, Devices participated 10, Average loss 0.247, Central accuracy on global test data 55.659, Local accuracy on global train data 19.575, Local accuracy on local train data 92.067
Round  19, Devices participated 10, Average loss 0.108, Central accuracy on global test data 60.457, Local accuracy on global train data 17.544, Local accuracy on local train data 96.933
Round  20, Devices participated 10, Average loss 0.165, Central accuracy on global test data 31.911, Local accuracy on global train data 18.928, Local accuracy on local train data 95.250
Round  21, Devices participated 10, Average loss 0.169, Central accuracy on global test data 50.300, Local accuracy on global train data 16.609, Local accuracy on local train data 95.050
Round  22, Devices participated 10, Average loss 0.166, Central accuracy on global test data 66.186, Local accuracy on global train data 18.789, Local accuracy on local train data 95.333
Round  23, Devices participated 10, Average loss 0.168, Central accuracy on global test data 28.556, Local accuracy on global train data 20.969, Local accuracy on local train data 95.300
Round  24, Devices participated 10, Average loss 0.153, Central accuracy on global test data 65.685, Local accuracy on global train data 19.717, Local accuracy on local train data 95.117
Round  25, Devices participated 10, Average loss 0.191, Central accuracy on global test data 61.138, Local accuracy on global train data 20.137, Local accuracy on local train data 94.350
Round  26, Devices participated 10, Average loss 0.182, Central accuracy on global test data 69.591, Local accuracy on global train data 18.103, Local accuracy on local train data 94.967
Round  27, Devices participated 10, Average loss 0.170, Central accuracy on global test data 49.469, Local accuracy on global train data 19.644, Local accuracy on local train data 94.967
Round  28, Devices participated 10, Average loss 0.154, Central accuracy on global test data 60.186, Local accuracy on global train data 20.903, Local accuracy on local train data 95.867
Round  29, Devices participated 10, Average loss 0.215, Central accuracy on global test data 57.222, Local accuracy on global train data 20.249, Local accuracy on local train data 93.550
Round  30, Devices participated 10, Average loss 0.147, Central accuracy on global test data 44.732, Local accuracy on global train data 18.191, Local accuracy on local train data 95.717
Round  31, Devices participated 10, Average loss 0.114, Central accuracy on global test data 41.426, Local accuracy on global train data 19.783, Local accuracy on local train data 96.717
Round  32, Devices participated 10, Average loss 0.127, Central accuracy on global test data 71.134, Local accuracy on global train data 19.653, Local accuracy on local train data 96.217
Round  33, Devices participated 10, Average loss 0.158, Central accuracy on global test data 52.794, Local accuracy on global train data 18.708, Local accuracy on local train data 95.283
Round  34, Devices participated 10, Average loss 0.080, Central accuracy on global test data 62.720, Local accuracy on global train data 17.742, Local accuracy on local train data 97.767
Round  35, Devices participated 10, Average loss 0.146, Central accuracy on global test data 66.226, Local accuracy on global train data 20.151, Local accuracy on local train data 95.633
Round  36, Devices participated 10, Average loss 0.153, Central accuracy on global test data 67.027, Local accuracy on global train data 20.112, Local accuracy on local train data 95.233
Round  37, Devices participated 10, Average loss 0.195, Central accuracy on global test data 65.435, Local accuracy on global train data 20.347, Local accuracy on local train data 93.983
Round  38, Devices participated 10, Average loss 0.138, Central accuracy on global test data 72.035, Local accuracy on global train data 20.601, Local accuracy on local train data 96.033
Round  39, Devices participated 10, Average loss 0.144, Central accuracy on global test data 58.073, Local accuracy on global train data 19.141, Local accuracy on local train data 96.050
Round  40, Devices participated 10, Average loss 0.168, Central accuracy on global test data 64.523, Local accuracy on global train data 20.876, Local accuracy on local train data 95.217
Round  41, Devices participated 10, Average loss 0.176, Central accuracy on global test data 69.551, Local accuracy on global train data 22.769, Local accuracy on local train data 94.783
Round  42, Devices participated 10, Average loss 0.170, Central accuracy on global test data 72.827, Local accuracy on global train data 19.529, Local accuracy on local train data 95.267
Round  43, Devices participated 10, Average loss 0.117, Central accuracy on global test data 79.167, Local accuracy on global train data 17.849, Local accuracy on local train data 96.617
Round  44, Devices participated 10, Average loss 0.224, Central accuracy on global test data 67.137, Local accuracy on global train data 20.359, Local accuracy on local train data 94.000
Round  45, Devices participated 10, Average loss 0.139, Central accuracy on global test data 69.631, Local accuracy on global train data 20.535, Local accuracy on local train data 95.767
Round  46, Devices participated 10, Average loss 0.210, Central accuracy on global test data 67.007, Local accuracy on global train data 24.248, Local accuracy on local train data 93.917
Round  47, Devices participated 10, Average loss 0.090, Central accuracy on global test data 67.278, Local accuracy on global train data 18.594, Local accuracy on local train data 97.650
Round  48, Devices participated 10, Average loss 0.141, Central accuracy on global test data 74.239, Local accuracy on global train data 22.363, Local accuracy on local train data 95.700
Round  49, Devices participated 10, Average loss 0.117, Central accuracy on global test data 64.183, Local accuracy on global train data 21.250, Local accuracy on local train data 97.217
Round  50, Devices participated 10, Average loss 0.152, Central accuracy on global test data 62.690, Local accuracy on global train data 19.658, Local accuracy on local train data 95.717
Round  51, Devices participated 10, Average loss 0.157, Central accuracy on global test data 81.881, Local accuracy on global train data 23.442, Local accuracy on local train data 95.967
Round  52, Devices participated 10, Average loss 0.164, Central accuracy on global test data 71.575, Local accuracy on global train data 21.851, Local accuracy on local train data 95.483
Round  53, Devices participated 10, Average loss 0.130, Central accuracy on global test data 62.440, Local accuracy on global train data 19.851, Local accuracy on local train data 96.233
Round  54, Devices participated 10, Average loss 0.111, Central accuracy on global test data 69.692, Local accuracy on global train data 21.101, Local accuracy on local train data 97.083
Round  55, Devices participated 10, Average loss 0.127, Central accuracy on global test data 77.264, Local accuracy on global train data 20.417, Local accuracy on local train data 96.367
Round  56, Devices participated 10, Average loss 0.148, Central accuracy on global test data 78.486, Local accuracy on global train data 23.369, Local accuracy on local train data 95.850
Round  57, Devices participated 10, Average loss 0.107, Central accuracy on global test data 72.276, Local accuracy on global train data 20.518, Local accuracy on local train data 96.933
Round  58, Devices participated 10, Average loss 0.155, Central accuracy on global test data 79.257, Local accuracy on global train data 20.142, Local accuracy on local train data 95.917
Round  59, Devices participated 10, Average loss 0.106, Central accuracy on global test data 77.324, Local accuracy on global train data 23.506, Local accuracy on local train data 97.000
Round  60, Devices participated 10, Average loss 0.140, Central accuracy on global test data 67.117, Local accuracy on global train data 20.659, Local accuracy on local train data 95.933
Round  61, Devices participated 10, Average loss 0.129, Central accuracy on global test data 75.631, Local accuracy on global train data 19.980, Local accuracy on local train data 96.283
Round  62, Devices participated 10, Average loss 0.107, Central accuracy on global test data 72.576, Local accuracy on global train data 23.440, Local accuracy on local train data 96.967
Round  63, Devices participated 10, Average loss 0.115, Central accuracy on global test data 76.142, Local accuracy on global train data 22.334, Local accuracy on local train data 96.600
Round  64, Devices participated 10, Average loss 0.152, Central accuracy on global test data 68.760, Local accuracy on global train data 23.206, Local accuracy on local train data 96.067
Round  65, Devices participated 10, Average loss 0.189, Central accuracy on global test data 78.856, Local accuracy on global train data 25.352, Local accuracy on local train data 94.583
Round  66, Devices participated 10, Average loss 0.131, Central accuracy on global test data 77.524, Local accuracy on global train data 24.182, Local accuracy on local train data 96.467
Round  67, Devices participated 10, Average loss 0.122, Central accuracy on global test data 79.187, Local accuracy on global train data 25.278, Local accuracy on local train data 96.617
Round  68, Devices participated 10, Average loss 0.070, Central accuracy on global test data 77.264, Local accuracy on global train data 25.901, Local accuracy on local train data 97.917
Round  69, Devices participated 10, Average loss 0.094, Central accuracy on global test data 67.037, Local accuracy on global train data 20.369, Local accuracy on local train data 97.550
Round  70, Devices participated 10, Average loss 0.135, Central accuracy on global test data 82.071, Local accuracy on global train data 23.923, Local accuracy on local train data 96.200
Round  71, Devices participated 10, Average loss 0.077, Central accuracy on global test data 81.240, Local accuracy on global train data 25.647, Local accuracy on local train data 97.583
Round  72, Devices participated 10, Average loss 0.109, Central accuracy on global test data 76.843, Local accuracy on global train data 25.977, Local accuracy on local train data 96.833
Round  73, Devices participated 10, Average loss 0.090, Central accuracy on global test data 80.008, Local accuracy on global train data 24.236, Local accuracy on local train data 97.567
Round  74, Devices participated 10, Average loss 0.127, Central accuracy on global test data 73.187, Local accuracy on global train data 22.019, Local accuracy on local train data 96.400
Round  75, Devices participated 10, Average loss 0.162, Central accuracy on global test data 80.980, Local accuracy on global train data 24.038, Local accuracy on local train data 96.033
Round  76, Devices participated 10, Average loss 0.128, Central accuracy on global test data 80.589, Local accuracy on global train data 24.324, Local accuracy on local train data 96.250
Round  77, Devices participated 10, Average loss 0.138, Central accuracy on global test data 81.671, Local accuracy on global train data 24.448, Local accuracy on local train data 96.050
Round  78, Devices participated 10, Average loss 0.093, Central accuracy on global test data 83.273, Local accuracy on global train data 23.357, Local accuracy on local train data 97.250
Round  79, Devices participated 10, Average loss 0.099, Central accuracy on global test data 83.864, Local accuracy on global train data 24.807, Local accuracy on local train data 97.200
Round  80, Devices participated 10, Average loss 0.195, Central accuracy on global test data 79.107, Local accuracy on global train data 25.044, Local accuracy on local train data 94.750
Round  81, Devices participated 10, Average loss 0.116, Central accuracy on global test data 77.394, Local accuracy on global train data 25.322, Local accuracy on local train data 96.817
Round  82, Devices participated 10, Average loss 0.086, Central accuracy on global test data 79.818, Local accuracy on global train data 24.810, Local accuracy on local train data 97.567
Round  83, Devices participated 10, Average loss 0.096, Central accuracy on global test data 81.220, Local accuracy on global train data 26.140, Local accuracy on local train data 97.017
Round  84, Devices participated 10, Average loss 0.148, Central accuracy on global test data 76.252, Local accuracy on global train data 28.303, Local accuracy on local train data 95.950
Round  85, Devices participated 10, Average loss 0.106, Central accuracy on global test data 82.181, Local accuracy on global train data 29.124, Local accuracy on local train data 97.000
Round  86, Devices participated 10, Average loss 0.089, Central accuracy on global test data 79.207, Local accuracy on global train data 29.766, Local accuracy on local train data 97.567
Round  87, Devices participated 10, Average loss 0.099, Central accuracy on global test data 75.821, Local accuracy on global train data 26.506, Local accuracy on local train data 96.983
Round  88, Devices participated 10, Average loss 0.061, Central accuracy on global test data 79.026, Local accuracy on global train data 29.062, Local accuracy on local train data 98.250
Round  89, Devices participated 10, Average loss 0.081, Central accuracy on global test data 76.562, Local accuracy on global train data 33.025, Local accuracy on local train data 97.767
Round  90, Devices participated 10, Average loss 0.090, Central accuracy on global test data 71.354, Local accuracy on global train data 28.220, Local accuracy on local train data 97.333
Round  91, Devices participated 10, Average loss 0.143, Central accuracy on global test data 82.001, Local accuracy on global train data 26.404, Local accuracy on local train data 95.850
Round  92, Devices participated 10, Average loss 0.121, Central accuracy on global test data 83.864, Local accuracy on global train data 26.152, Local accuracy on local train data 96.567
Round  93, Devices participated 10, Average loss 0.100, Central accuracy on global test data 85.016, Local accuracy on global train data 28.679, Local accuracy on local train data 97.233
Round  94, Devices participated 10, Average loss 0.068, Central accuracy on global test data 78.035, Local accuracy on global train data 31.560, Local accuracy on local train data 97.917
Round  95, Devices participated 10, Average loss 0.063, Central accuracy on global test data 70.683, Local accuracy on global train data 35.339, Local accuracy on local train data 98.167
Round  96, Devices participated 10, Average loss 0.158, Central accuracy on global test data 81.661, Local accuracy on global train data 28.958, Local accuracy on local train data 95.367
Round  97, Devices participated 10, Average loss 0.134, Central accuracy on global test data 77.865, Local accuracy on global train data 26.528, Local accuracy on local train data 96.217
Round  98, Devices participated 10, Average loss 0.120, Central accuracy on global test data 74.509, Local accuracy on global train data 28.352, Local accuracy on local train data 97.050
Round  99, Devices participated 10, Average loss 0.131, Central accuracy on global test data 82.121, Local accuracy on global train data 30.554, Local accuracy on local train data 96.333
Round 100, Devices participated 10, Average loss 0.083, Central accuracy on global test data 78.395, Local accuracy on global train data 29.219, Local accuracy on local train data 97.833
Round 101, Devices participated 10, Average loss 0.125, Central accuracy on global test data 82.993, Local accuracy on global train data 27.581, Local accuracy on local train data 96.150
Round 102, Devices participated 10, Average loss 0.170, Central accuracy on global test data 83.714, Local accuracy on global train data 26.548, Local accuracy on local train data 95.317
Round 103, Devices participated 10, Average loss 0.109, Central accuracy on global test data 85.146, Local accuracy on global train data 29.961, Local accuracy on local train data 96.517
Round 104, Devices participated 10, Average loss 0.107, Central accuracy on global test data 82.302, Local accuracy on global train data 32.812, Local accuracy on local train data 96.933
Round 105, Devices participated 10, Average loss 0.147, Central accuracy on global test data 78.375, Local accuracy on global train data 28.818, Local accuracy on local train data 96.067
Round 106, Devices participated 10, Average loss 0.106, Central accuracy on global test data 78.105, Local accuracy on global train data 37.295, Local accuracy on local train data 96.950
Round 107, Devices participated 10, Average loss 0.120, Central accuracy on global test data 61.078, Local accuracy on global train data 32.095, Local accuracy on local train data 96.667
Round 108, Devices participated 10, Average loss 0.079, Central accuracy on global test data 78.626, Local accuracy on global train data 29.036, Local accuracy on local train data 97.783
Round 109, Devices participated 10, Average loss 0.138, Central accuracy on global test data 84.866, Local accuracy on global train data 32.825, Local accuracy on local train data 95.867
Round 110, Devices participated 10, Average loss 0.102, Central accuracy on global test data 85.417, Local accuracy on global train data 34.702, Local accuracy on local train data 97.117
Round 111, Devices participated 10, Average loss 0.106, Central accuracy on global test data 75.290, Local accuracy on global train data 34.807, Local accuracy on local train data 97.067
Round 112, Devices participated 10, Average loss 0.104, Central accuracy on global test data 76.482, Local accuracy on global train data 29.226, Local accuracy on local train data 96.783
Round 113, Devices participated 10, Average loss 0.094, Central accuracy on global test data 78.796, Local accuracy on global train data 30.071, Local accuracy on local train data 97.233
Round 114, Devices participated 10, Average loss 0.083, Central accuracy on global test data 80.188, Local accuracy on global train data 30.493, Local accuracy on local train data 97.733
Round 115, Devices participated 10, Average loss 0.063, Central accuracy on global test data 77.444, Local accuracy on global train data 40.920, Local accuracy on local train data 98.200
Round 116, Devices participated 10, Average loss 0.093, Central accuracy on global test data 87.300, Local accuracy on global train data 29.697, Local accuracy on local train data 97.267
Round 117, Devices participated 10, Average loss 0.119, Central accuracy on global test data 84.966, Local accuracy on global train data 31.755, Local accuracy on local train data 97.000
Round 118, Devices participated 10, Average loss 0.042, Central accuracy on global test data 89.393, Local accuracy on global train data 30.178, Local accuracy on local train data 98.783
Round 119, Devices participated 10, Average loss 0.092, Central accuracy on global test data 89.704, Local accuracy on global train data 34.709, Local accuracy on local train data 97.483
Round 120, Devices participated 10, Average loss 0.100, Central accuracy on global test data 85.697, Local accuracy on global train data 32.402, Local accuracy on local train data 97.167
Round 121, Devices participated 10, Average loss 0.075, Central accuracy on global test data 84.706, Local accuracy on global train data 33.401, Local accuracy on local train data 98.117
Round 122, Devices participated 10, Average loss 0.091, Central accuracy on global test data 88.662, Local accuracy on global train data 33.606, Local accuracy on local train data 97.400
Round 123, Devices participated 10, Average loss 0.086, Central accuracy on global test data 78.676, Local accuracy on global train data 39.204, Local accuracy on local train data 97.950
Round 124, Devices participated 10, Average loss 0.072, Central accuracy on global test data 87.530, Local accuracy on global train data 39.607, Local accuracy on local train data 98.067
Round 125, Devices participated 10, Average loss 0.080, Central accuracy on global test data 87.760, Local accuracy on global train data 41.104, Local accuracy on local train data 97.583
Round 126, Devices participated 10, Average loss 0.077, Central accuracy on global test data 86.088, Local accuracy on global train data 39.092, Local accuracy on local train data 97.783
Round 127, Devices participated 10, Average loss 0.084, Central accuracy on global test data 83.003, Local accuracy on global train data 34.604, Local accuracy on local train data 97.767
Round 128, Devices participated 10, Average loss 0.087, Central accuracy on global test data 86.699, Local accuracy on global train data 33.293, Local accuracy on local train data 97.467
Round 129, Devices participated 10, Average loss 0.092, Central accuracy on global test data 78.956, Local accuracy on global train data 38.325, Local accuracy on local train data 97.583
Round 130, Devices participated 10, Average loss 0.103, Central accuracy on global test data 84.014, Local accuracy on global train data 34.602, Local accuracy on local train data 96.917
Round 131, Devices participated 10, Average loss 0.082, Central accuracy on global test data 76.873, Local accuracy on global train data 31.790, Local accuracy on local train data 97.767
Round 132, Devices participated 10, Average loss 0.083, Central accuracy on global test data 87.991, Local accuracy on global train data 38.906, Local accuracy on local train data 97.500
Round 133, Devices participated 10, Average loss 0.068, Central accuracy on global test data 89.343, Local accuracy on global train data 36.274, Local accuracy on local train data 98.233
Round 134, Devices participated 10, Average loss 0.078, Central accuracy on global test data 88.331, Local accuracy on global train data 36.091, Local accuracy on local train data 97.950
Round 135, Devices participated 10, Average loss 0.069, Central accuracy on global test data 87.079, Local accuracy on global train data 36.423, Local accuracy on local train data 98.300
Round 136, Devices participated 10, Average loss 0.160, Central accuracy on global test data 82.021, Local accuracy on global train data 26.130, Local accuracy on local train data 95.450
Round 137, Devices participated 10, Average loss 0.050, Central accuracy on global test data 83.063, Local accuracy on global train data 39.407, Local accuracy on local train data 98.567
Round 138, Devices participated 10, Average loss 0.164, Central accuracy on global test data 87.029, Local accuracy on global train data 30.107, Local accuracy on local train data 96.200
Round 139, Devices participated 10, Average loss 0.054, Central accuracy on global test data 76.552, Local accuracy on global train data 39.675, Local accuracy on local train data 98.500
Round 140, Devices participated 10, Average loss 0.131, Central accuracy on global test data 76.663, Local accuracy on global train data 35.947, Local accuracy on local train data 96.150
Round 141, Devices participated 10, Average loss 0.093, Central accuracy on global test data 87.360, Local accuracy on global train data 29.680, Local accuracy on local train data 97.583
Round 142, Devices participated 10, Average loss 0.128, Central accuracy on global test data 89.423, Local accuracy on global train data 34.412, Local accuracy on local train data 96.450
Round 143, Devices participated 10, Average loss 0.093, Central accuracy on global test data 83.664, Local accuracy on global train data 32.268, Local accuracy on local train data 97.333
Round 144, Devices participated 10, Average loss 0.063, Central accuracy on global test data 86.408, Local accuracy on global train data 38.818, Local accuracy on local train data 98.050
Round 145, Devices participated 10, Average loss 0.106, Central accuracy on global test data 79.798, Local accuracy on global train data 37.700, Local accuracy on local train data 96.650
Round 146, Devices participated 10, Average loss 0.088, Central accuracy on global test data 88.522, Local accuracy on global train data 37.964, Local accuracy on local train data 97.917
Round 147, Devices participated 10, Average loss 0.078, Central accuracy on global test data 86.368, Local accuracy on global train data 39.739, Local accuracy on local train data 97.617
Round 148, Devices participated 10, Average loss 0.112, Central accuracy on global test data 80.950, Local accuracy on global train data 33.972, Local accuracy on local train data 96.667
Round 149, Devices participated 10, Average loss 0.128, Central accuracy on global test data 87.780, Local accuracy on global train data 33.040, Local accuracy on local train data 96.083
Round 150, Devices participated 10, Average loss 0.100, Central accuracy on global test data 89.253, Local accuracy on global train data 34.692, Local accuracy on local train data 97.050
Round 151, Devices participated 10, Average loss 0.107, Central accuracy on global test data 83.003, Local accuracy on global train data 39.563, Local accuracy on local train data 96.733
Round 152, Devices participated 10, Average loss 0.119, Central accuracy on global test data 84.776, Local accuracy on global train data 38.491, Local accuracy on local train data 96.517
Round 153, Devices participated 10, Average loss 0.127, Central accuracy on global test data 88.932, Local accuracy on global train data 31.055, Local accuracy on local train data 96.650
Round 154, Devices participated 10, Average loss 0.091, Central accuracy on global test data 82.662, Local accuracy on global train data 35.481, Local accuracy on local train data 97.700
Round 155, Devices participated 10, Average loss 0.068, Central accuracy on global test data 85.467, Local accuracy on global train data 38.660, Local accuracy on local train data 98.200
Round 156, Devices participated 10, Average loss 0.107, Central accuracy on global test data 88.211, Local accuracy on global train data 42.598, Local accuracy on local train data 96.850
Round 157, Devices participated 10, Average loss 0.077, Central accuracy on global test data 88.612, Local accuracy on global train data 45.806, Local accuracy on local train data 97.883
Round 158, Devices participated 10, Average loss 0.089, Central accuracy on global test data 84.786, Local accuracy on global train data 40.005, Local accuracy on local train data 97.350
Round 159, Devices participated 10, Average loss 0.057, Central accuracy on global test data 85.186, Local accuracy on global train data 41.287, Local accuracy on local train data 98.367
