Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.476, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.338, Central accuracy on global test data 12.450, Local accuracy on global train data 17.395, Local accuracy on local train data 88.983
Round   2, Devices participated 10, Average loss 0.276, Central accuracy on global test data 33.514, Local accuracy on global train data 19.070, Local accuracy on local train data 91.583
Round   3, Devices participated 10, Average loss 0.285, Central accuracy on global test data 29.337, Local accuracy on global train data 19.727, Local accuracy on local train data 91.200
Round   4, Devices participated 10, Average loss 0.230, Central accuracy on global test data 31.380, Local accuracy on global train data 18.616, Local accuracy on local train data 93.200
Round   5, Devices participated 10, Average loss 0.242, Central accuracy on global test data 30.519, Local accuracy on global train data 19.922, Local accuracy on local train data 92.850
Round   6, Devices participated 10, Average loss 0.232, Central accuracy on global test data 38.962, Local accuracy on global train data 19.392, Local accuracy on local train data 92.533
Round   7, Devices participated 10, Average loss 0.273, Central accuracy on global test data 51.382, Local accuracy on global train data 20.215, Local accuracy on local train data 91.917
Round   8, Devices participated 10, Average loss 0.233, Central accuracy on global test data 56.510, Local accuracy on global train data 18.611, Local accuracy on local train data 93.083
Round   9, Devices participated 10, Average loss 0.215, Central accuracy on global test data 54.227, Local accuracy on global train data 19.526, Local accuracy on local train data 92.700
Round  10, Devices participated 10, Average loss 0.198, Central accuracy on global test data 67.819, Local accuracy on global train data 18.638, Local accuracy on local train data 94.533
Round  11, Devices participated 10, Average loss 0.171, Central accuracy on global test data 66.807, Local accuracy on global train data 19.385, Local accuracy on local train data 95.417
Round  12, Devices participated 10, Average loss 0.275, Central accuracy on global test data 61.769, Local accuracy on global train data 20.417, Local accuracy on local train data 91.617
Round  13, Devices participated 10, Average loss 0.202, Central accuracy on global test data 55.679, Local accuracy on global train data 19.387, Local accuracy on local train data 94.583
Round  14, Devices participated 10, Average loss 0.216, Central accuracy on global test data 63.812, Local accuracy on global train data 21.077, Local accuracy on local train data 93.217
Round  15, Devices participated 10, Average loss 0.166, Central accuracy on global test data 62.089, Local accuracy on global train data 18.921, Local accuracy on local train data 94.617
Round  16, Devices participated 10, Average loss 0.263, Central accuracy on global test data 63.401, Local accuracy on global train data 19.526, Local accuracy on local train data 91.817
Round  17, Devices participated 10, Average loss 0.137, Central accuracy on global test data 79.868, Local accuracy on global train data 21.135, Local accuracy on local train data 96.017
Round  18, Devices participated 10, Average loss 0.226, Central accuracy on global test data 70.703, Local accuracy on global train data 21.003, Local accuracy on local train data 92.917
Round  19, Devices participated 10, Average loss 0.088, Central accuracy on global test data 69.261, Local accuracy on global train data 20.527, Local accuracy on local train data 97.700
Round  20, Devices participated 10, Average loss 0.134, Central accuracy on global test data 67.879, Local accuracy on global train data 21.133, Local accuracy on local train data 96.033
Round  21, Devices participated 10, Average loss 0.145, Central accuracy on global test data 58.353, Local accuracy on global train data 19.661, Local accuracy on local train data 95.733
Round  22, Devices participated 10, Average loss 0.130, Central accuracy on global test data 68.670, Local accuracy on global train data 24.448, Local accuracy on local train data 95.900
Round  23, Devices participated 10, Average loss 0.121, Central accuracy on global test data 53.235, Local accuracy on global train data 24.089, Local accuracy on local train data 96.417
Round  24, Devices participated 10, Average loss 0.126, Central accuracy on global test data 66.837, Local accuracy on global train data 21.321, Local accuracy on local train data 96.333
Round  25, Devices participated 10, Average loss 0.189, Central accuracy on global test data 67.668, Local accuracy on global train data 22.178, Local accuracy on local train data 94.300
Round  26, Devices participated 10, Average loss 0.143, Central accuracy on global test data 78.075, Local accuracy on global train data 22.925, Local accuracy on local train data 95.933
Round  27, Devices participated 10, Average loss 0.161, Central accuracy on global test data 71.084, Local accuracy on global train data 28.669, Local accuracy on local train data 95.117
Round  28, Devices participated 10, Average loss 0.107, Central accuracy on global test data 66.526, Local accuracy on global train data 27.217, Local accuracy on local train data 96.783
Round  29, Devices participated 10, Average loss 0.182, Central accuracy on global test data 70.132, Local accuracy on global train data 24.780, Local accuracy on local train data 94.133
Round  30, Devices participated 10, Average loss 0.117, Central accuracy on global test data 75.982, Local accuracy on global train data 24.260, Local accuracy on local train data 96.367
Round  31, Devices participated 10, Average loss 0.090, Central accuracy on global test data 77.714, Local accuracy on global train data 27.720, Local accuracy on local train data 97.400
Round  32, Devices participated 10, Average loss 0.095, Central accuracy on global test data 74.449, Local accuracy on global train data 26.340, Local accuracy on local train data 97.033
Round  33, Devices participated 10, Average loss 0.141, Central accuracy on global test data 74.960, Local accuracy on global train data 27.273, Local accuracy on local train data 95.917
Round  34, Devices participated 10, Average loss 0.058, Central accuracy on global test data 79.006, Local accuracy on global train data 30.645, Local accuracy on local train data 98.283
Round  35, Devices participated 10, Average loss 0.114, Central accuracy on global test data 86.579, Local accuracy on global train data 29.851, Local accuracy on local train data 96.517
Round  36, Devices participated 10, Average loss 0.132, Central accuracy on global test data 81.641, Local accuracy on global train data 32.083, Local accuracy on local train data 96.167
Round  37, Devices participated 10, Average loss 0.174, Central accuracy on global test data 81.981, Local accuracy on global train data 30.337, Local accuracy on local train data 94.583
Round  38, Devices participated 10, Average loss 0.095, Central accuracy on global test data 79.868, Local accuracy on global train data 32.014, Local accuracy on local train data 97.083
Round  39, Devices participated 10, Average loss 0.114, Central accuracy on global test data 77.334, Local accuracy on global train data 29.802, Local accuracy on local train data 96.733
Round  40, Devices participated 10, Average loss 0.125, Central accuracy on global test data 83.884, Local accuracy on global train data 30.762, Local accuracy on local train data 96.283
Round  41, Devices participated 10, Average loss 0.130, Central accuracy on global test data 79.788, Local accuracy on global train data 36.348, Local accuracy on local train data 96.200
Round  42, Devices participated 10, Average loss 0.159, Central accuracy on global test data 84.595, Local accuracy on global train data 28.479, Local accuracy on local train data 96.000
Round  43, Devices participated 10, Average loss 0.086, Central accuracy on global test data 81.200, Local accuracy on global train data 32.107, Local accuracy on local train data 97.433
Round  44, Devices participated 10, Average loss 0.173, Central accuracy on global test data 75.220, Local accuracy on global train data 32.803, Local accuracy on local train data 95.300
Round  45, Devices participated 10, Average loss 0.111, Central accuracy on global test data 81.871, Local accuracy on global train data 38.650, Local accuracy on local train data 96.767
Round  46, Devices participated 10, Average loss 0.160, Central accuracy on global test data 74.469, Local accuracy on global train data 39.431, Local accuracy on local train data 95.133
Round  47, Devices participated 10, Average loss 0.056, Central accuracy on global test data 83.123, Local accuracy on global train data 38.413, Local accuracy on local train data 98.317
Round  48, Devices participated 10, Average loss 0.104, Central accuracy on global test data 81.711, Local accuracy on global train data 44.871, Local accuracy on local train data 96.950
Round  49, Devices participated 10, Average loss 0.091, Central accuracy on global test data 84.966, Local accuracy on global train data 40.603, Local accuracy on local train data 97.800
Round  50, Devices participated 10, Average loss 0.126, Central accuracy on global test data 88.972, Local accuracy on global train data 39.382, Local accuracy on local train data 96.583
Round  51, Devices participated 10, Average loss 0.096, Central accuracy on global test data 88.331, Local accuracy on global train data 49.126, Local accuracy on local train data 97.100
Round  52, Devices participated 10, Average loss 0.100, Central accuracy on global test data 88.792, Local accuracy on global train data 40.522, Local accuracy on local train data 97.033
Round  53, Devices participated 10, Average loss 0.080, Central accuracy on global test data 79.828, Local accuracy on global train data 39.746, Local accuracy on local train data 97.400
