Round   0, Devices participated 10, Average loss 0.330, Central accuracy on global test data 32.492, Local accuracy on global train data 20.557, Local accuracy on local train data 90.267
Round   1, Devices participated 10, Average loss 0.313, Central accuracy on global test data 24.750, Local accuracy on global train data 19.321, Local accuracy on local train data 90.617
Round   2, Devices participated 10, Average loss 0.225, Central accuracy on global test data 17.107, Local accuracy on global train data 16.765, Local accuracy on local train data 93.183
Round   3, Devices participated 10, Average loss 0.273, Central accuracy on global test data 20.873, Local accuracy on global train data 21.138, Local accuracy on local train data 92.000
Round   4, Devices participated 10, Average loss 0.314, Central accuracy on global test data 44.942, Local accuracy on global train data 21.272, Local accuracy on local train data 90.383
Round   5, Devices participated 10, Average loss 0.237, Central accuracy on global test data 47.596, Local accuracy on global train data 21.304, Local accuracy on local train data 92.617
Round   6, Devices participated 10, Average loss 0.226, Central accuracy on global test data 47.115, Local accuracy on global train data 20.256, Local accuracy on local train data 94.217
Round   7, Devices participated 10, Average loss 0.225, Central accuracy on global test data 43.670, Local accuracy on global train data 20.969, Local accuracy on local train data 92.917
Round   8, Devices participated 10, Average loss 0.285, Central accuracy on global test data 46.905, Local accuracy on global train data 19.180, Local accuracy on local train data 91.000
Round   9, Devices participated 10, Average loss 0.265, Central accuracy on global test data 58.644, Local accuracy on global train data 18.184, Local accuracy on local train data 92.117
Round  10, Devices participated 10, Average loss 0.179, Central accuracy on global test data 58.173, Local accuracy on global train data 18.713, Local accuracy on local train data 94.700
Round  11, Devices participated 10, Average loss 0.169, Central accuracy on global test data 30.359, Local accuracy on global train data 17.495, Local accuracy on local train data 94.883
Round  12, Devices participated 10, Average loss 0.276, Central accuracy on global test data 46.324, Local accuracy on global train data 19.233, Local accuracy on local train data 91.800
Round  13, Devices participated 10, Average loss 0.219, Central accuracy on global test data 57.312, Local accuracy on global train data 20.681, Local accuracy on local train data 92.850
Round  14, Devices participated 10, Average loss 0.201, Central accuracy on global test data 59.545, Local accuracy on global train data 19.104, Local accuracy on local train data 93.950
Round  15, Devices participated 10, Average loss 0.140, Central accuracy on global test data 51.903, Local accuracy on global train data 21.587, Local accuracy on local train data 95.883
Round  16, Devices participated 10, Average loss 0.158, Central accuracy on global test data 54.667, Local accuracy on global train data 18.142, Local accuracy on local train data 95.300
Round  17, Devices participated 10, Average loss 0.153, Central accuracy on global test data 52.354, Local accuracy on global train data 21.130, Local accuracy on local train data 95.483
Round  18, Devices participated 10, Average loss 0.132, Central accuracy on global test data 57.622, Local accuracy on global train data 18.003, Local accuracy on local train data 96.183
Round  19, Devices participated 10, Average loss 0.193, Central accuracy on global test data 50.631, Local accuracy on global train data 20.479, Local accuracy on local train data 94.117
Round  20, Devices participated 10, Average loss 0.152, Central accuracy on global test data 56.520, Local accuracy on global train data 21.738, Local accuracy on local train data 95.517
Round  21, Devices participated 10, Average loss 0.163, Central accuracy on global test data 56.040, Local accuracy on global train data 22.014, Local accuracy on local train data 94.883
Round  22, Devices participated 10, Average loss 0.109, Central accuracy on global test data 63.822, Local accuracy on global train data 22.905, Local accuracy on local train data 96.567
Round  23, Devices participated 10, Average loss 0.126, Central accuracy on global test data 71.755, Local accuracy on global train data 20.779, Local accuracy on local train data 96.350
Round  24, Devices participated 10, Average loss 0.138, Central accuracy on global test data 76.893, Local accuracy on global train data 23.242, Local accuracy on local train data 96.050
Round  25, Devices participated 10, Average loss 0.202, Central accuracy on global test data 64.273, Local accuracy on global train data 24.014, Local accuracy on local train data 94.117
Round  26, Devices participated 10, Average loss 0.115, Central accuracy on global test data 70.072, Local accuracy on global train data 23.018, Local accuracy on local train data 96.533
Round  27, Devices participated 10, Average loss 0.139, Central accuracy on global test data 75.561, Local accuracy on global train data 22.944, Local accuracy on local train data 95.717
Round  28, Devices participated 10, Average loss 0.109, Central accuracy on global test data 70.212, Local accuracy on global train data 23.354, Local accuracy on local train data 96.950
Round  29, Devices participated 10, Average loss 0.151, Central accuracy on global test data 76.502, Local accuracy on global train data 21.484, Local accuracy on local train data 95.483
Round  30, Devices participated 10, Average loss 0.087, Central accuracy on global test data 75.952, Local accuracy on global train data 22.888, Local accuracy on local train data 97.150
Round  31, Devices participated 10, Average loss 0.118, Central accuracy on global test data 72.546, Local accuracy on global train data 24.270, Local accuracy on local train data 96.250
Round  32, Devices participated 10, Average loss 0.155, Central accuracy on global test data 74.549, Local accuracy on global train data 22.744, Local accuracy on local train data 95.200
Round  33, Devices participated 10, Average loss 0.133, Central accuracy on global test data 79.267, Local accuracy on global train data 29.768, Local accuracy on local train data 96.200
Round  34, Devices participated 10, Average loss 0.133, Central accuracy on global test data 72.646, Local accuracy on global train data 29.885, Local accuracy on local train data 96.300
Round  35, Devices participated 10, Average loss 0.101, Central accuracy on global test data 78.315, Local accuracy on global train data 26.890, Local accuracy on local train data 97.050
Round  36, Devices participated 10, Average loss 0.124, Central accuracy on global test data 78.956, Local accuracy on global train data 27.815, Local accuracy on local train data 96.383
Round  37, Devices participated 10, Average loss 0.094, Central accuracy on global test data 69.060, Local accuracy on global train data 30.640, Local accuracy on local train data 97.117
Round  38, Devices participated 10, Average loss 0.092, Central accuracy on global test data 76.172, Local accuracy on global train data 28.052, Local accuracy on local train data 97.400
Round  39, Devices participated 10, Average loss 0.102, Central accuracy on global test data 72.416, Local accuracy on global train data 31.138, Local accuracy on local train data 97.083
Round  40, Devices participated 10, Average loss 0.095, Central accuracy on global test data 70.923, Local accuracy on global train data 35.527, Local accuracy on local train data 97.417
Round  41, Devices participated 10, Average loss 0.140, Central accuracy on global test data 75.992, Local accuracy on global train data 27.654, Local accuracy on local train data 95.767
Round  42, Devices participated 10, Average loss 0.157, Central accuracy on global test data 70.433, Local accuracy on global train data 29.749, Local accuracy on local train data 95.433
Round  43, Devices participated 10, Average loss 0.076, Central accuracy on global test data 78.145, Local accuracy on global train data 38.352, Local accuracy on local train data 97.633
Round  44, Devices participated 10, Average loss 0.170, Central accuracy on global test data 87.620, Local accuracy on global train data 34.468, Local accuracy on local train data 95.183
Round  45, Devices participated 10, Average loss 0.088, Central accuracy on global test data 80.990, Local accuracy on global train data 34.133, Local accuracy on local train data 97.550
Round  46, Devices participated 10, Average loss 0.086, Central accuracy on global test data 76.753, Local accuracy on global train data 39.404, Local accuracy on local train data 97.567
Round  47, Devices participated 10, Average loss 0.113, Central accuracy on global test data 75.821, Local accuracy on global train data 32.437, Local accuracy on local train data 96.733
Round  48, Devices participated 10, Average loss 0.142, Central accuracy on global test data 78.335, Local accuracy on global train data 33.032, Local accuracy on local train data 95.800
Round  49, Devices participated 10, Average loss 0.082, Central accuracy on global test data 83.944, Local accuracy on global train data 34.927, Local accuracy on local train data 97.633
Round  50, Devices participated 10, Average loss 0.075, Central accuracy on global test data 76.713, Local accuracy on global train data 37.573, Local accuracy on local train data 97.800
Round  51, Devices participated 10, Average loss 0.086, Central accuracy on global test data 73.888, Local accuracy on global train data 32.793, Local accuracy on local train data 97.400
Round  52, Devices participated 10, Average loss 0.066, Central accuracy on global test data 86.498, Local accuracy on global train data 40.518, Local accuracy on local train data 98.250
Round  53, Devices participated 10, Average loss 0.051, Central accuracy on global test data 81.150, Local accuracy on global train data 40.720, Local accuracy on local train data 98.450
Round  54, Devices participated 10, Average loss 0.099, Central accuracy on global test data 89.123, Local accuracy on global train data 41.396, Local accuracy on local train data 96.750
