Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.476, Ensemble accuracy on global test data 29.756, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.320, Central accuracy on global test data 26.352, Ensemble accuracy on global test data 22.988, Local accuracy on global train data 17.219, Local accuracy on local train data 89.033
Round   2, Devices participated 10, Average loss 0.289, Central accuracy on global test data 33.003, Ensemble accuracy on global test data 32.617, Local accuracy on global train data 19.343, Local accuracy on local train data 91.900
Round   3, Devices participated 10, Average loss 0.280, Central accuracy on global test data 35.817, Ensemble accuracy on global test data 42.803, Local accuracy on global train data 20.439, Local accuracy on local train data 91.283
Round   4, Devices participated 10, Average loss 0.211, Central accuracy on global test data 35.547, Ensemble accuracy on global test data 36.113, Local accuracy on global train data 19.109, Local accuracy on local train data 94.050
Round   5, Devices participated 10, Average loss 0.302, Central accuracy on global test data 46.174, Ensemble accuracy on global test data 35.342, Local accuracy on global train data 20.491, Local accuracy on local train data 92.167
Round   6, Devices participated 10, Average loss 0.227, Central accuracy on global test data 56.981, Ensemble accuracy on global test data 31.641, Local accuracy on global train data 20.325, Local accuracy on local train data 92.583
Round   7, Devices participated 10, Average loss 0.271, Central accuracy on global test data 66.166, Ensemble accuracy on global test data 63.828, Local accuracy on global train data 21.152, Local accuracy on local train data 92.033
Round   8, Devices participated 10, Average loss 0.212, Central accuracy on global test data 60.637, Ensemble accuracy on global test data 52.412, Local accuracy on global train data 20.293, Local accuracy on local train data 94.183
Round   9, Devices participated 10, Average loss 0.225, Central accuracy on global test data 68.860, Ensemble accuracy on global test data 58.359, Local accuracy on global train data 24.370, Local accuracy on local train data 93.933
Round  10, Devices participated 10, Average loss 0.184, Central accuracy on global test data 65.084, Ensemble accuracy on global test data 57.900, Local accuracy on global train data 20.166, Local accuracy on local train data 94.767
Round  11, Devices participated 10, Average loss 0.150, Central accuracy on global test data 57.712, Ensemble accuracy on global test data 58.340, Local accuracy on global train data 24.912, Local accuracy on local train data 95.817
Round  12, Devices participated 10, Average loss 0.293, Central accuracy on global test data 61.729, Ensemble accuracy on global test data 44.209, Local accuracy on global train data 21.467, Local accuracy on local train data 91.300
Round  13, Devices participated 10, Average loss 0.190, Central accuracy on global test data 64.283, Ensemble accuracy on global test data 66.973, Local accuracy on global train data 25.146, Local accuracy on local train data 94.933
Round  14, Devices participated 10, Average loss 0.209, Central accuracy on global test data 74.249, Ensemble accuracy on global test data 76.260, Local accuracy on global train data 32.261, Local accuracy on local train data 93.900
Round  15, Devices participated 10, Average loss 0.171, Central accuracy on global test data 72.406, Ensemble accuracy on global test data 78.145, Local accuracy on global train data 28.240, Local accuracy on local train data 95.533
Round  16, Devices participated 10, Average loss 0.255, Central accuracy on global test data 71.504, Ensemble accuracy on global test data 73.916, Local accuracy on global train data 26.511, Local accuracy on local train data 92.867
Round  17, Devices participated 10, Average loss 0.131, Central accuracy on global test data 79.758, Ensemble accuracy on global test data 80.732, Local accuracy on global train data 36.416, Local accuracy on local train data 96.200
Round  18, Devices participated 10, Average loss 0.211, Central accuracy on global test data 79.167, Ensemble accuracy on global test data 65.557, Local accuracy on global train data 32.004, Local accuracy on local train data 94.167
Round  19, Devices participated 10, Average loss 0.088, Central accuracy on global test data 74.599, Ensemble accuracy on global test data 77.656, Local accuracy on global train data 40.969, Local accuracy on local train data 97.717
Round  20, Devices participated 10, Average loss 0.111, Central accuracy on global test data 75.962, Ensemble accuracy on global test data 56.094, Local accuracy on global train data 32.517, Local accuracy on local train data 96.617
Round  21, Devices participated 10, Average loss 0.136, Central accuracy on global test data 73.638, Ensemble accuracy on global test data 68.818, Local accuracy on global train data 31.509, Local accuracy on local train data 96.083
Round  22, Devices participated 10, Average loss 0.123, Central accuracy on global test data 76.232, Ensemble accuracy on global test data 81.299, Local accuracy on global train data 44.670, Local accuracy on local train data 96.317
Round  23, Devices participated 10, Average loss 0.111, Central accuracy on global test data 72.256, Ensemble accuracy on global test data 68.584, Local accuracy on global train data 44.517, Local accuracy on local train data 97.017
Round  24, Devices participated 10, Average loss 0.118, Central accuracy on global test data 74.710, Ensemble accuracy on global test data 81.289, Local accuracy on global train data 38.625, Local accuracy on local train data 96.650
Round  25, Devices participated 10, Average loss 0.152, Central accuracy on global test data 72.045, Ensemble accuracy on global test data 61.260, Local accuracy on global train data 27.412, Local accuracy on local train data 95.417
Round  26, Devices participated 10, Average loss 0.118, Central accuracy on global test data 79.447, Ensemble accuracy on global test data 85.527, Local accuracy on global train data 43.787, Local accuracy on local train data 96.800
Round  27, Devices participated 10, Average loss 0.159, Central accuracy on global test data 79.868, Ensemble accuracy on global test data 80.811, Local accuracy on global train data 40.811, Local accuracy on local train data 95.733
Round  28, Devices participated 10, Average loss 0.129, Central accuracy on global test data 73.427, Ensemble accuracy on global test data 82.646, Local accuracy on global train data 48.416, Local accuracy on local train data 96.767
Round  29, Devices participated 10, Average loss 0.135, Central accuracy on global test data 68.389, Ensemble accuracy on global test data 84.893, Local accuracy on global train data 44.485, Local accuracy on local train data 96.217
Round  30, Devices participated 10, Average loss 0.093, Central accuracy on global test data 68.089, Ensemble accuracy on global test data 77.822, Local accuracy on global train data 39.307, Local accuracy on local train data 97.317
Round  31, Devices participated 10, Average loss 0.089, Central accuracy on global test data 77.093, Ensemble accuracy on global test data 71.904, Local accuracy on global train data 44.243, Local accuracy on local train data 97.500
Round  32, Devices participated 10, Average loss 0.068, Central accuracy on global test data 77.103, Ensemble accuracy on global test data 85.059, Local accuracy on global train data 48.228, Local accuracy on local train data 98.083
Round  33, Devices participated 10, Average loss 0.100, Central accuracy on global test data 86.398, Ensemble accuracy on global test data 80.488, Local accuracy on global train data 47.786, Local accuracy on local train data 96.967
Round  34, Devices participated 10, Average loss 0.057, Central accuracy on global test data 79.938, Ensemble accuracy on global test data 83.174, Local accuracy on global train data 47.180, Local accuracy on local train data 98.350
Round  35, Devices participated 10, Average loss 0.102, Central accuracy on global test data 86.398, Ensemble accuracy on global test data 80.361, Local accuracy on global train data 45.408, Local accuracy on local train data 96.983
Round  36, Devices participated 10, Average loss 0.095, Central accuracy on global test data 91.036, Ensemble accuracy on global test data 84.102, Local accuracy on global train data 50.413, Local accuracy on local train data 97.167
Round  37, Devices participated 10, Average loss 0.131, Central accuracy on global test data 87.831, Ensemble accuracy on global test data 84.170, Local accuracy on global train data 48.484, Local accuracy on local train data 96.133
Round  38, Devices participated 10, Average loss 0.066, Central accuracy on global test data 86.418, Ensemble accuracy on global test data 85.879, Local accuracy on global train data 52.571, Local accuracy on local train data 98.033
Round  39, Devices participated 10, Average loss 0.092, Central accuracy on global test data 87.800, Ensemble accuracy on global test data 85.137, Local accuracy on global train data 49.961, Local accuracy on local train data 97.333
Round  40, Devices participated 10, Average loss 0.094, Central accuracy on global test data 82.212, Ensemble accuracy on global test data 87.002, Local accuracy on global train data 47.349, Local accuracy on local train data 97.033
Round  41, Devices participated 10, Average loss 0.091, Central accuracy on global test data 85.988, Ensemble accuracy on global test data 88.877, Local accuracy on global train data 61.904, Local accuracy on local train data 97.300
Round  42, Devices participated 10, Average loss 0.087, Central accuracy on global test data 80.629, Ensemble accuracy on global test data 84.727, Local accuracy on global train data 48.228, Local accuracy on local train data 97.550
Round  43, Devices participated 10, Average loss 0.071, Central accuracy on global test data 77.784, Ensemble accuracy on global test data 88.574, Local accuracy on global train data 51.340, Local accuracy on local train data 98.033
Round  44, Devices participated 10, Average loss 0.101, Central accuracy on global test data 80.038, Ensemble accuracy on global test data 86.465, Local accuracy on global train data 55.547, Local accuracy on local train data 97.100
Round  45, Devices participated 10, Average loss 0.085, Central accuracy on global test data 88.291, Ensemble accuracy on global test data 86.514, Local accuracy on global train data 57.827, Local accuracy on local train data 97.633
Round  46, Devices participated 10, Average loss 0.112, Central accuracy on global test data 89.974, Ensemble accuracy on global test data 87.998, Local accuracy on global train data 56.978, Local accuracy on local train data 96.867
Round  47, Devices participated 10, Average loss 0.047, Central accuracy on global test data 92.448, Ensemble accuracy on global test data 87.305, Local accuracy on global train data 61.289, Local accuracy on local train data 98.633
Round  48, Devices participated 10, Average loss 0.089, Central accuracy on global test data 91.587, Ensemble accuracy on global test data 89.238, Local accuracy on global train data 64.055, Local accuracy on local train data 97.433
Round  49, Devices participated 10, Average loss 0.048, Central accuracy on global test data 89.433, Ensemble accuracy on global test data 88.398, Local accuracy on global train data 64.971, Local accuracy on local train data 98.650
Round  50, Devices participated 10, Average loss 0.081, Central accuracy on global test data 86.619, Ensemble accuracy on global test data 87.314, Local accuracy on global train data 61.897, Local accuracy on local train data 97.750
