Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.476, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.338, Central accuracy on global test data 24.700, Local accuracy on global train data 17.395, Local accuracy on local train data 88.983
Round   2, Devices participated 10, Average loss 0.269, Central accuracy on global test data 33.804, Local accuracy on global train data 19.087, Local accuracy on local train data 91.733
Round   3, Devices participated 10, Average loss 0.285, Central accuracy on global test data 35.757, Local accuracy on global train data 19.678, Local accuracy on local train data 91.517
Round   4, Devices participated 10, Average loss 0.233, Central accuracy on global test data 37.069, Local accuracy on global train data 18.601, Local accuracy on local train data 93.167
Round   5, Devices participated 10, Average loss 0.292, Central accuracy on global test data 40.785, Local accuracy on global train data 20.432, Local accuracy on local train data 92.550
Round   6, Devices participated 10, Average loss 0.223, Central accuracy on global test data 58.464, Local accuracy on global train data 20.112, Local accuracy on local train data 93.100
Round   7, Devices participated 10, Average loss 0.252, Central accuracy on global test data 38.602, Local accuracy on global train data 20.396, Local accuracy on local train data 92.267
Round   8, Devices participated 10, Average loss 0.204, Central accuracy on global test data 33.013, Local accuracy on global train data 20.786, Local accuracy on local train data 93.667
Round   9, Devices participated 10, Average loss 0.190, Central accuracy on global test data 55.118, Local accuracy on global train data 23.123, Local accuracy on local train data 94.100
Round  10, Devices participated 10, Average loss 0.164, Central accuracy on global test data 36.909, Local accuracy on global train data 19.348, Local accuracy on local train data 95.433
Round  11, Devices participated 10, Average loss 0.147, Central accuracy on global test data 32.202, Local accuracy on global train data 21.233, Local accuracy on local train data 96.133
Round  12, Devices participated 10, Average loss 0.271, Central accuracy on global test data 36.288, Local accuracy on global train data 21.147, Local accuracy on local train data 91.850
Round  13, Devices participated 10, Average loss 0.167, Central accuracy on global test data 31.581, Local accuracy on global train data 23.462, Local accuracy on local train data 95.717
Round  14, Devices participated 10, Average loss 0.237, Central accuracy on global test data 44.842, Local accuracy on global train data 26.997, Local accuracy on local train data 93.117
Round  15, Devices participated 10, Average loss 0.143, Central accuracy on global test data 45.483, Local accuracy on global train data 24.485, Local accuracy on local train data 95.683
Round  16, Devices participated 10, Average loss 0.231, Central accuracy on global test data 70.272, Local accuracy on global train data 23.794, Local accuracy on local train data 93.133
Round  17, Devices participated 10, Average loss 0.143, Central accuracy on global test data 61.719, Local accuracy on global train data 30.542, Local accuracy on local train data 95.967
Round  18, Devices participated 10, Average loss 0.183, Central accuracy on global test data 69.091, Local accuracy on global train data 29.646, Local accuracy on local train data 93.883
Round  19, Devices participated 10, Average loss 0.091, Central accuracy on global test data 63.612, Local accuracy on global train data 30.396, Local accuracy on local train data 97.417
Round  20, Devices participated 10, Average loss 0.146, Central accuracy on global test data 67.698, Local accuracy on global train data 29.221, Local accuracy on local train data 96.233
Round  21, Devices participated 10, Average loss 0.147, Central accuracy on global test data 62.109, Local accuracy on global train data 29.939, Local accuracy on local train data 95.733
Round  22, Devices participated 10, Average loss 0.121, Central accuracy on global test data 51.943, Local accuracy on global train data 37.400, Local accuracy on local train data 96.067
Round  23, Devices participated 10, Average loss 0.108, Central accuracy on global test data 39.643, Local accuracy on global train data 37.502, Local accuracy on local train data 96.800
Round  24, Devices participated 10, Average loss 0.134, Central accuracy on global test data 61.889, Local accuracy on global train data 30.391, Local accuracy on local train data 96.300
Round  25, Devices participated 10, Average loss 0.158, Central accuracy on global test data 40.615, Local accuracy on global train data 25.613, Local accuracy on local train data 95.217
Round  26, Devices participated 10, Average loss 0.132, Central accuracy on global test data 42.638, Local accuracy on global train data 38.982, Local accuracy on local train data 96.317
Round  27, Devices participated 10, Average loss 0.122, Central accuracy on global test data 45.292, Local accuracy on global train data 40.835, Local accuracy on local train data 96.500
Round  28, Devices participated 10, Average loss 0.118, Central accuracy on global test data 59.615, Local accuracy on global train data 39.136, Local accuracy on local train data 97.067
Round  29, Devices participated 10, Average loss 0.164, Central accuracy on global test data 55.960, Local accuracy on global train data 35.740, Local accuracy on local train data 95.333
Round  30, Devices participated 10, Average loss 0.090, Central accuracy on global test data 53.716, Local accuracy on global train data 33.147, Local accuracy on local train data 97.100
Round  31, Devices participated 10, Average loss 0.079, Central accuracy on global test data 63.772, Local accuracy on global train data 36.929, Local accuracy on local train data 97.833
Round  32, Devices participated 10, Average loss 0.094, Central accuracy on global test data 53.015, Local accuracy on global train data 40.205, Local accuracy on local train data 97.450
Round  33, Devices participated 10, Average loss 0.102, Central accuracy on global test data 63.792, Local accuracy on global train data 38.464, Local accuracy on local train data 96.983
Round  34, Devices participated 10, Average loss 0.064, Central accuracy on global test data 60.056, Local accuracy on global train data 41.228, Local accuracy on local train data 98.350
Round  35, Devices participated 10, Average loss 0.138, Central accuracy on global test data 81.611, Local accuracy on global train data 37.263, Local accuracy on local train data 95.983
Round  36, Devices participated 10, Average loss 0.104, Central accuracy on global test data 69.211, Local accuracy on global train data 41.526, Local accuracy on local train data 97.117
Round  37, Devices participated 10, Average loss 0.138, Central accuracy on global test data 71.504, Local accuracy on global train data 42.554, Local accuracy on local train data 96.083
