Round   0, Devices participated 10, Average loss 0.330, Central accuracy on global test data 32.492, Local accuracy on global train data 20.557, Local accuracy on local train data 90.267
Round   1, Devices participated 10, Average loss 0.313, Central accuracy on global test data 46.985, Local accuracy on global train data 19.321, Local accuracy on local train data 90.617
Round   2, Devices participated 10, Average loss 0.223, Central accuracy on global test data 49.189, Local accuracy on global train data 16.770, Local accuracy on local train data 93.133
Round   3, Devices participated 10, Average loss 0.273, Central accuracy on global test data 54.928, Local accuracy on global train data 21.138, Local accuracy on local train data 92.000
Round   4, Devices participated 10, Average loss 0.269, Central accuracy on global test data 32.923, Local accuracy on global train data 21.467, Local accuracy on local train data 91.500
Round   5, Devices participated 10, Average loss 0.230, Central accuracy on global test data 47.125, Local accuracy on global train data 21.375, Local accuracy on local train data 93.300
Round   6, Devices participated 10, Average loss 0.190, Central accuracy on global test data 44.892, Local accuracy on global train data 21.147, Local accuracy on local train data 94.600
Round   7, Devices participated 10, Average loss 0.222, Central accuracy on global test data 68.500, Local accuracy on global train data 22.998, Local accuracy on local train data 93.167
Round   8, Devices participated 10, Average loss 0.308, Central accuracy on global test data 66.276, Local accuracy on global train data 20.098, Local accuracy on local train data 91.183
Round   9, Devices participated 10, Average loss 0.266, Central accuracy on global test data 50.020, Local accuracy on global train data 18.879, Local accuracy on local train data 92.283
Round  10, Devices participated 10, Average loss 0.153, Central accuracy on global test data 43.980, Local accuracy on global train data 21.062, Local accuracy on local train data 95.467
Round  11, Devices participated 10, Average loss 0.143, Central accuracy on global test data 49.930, Local accuracy on global train data 18.972, Local accuracy on local train data 96.000
Round  12, Devices participated 10, Average loss 0.242, Central accuracy on global test data 72.636, Local accuracy on global train data 22.837, Local accuracy on local train data 92.700
Round  13, Devices participated 10, Average loss 0.218, Central accuracy on global test data 58.323, Local accuracy on global train data 22.656, Local accuracy on local train data 93.317
Round  14, Devices participated 10, Average loss 0.168, Central accuracy on global test data 63.371, Local accuracy on global train data 23.198, Local accuracy on local train data 95.033
Round  15, Devices participated 10, Average loss 0.132, Central accuracy on global test data 59.075, Local accuracy on global train data 25.117, Local accuracy on local train data 96.200
Round  16, Devices participated 10, Average loss 0.159, Central accuracy on global test data 51.252, Local accuracy on global train data 26.553, Local accuracy on local train data 95.783
Round  17, Devices participated 10, Average loss 0.136, Central accuracy on global test data 56.060, Local accuracy on global train data 30.352, Local accuracy on local train data 95.733
Round  18, Devices participated 10, Average loss 0.111, Central accuracy on global test data 31.430, Local accuracy on global train data 22.920, Local accuracy on local train data 96.700
Round  19, Devices participated 10, Average loss 0.185, Central accuracy on global test data 52.554, Local accuracy on global train data 28.818, Local accuracy on local train data 94.533
Round  20, Devices participated 10, Average loss 0.153, Central accuracy on global test data 64.884, Local accuracy on global train data 27.576, Local accuracy on local train data 95.983
Round  21, Devices participated 10, Average loss 0.162, Central accuracy on global test data 64.012, Local accuracy on global train data 31.204, Local accuracy on local train data 95.300
Round  22, Devices participated 10, Average loss 0.099, Central accuracy on global test data 68.359, Local accuracy on global train data 31.052, Local accuracy on local train data 97.450
Round  23, Devices participated 10, Average loss 0.110, Central accuracy on global test data 60.146, Local accuracy on global train data 31.780, Local accuracy on local train data 96.900
Round  24, Devices participated 10, Average loss 0.132, Central accuracy on global test data 68.560, Local accuracy on global train data 33.804, Local accuracy on local train data 96.150
Round  25, Devices participated 10, Average loss 0.143, Central accuracy on global test data 76.933, Local accuracy on global train data 33.738, Local accuracy on local train data 95.883
Round  26, Devices participated 10, Average loss 0.094, Central accuracy on global test data 84.455, Local accuracy on global train data 36.697, Local accuracy on local train data 97.317
Round  27, Devices participated 10, Average loss 0.109, Central accuracy on global test data 81.030, Local accuracy on global train data 37.363, Local accuracy on local train data 96.750
Round  28, Devices participated 10, Average loss 0.083, Central accuracy on global test data 79.437, Local accuracy on global train data 35.840, Local accuracy on local train data 97.700
Round  29, Devices participated 10, Average loss 0.129, Central accuracy on global test data 61.488, Local accuracy on global train data 31.912, Local accuracy on local train data 96.133
Round  30, Devices participated 10, Average loss 0.081, Central accuracy on global test data 65.815, Local accuracy on global train data 31.680, Local accuracy on local train data 97.683
Round  31, Devices participated 10, Average loss 0.108, Central accuracy on global test data 79.788, Local accuracy on global train data 38.950, Local accuracy on local train data 97.133
Round  32, Devices participated 10, Average loss 0.109, Central accuracy on global test data 78.105, Local accuracy on global train data 38.955, Local accuracy on local train data 96.833
Round  33, Devices participated 10, Average loss 0.123, Central accuracy on global test data 69.060, Local accuracy on global train data 41.050, Local accuracy on local train data 96.650
Round  34, Devices participated 10, Average loss 0.107, Central accuracy on global test data 62.290, Local accuracy on global train data 41.082, Local accuracy on local train data 96.967
Round  35, Devices participated 10, Average loss 0.080, Central accuracy on global test data 66.376, Local accuracy on global train data 42.688, Local accuracy on local train data 97.800
Round  36, Devices participated 10, Average loss 0.108, Central accuracy on global test data 72.947, Local accuracy on global train data 39.854, Local accuracy on local train data 96.917
Round  37, Devices participated 10, Average loss 0.068, Central accuracy on global test data 82.131, Local accuracy on global train data 41.299, Local accuracy on local train data 97.800
Round  38, Devices participated 10, Average loss 0.088, Central accuracy on global test data 81.260, Local accuracy on global train data 44.482, Local accuracy on local train data 97.600
Round  39, Devices participated 10, Average loss 0.078, Central accuracy on global test data 69.732, Local accuracy on global train data 47.468, Local accuracy on local train data 97.550
Round  40, Devices participated 10, Average loss 0.066, Central accuracy on global test data 70.923, Local accuracy on global train data 52.473, Local accuracy on local train data 98.167
Round  41, Devices participated 10, Average loss 0.113, Central accuracy on global test data 75.000, Local accuracy on global train data 47.185, Local accuracy on local train data 96.567
Round  42, Devices participated 10, Average loss 0.163, Central accuracy on global test data 66.006, Local accuracy on global train data 41.050, Local accuracy on local train data 95.600
Round  43, Devices participated 10, Average loss 0.049, Central accuracy on global test data 83.784, Local accuracy on global train data 57.769, Local accuracy on local train data 98.633
Round  44, Devices participated 10, Average loss 0.136, Central accuracy on global test data 88.021, Local accuracy on global train data 53.042, Local accuracy on local train data 96.117
