Round   0, Devices participated 10, Average loss 0.330, Central accuracy on global test data 32.492, Local accuracy on global train data 20.557, Local accuracy on local train data 90.267
Round   1, Devices participated 10, Average loss 0.313, Central accuracy on global test data 46.985, Local accuracy on global train data 19.321, Local accuracy on local train data 90.617
Round   2, Devices participated 10, Average loss 0.223, Central accuracy on global test data 49.189, Local accuracy on global train data 16.770, Local accuracy on local train data 93.133
Round   3, Devices participated 10, Average loss 0.273, Central accuracy on global test data 54.928, Local accuracy on global train data 21.138, Local accuracy on local train data 92.000
Round   4, Devices participated 10, Average loss 0.269, Central accuracy on global test data 32.923, Local accuracy on global train data 21.467, Local accuracy on local train data 91.500
Round   5, Devices participated 10, Average loss 0.230, Central accuracy on global test data 46.715, Local accuracy on global train data 21.375, Local accuracy on local train data 93.300
Round   6, Devices participated 10, Average loss 0.190, Central accuracy on global test data 47.526, Local accuracy on global train data 21.147, Local accuracy on local train data 94.600
Round   7, Devices participated 10, Average loss 0.225, Central accuracy on global test data 68.480, Local accuracy on global train data 22.827, Local accuracy on local train data 93.083
Round   8, Devices participated 10, Average loss 0.302, Central accuracy on global test data 62.049, Local accuracy on global train data 20.610, Local accuracy on local train data 91.250
Round   9, Devices participated 10, Average loss 0.257, Central accuracy on global test data 53.556, Local accuracy on global train data 19.038, Local accuracy on local train data 92.400
Round  10, Devices participated 10, Average loss 0.147, Central accuracy on global test data 50.541, Local accuracy on global train data 21.018, Local accuracy on local train data 95.550
Round  11, Devices participated 10, Average loss 0.159, Central accuracy on global test data 50.040, Local accuracy on global train data 19.937, Local accuracy on local train data 95.983
Round  12, Devices participated 10, Average loss 0.271, Central accuracy on global test data 60.777, Local accuracy on global train data 22.124, Local accuracy on local train data 92.317
Round  13, Devices participated 10, Average loss 0.228, Central accuracy on global test data 65.605, Local accuracy on global train data 23.330, Local accuracy on local train data 93.083
Round  14, Devices participated 10, Average loss 0.172, Central accuracy on global test data 62.360, Local accuracy on global train data 22.390, Local accuracy on local train data 94.850
Round  15, Devices participated 10, Average loss 0.129, Central accuracy on global test data 57.041, Local accuracy on global train data 23.147, Local accuracy on local train data 96.367
Round  16, Devices participated 10, Average loss 0.194, Central accuracy on global test data 53.255, Local accuracy on global train data 23.323, Local accuracy on local train data 94.867
Round  17, Devices participated 10, Average loss 0.159, Central accuracy on global test data 52.204, Local accuracy on global train data 25.906, Local accuracy on local train data 94.950
Round  18, Devices participated 10, Average loss 0.123, Central accuracy on global test data 57.061, Local accuracy on global train data 20.891, Local accuracy on local train data 96.383
Round  19, Devices participated 10, Average loss 0.180, Central accuracy on global test data 51.733, Local accuracy on global train data 27.542, Local accuracy on local train data 94.650
Round  20, Devices participated 10, Average loss 0.153, Central accuracy on global test data 55.078, Local accuracy on global train data 26.655, Local accuracy on local train data 95.883
Round  21, Devices participated 10, Average loss 0.151, Central accuracy on global test data 52.674, Local accuracy on global train data 28.098, Local accuracy on local train data 95.283
Round  22, Devices participated 10, Average loss 0.121, Central accuracy on global test data 61.809, Local accuracy on global train data 29.478, Local accuracy on local train data 96.333
Round  23, Devices participated 10, Average loss 0.104, Central accuracy on global test data 60.607, Local accuracy on global train data 27.900, Local accuracy on local train data 96.833
Round  24, Devices participated 10, Average loss 0.131, Central accuracy on global test data 70.533, Local accuracy on global train data 32.102, Local accuracy on local train data 96.167
Round  25, Devices participated 10, Average loss 0.161, Central accuracy on global test data 71.705, Local accuracy on global train data 29.956, Local accuracy on local train data 95.017
Round  26, Devices participated 10, Average loss 0.097, Central accuracy on global test data 71.414, Local accuracy on global train data 33.999, Local accuracy on local train data 97.350
Round  27, Devices participated 10, Average loss 0.109, Central accuracy on global test data 76.112, Local accuracy on global train data 34.988, Local accuracy on local train data 96.650
Round  28, Devices participated 10, Average loss 0.088, Central accuracy on global test data 81.601, Local accuracy on global train data 34.375, Local accuracy on local train data 97.633
Round  29, Devices participated 10, Average loss 0.132, Central accuracy on global test data 67.218, Local accuracy on global train data 29.163, Local accuracy on local train data 96.033
Round  30, Devices participated 10, Average loss 0.090, Central accuracy on global test data 72.486, Local accuracy on global train data 30.886, Local accuracy on local train data 97.450
Round  31, Devices participated 10, Average loss 0.108, Central accuracy on global test data 78.375, Local accuracy on global train data 35.264, Local accuracy on local train data 96.883
Round  32, Devices participated 10, Average loss 0.128, Central accuracy on global test data 72.426, Local accuracy on global train data 32.903, Local accuracy on local train data 96.150
Round  33, Devices participated 10, Average loss 0.132, Central accuracy on global test data 82.873, Local accuracy on global train data 37.993, Local accuracy on local train data 96.267
Round  34, Devices participated 10, Average loss 0.118, Central accuracy on global test data 87.821, Local accuracy on global train data 40.408, Local accuracy on local train data 96.717
Round  35, Devices participated 10, Average loss 0.081, Central accuracy on global test data 87.190, Local accuracy on global train data 38.945, Local accuracy on local train data 97.500
Round  36, Devices participated 10, Average loss 0.109, Central accuracy on global test data 82.272, Local accuracy on global train data 39.282, Local accuracy on local train data 96.783
Round  37, Devices participated 10, Average loss 0.076, Central accuracy on global test data 76.372, Local accuracy on global train data 41.147, Local accuracy on local train data 97.700
Round  38, Devices participated 10, Average loss 0.094, Central accuracy on global test data 77.945, Local accuracy on global train data 42.446, Local accuracy on local train data 97.500
Round  39, Devices participated 10, Average loss 0.095, Central accuracy on global test data 74.619, Local accuracy on global train data 45.671, Local accuracy on local train data 97.267
Round  40, Devices participated 10, Average loss 0.068, Central accuracy on global test data 72.175, Local accuracy on global train data 50.017, Local accuracy on local train data 97.917
Round  41, Devices participated 10, Average loss 0.101, Central accuracy on global test data 70.563, Local accuracy on global train data 42.537, Local accuracy on local train data 96.967
Round  42, Devices participated 10, Average loss 0.143, Central accuracy on global test data 71.284, Local accuracy on global train data 40.835, Local accuracy on local train data 95.783
Round  43, Devices participated 10, Average loss 0.059, Central accuracy on global test data 82.071, Local accuracy on global train data 54.438, Local accuracy on local train data 98.350
Round  44, Devices participated 10, Average loss 0.100, Central accuracy on global test data 84.776, Local accuracy on global train data 50.139, Local accuracy on local train data 96.867
