Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.476, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.338, Central accuracy on global test data 24.700, Local accuracy on global train data 17.395, Local accuracy on local train data 88.983
Round   2, Devices participated 10, Average loss 0.269, Central accuracy on global test data 33.804, Local accuracy on global train data 19.087, Local accuracy on local train data 91.733
Round   3, Devices participated 10, Average loss 0.285, Central accuracy on global test data 35.757, Local accuracy on global train data 19.678, Local accuracy on local train data 91.517
Round   4, Devices participated 10, Average loss 0.233, Central accuracy on global test data 34.936, Local accuracy on global train data 18.601, Local accuracy on local train data 93.167
Round   5, Devices participated 10, Average loss 0.298, Central accuracy on global test data 46.014, Local accuracy on global train data 20.400, Local accuracy on local train data 92.483
Round   6, Devices participated 10, Average loss 0.223, Central accuracy on global test data 59.846, Local accuracy on global train data 19.990, Local accuracy on local train data 93.183
Round   7, Devices participated 10, Average loss 0.254, Central accuracy on global test data 63.271, Local accuracy on global train data 20.334, Local accuracy on local train data 92.017
Round   8, Devices participated 10, Average loss 0.236, Central accuracy on global test data 45.653, Local accuracy on global train data 19.644, Local accuracy on local train data 93.183
Round   9, Devices participated 10, Average loss 0.189, Central accuracy on global test data 48.698, Local accuracy on global train data 21.873, Local accuracy on local train data 94.083
Round  10, Devices participated 10, Average loss 0.181, Central accuracy on global test data 51.432, Local accuracy on global train data 19.634, Local accuracy on local train data 94.933
Round  11, Devices participated 10, Average loss 0.152, Central accuracy on global test data 51.012, Local accuracy on global train data 21.780, Local accuracy on local train data 95.950
Round  12, Devices participated 10, Average loss 0.268, Central accuracy on global test data 57.692, Local accuracy on global train data 21.787, Local accuracy on local train data 91.983
Round  13, Devices participated 10, Average loss 0.180, Central accuracy on global test data 63.401, Local accuracy on global train data 23.687, Local accuracy on local train data 95.083
Round  14, Devices participated 10, Average loss 0.218, Central accuracy on global test data 65.385, Local accuracy on global train data 27.407, Local accuracy on local train data 93.450
Round  15, Devices participated 10, Average loss 0.193, Central accuracy on global test data 67.668, Local accuracy on global train data 24.438, Local accuracy on local train data 94.683
Round  16, Devices participated 10, Average loss 0.250, Central accuracy on global test data 66.336, Local accuracy on global train data 23.628, Local accuracy on local train data 93.117
Round  17, Devices participated 10, Average loss 0.152, Central accuracy on global test data 75.671, Local accuracy on global train data 28.386, Local accuracy on local train data 95.717
Round  18, Devices participated 10, Average loss 0.193, Central accuracy on global test data 70.613, Local accuracy on global train data 26.885, Local accuracy on local train data 93.450
Round  19, Devices participated 10, Average loss 0.093, Central accuracy on global test data 57.131, Local accuracy on global train data 28.071, Local accuracy on local train data 97.483
Round  20, Devices participated 10, Average loss 0.110, Central accuracy on global test data 61.849, Local accuracy on global train data 28.064, Local accuracy on local train data 96.633
Round  21, Devices participated 10, Average loss 0.149, Central accuracy on global test data 64.333, Local accuracy on global train data 25.398, Local accuracy on local train data 95.567
Round  22, Devices participated 10, Average loss 0.121, Central accuracy on global test data 67.929, Local accuracy on global train data 33.943, Local accuracy on local train data 96.367
Round  23, Devices participated 10, Average loss 0.102, Central accuracy on global test data 62.530, Local accuracy on global train data 34.299, Local accuracy on local train data 97.117
Round  24, Devices participated 10, Average loss 0.144, Central accuracy on global test data 65.795, Local accuracy on global train data 30.518, Local accuracy on local train data 96.150
Round  25, Devices participated 10, Average loss 0.180, Central accuracy on global test data 65.545, Local accuracy on global train data 24.219, Local accuracy on local train data 94.633
Round  26, Devices participated 10, Average loss 0.151, Central accuracy on global test data 76.713, Local accuracy on global train data 33.159, Local accuracy on local train data 95.883
Round  27, Devices participated 10, Average loss 0.142, Central accuracy on global test data 78.065, Local accuracy on global train data 34.990, Local accuracy on local train data 95.750
Round  28, Devices participated 10, Average loss 0.103, Central accuracy on global test data 70.272, Local accuracy on global train data 39.602, Local accuracy on local train data 97.067
Round  29, Devices participated 10, Average loss 0.161, Central accuracy on global test data 63.762, Local accuracy on global train data 39.280, Local accuracy on local train data 95.133
Round  30, Devices participated 10, Average loss 0.103, Central accuracy on global test data 64.633, Local accuracy on global train data 32.517, Local accuracy on local train data 96.933
Round  31, Devices participated 10, Average loss 0.090, Central accuracy on global test data 73.077, Local accuracy on global train data 36.238, Local accuracy on local train data 97.500
Round  32, Devices participated 10, Average loss 0.072, Central accuracy on global test data 73.377, Local accuracy on global train data 38.667, Local accuracy on local train data 97.983
Round  33, Devices participated 10, Average loss 0.119, Central accuracy on global test data 85.096, Local accuracy on global train data 41.084, Local accuracy on local train data 96.483
Round  34, Devices participated 10, Average loss 0.060, Central accuracy on global test data 77.324, Local accuracy on global train data 41.821, Local accuracy on local train data 98.300
Round  35, Devices participated 10, Average loss 0.110, Central accuracy on global test data 87.119, Local accuracy on global train data 41.211, Local accuracy on local train data 96.767
Round  36, Devices participated 10, Average loss 0.102, Central accuracy on global test data 90.605, Local accuracy on global train data 44.194, Local accuracy on local train data 97.200
Round  37, Devices participated 10, Average loss 0.166, Central accuracy on global test data 88.732, Local accuracy on global train data 45.017, Local accuracy on local train data 95.233
