Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.656, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.319, Central accuracy on global test data 17.678, Local accuracy on global train data 17.393, Local accuracy on local train data 89.583
Round   2, Devices participated 10, Average loss 0.276, Central accuracy on global test data 40.765, Local accuracy on global train data 19.048, Local accuracy on local train data 91.767
Round   3, Devices participated 10, Average loss 0.291, Central accuracy on global test data 36.278, Local accuracy on global train data 19.727, Local accuracy on local train data 91.100
Round   4, Devices participated 10, Average loss 0.231, Central accuracy on global test data 43.560, Local accuracy on global train data 18.608, Local accuracy on local train data 93.267
Round   5, Devices participated 10, Average loss 0.256, Central accuracy on global test data 36.058, Local accuracy on global train data 19.827, Local accuracy on local train data 92.633
Round   6, Devices participated 10, Average loss 0.249, Central accuracy on global test data 33.694, Local accuracy on global train data 19.097, Local accuracy on local train data 92.567
Round   7, Devices participated 10, Average loss 0.287, Central accuracy on global test data 38.702, Local accuracy on global train data 20.171, Local accuracy on local train data 91.033
Round   8, Devices participated 10, Average loss 0.230, Central accuracy on global test data 45.563, Local accuracy on global train data 19.058, Local accuracy on local train data 93.200
Round   9, Devices participated 10, Average loss 0.188, Central accuracy on global test data 49.459, Local accuracy on global train data 20.315, Local accuracy on local train data 93.700
Round  10, Devices participated 10, Average loss 0.198, Central accuracy on global test data 53.045, Local accuracy on global train data 18.616, Local accuracy on local train data 94.250
Round  11, Devices participated 10, Average loss 0.172, Central accuracy on global test data 50.020, Local accuracy on global train data 19.890, Local accuracy on local train data 95.017
Round  12, Devices participated 10, Average loss 0.278, Central accuracy on global test data 42.728, Local accuracy on global train data 20.510, Local accuracy on local train data 91.600
Round  13, Devices participated 10, Average loss 0.194, Central accuracy on global test data 53.956, Local accuracy on global train data 20.183, Local accuracy on local train data 94.683
Round  14, Devices participated 10, Average loss 0.229, Central accuracy on global test data 70.353, Local accuracy on global train data 23.560, Local accuracy on local train data 92.783
Round  15, Devices participated 10, Average loss 0.171, Central accuracy on global test data 72.736, Local accuracy on global train data 21.104, Local accuracy on local train data 94.683
Round  16, Devices participated 10, Average loss 0.240, Central accuracy on global test data 72.035, Local accuracy on global train data 21.057, Local accuracy on local train data 92.717
Round  17, Devices participated 10, Average loss 0.126, Central accuracy on global test data 76.593, Local accuracy on global train data 25.991, Local accuracy on local train data 96.133
Round  18, Devices participated 10, Average loss 0.208, Central accuracy on global test data 72.045, Local accuracy on global train data 24.705, Local accuracy on local train data 93.100
Round  19, Devices participated 10, Average loss 0.086, Central accuracy on global test data 59.786, Local accuracy on global train data 25.950, Local accuracy on local train data 97.317
Round  20, Devices participated 10, Average loss 0.134, Central accuracy on global test data 55.589, Local accuracy on global train data 25.312, Local accuracy on local train data 96.083
Round  21, Devices participated 10, Average loss 0.138, Central accuracy on global test data 59.255, Local accuracy on global train data 23.870, Local accuracy on local train data 95.633
Round  22, Devices participated 10, Average loss 0.128, Central accuracy on global test data 64.884, Local accuracy on global train data 33.003, Local accuracy on local train data 96.367
Round  23, Devices participated 10, Average loss 0.114, Central accuracy on global test data 59.956, Local accuracy on global train data 29.600, Local accuracy on local train data 96.667
Round  24, Devices participated 10, Average loss 0.126, Central accuracy on global test data 57.632, Local accuracy on global train data 26.033, Local accuracy on local train data 95.933
Round  25, Devices participated 10, Average loss 0.194, Central accuracy on global test data 56.671, Local accuracy on global train data 23.696, Local accuracy on local train data 94.433
Round  26, Devices participated 10, Average loss 0.114, Central accuracy on global test data 64.062, Local accuracy on global train data 32.375, Local accuracy on local train data 96.467
Round  27, Devices participated 10, Average loss 0.129, Central accuracy on global test data 74.519, Local accuracy on global train data 34.895, Local accuracy on local train data 95.933
Round  28, Devices participated 10, Average loss 0.099, Central accuracy on global test data 77.674, Local accuracy on global train data 35.713, Local accuracy on local train data 96.850
Round  29, Devices participated 10, Average loss 0.162, Central accuracy on global test data 79.237, Local accuracy on global train data 33.162, Local accuracy on local train data 95.000
Round  30, Devices participated 10, Average loss 0.094, Central accuracy on global test data 74.038, Local accuracy on global train data 29.209, Local accuracy on local train data 96.850
Round  31, Devices participated 10, Average loss 0.090, Central accuracy on global test data 81.310, Local accuracy on global train data 35.090, Local accuracy on local train data 97.417
Round  32, Devices participated 10, Average loss 0.083, Central accuracy on global test data 80.198, Local accuracy on global train data 34.297, Local accuracy on local train data 97.733
Round  33, Devices participated 10, Average loss 0.128, Central accuracy on global test data 86.278, Local accuracy on global train data 38.896, Local accuracy on local train data 96.133
Round  34, Devices participated 10, Average loss 0.063, Central accuracy on global test data 80.509, Local accuracy on global train data 39.944, Local accuracy on local train data 98.267
Round  35, Devices participated 10, Average loss 0.106, Central accuracy on global test data 84.245, Local accuracy on global train data 40.068, Local accuracy on local train data 96.833
Round  36, Devices participated 10, Average loss 0.111, Central accuracy on global test data 88.151, Local accuracy on global train data 44.353, Local accuracy on local train data 96.900
