Round   0, Devices participated 10, Average loss 0.290, Central accuracy on global test data 22.476, Local accuracy on global train data 19.617, Local accuracy on local train data 90.333
Round   1, Devices participated 10, Average loss 0.329, Central accuracy on global test data 24.609, Local accuracy on global train data 17.393, Local accuracy on local train data 89.300
Round   2, Devices participated 10, Average loss 0.276, Central accuracy on global test data 29.637, Local accuracy on global train data 19.077, Local accuracy on local train data 91.683
Round   3, Devices participated 10, Average loss 0.288, Central accuracy on global test data 29.597, Local accuracy on global train data 19.678, Local accuracy on local train data 91.083
Round   4, Devices participated 10, Average loss 0.229, Central accuracy on global test data 29.738, Local accuracy on global train data 18.613, Local accuracy on local train data 93.217
Round   5, Devices participated 10, Average loss 0.244, Central accuracy on global test data 37.390, Local accuracy on global train data 20.022, Local accuracy on local train data 92.983
Round   6, Devices participated 10, Average loss 0.242, Central accuracy on global test data 43.700, Local accuracy on global train data 19.756, Local accuracy on local train data 92.633
Round   7, Devices participated 10, Average loss 0.272, Central accuracy on global test data 53.466, Local accuracy on global train data 20.151, Local accuracy on local train data 91.383
Round   8, Devices participated 10, Average loss 0.207, Central accuracy on global test data 45.423, Local accuracy on global train data 19.629, Local accuracy on local train data 93.483
Round   9, Devices participated 10, Average loss 0.183, Central accuracy on global test data 51.182, Local accuracy on global train data 20.601, Local accuracy on local train data 93.883
Round  10, Devices participated 10, Average loss 0.178, Central accuracy on global test data 49.529, Local accuracy on global train data 18.787, Local accuracy on local train data 94.767
Round  11, Devices participated 10, Average loss 0.147, Central accuracy on global test data 37.380, Local accuracy on global train data 20.127, Local accuracy on local train data 95.550
Round  12, Devices participated 10, Average loss 0.271, Central accuracy on global test data 43.009, Local accuracy on global train data 21.262, Local accuracy on local train data 91.833
Round  13, Devices participated 10, Average loss 0.186, Central accuracy on global test data 46.304, Local accuracy on global train data 21.880, Local accuracy on local train data 95.017
Round  14, Devices participated 10, Average loss 0.220, Central accuracy on global test data 69.060, Local accuracy on global train data 26.277, Local accuracy on local train data 93.117
Round  15, Devices participated 10, Average loss 0.176, Central accuracy on global test data 72.997, Local accuracy on global train data 23.064, Local accuracy on local train data 94.750
Round  16, Devices participated 10, Average loss 0.231, Central accuracy on global test data 73.998, Local accuracy on global train data 22.405, Local accuracy on local train data 92.900
Round  17, Devices participated 10, Average loss 0.132, Central accuracy on global test data 79.257, Local accuracy on global train data 28.870, Local accuracy on local train data 96.100
Round  18, Devices participated 10, Average loss 0.190, Central accuracy on global test data 70.883, Local accuracy on global train data 28.987, Local accuracy on local train data 93.400
Round  19, Devices participated 10, Average loss 0.083, Central accuracy on global test data 50.911, Local accuracy on global train data 27.319, Local accuracy on local train data 97.433
Round  20, Devices participated 10, Average loss 0.120, Central accuracy on global test data 51.943, Local accuracy on global train data 29.124, Local accuracy on local train data 96.433
Round  21, Devices participated 10, Average loss 0.155, Central accuracy on global test data 58.914, Local accuracy on global train data 24.194, Local accuracy on local train data 95.467
Round  22, Devices participated 10, Average loss 0.111, Central accuracy on global test data 63.762, Local accuracy on global train data 35.168, Local accuracy on local train data 96.483
Round  23, Devices participated 10, Average loss 0.106, Central accuracy on global test data 56.400, Local accuracy on global train data 32.024, Local accuracy on local train data 96.850
Round  24, Devices participated 10, Average loss 0.133, Central accuracy on global test data 54.056, Local accuracy on global train data 30.576, Local accuracy on local train data 96.017
Round  25, Devices participated 10, Average loss 0.165, Central accuracy on global test data 59.115, Local accuracy on global train data 24.939, Local accuracy on local train data 95.083
Round  26, Devices participated 10, Average loss 0.121, Central accuracy on global test data 65.885, Local accuracy on global train data 33.516, Local accuracy on local train data 96.467
Round  27, Devices participated 10, Average loss 0.135, Central accuracy on global test data 73.658, Local accuracy on global train data 35.164, Local accuracy on local train data 95.900
Round  28, Devices participated 10, Average loss 0.102, Central accuracy on global test data 73.758, Local accuracy on global train data 38.140, Local accuracy on local train data 96.833
Round  29, Devices participated 10, Average loss 0.153, Central accuracy on global test data 66.627, Local accuracy on global train data 36.860, Local accuracy on local train data 95.350
Round  30, Devices participated 10, Average loss 0.094, Central accuracy on global test data 65.044, Local accuracy on global train data 30.586, Local accuracy on local train data 97.033
Round  31, Devices participated 10, Average loss 0.087, Central accuracy on global test data 72.827, Local accuracy on global train data 35.505, Local accuracy on local train data 97.283
Round  32, Devices participated 10, Average loss 0.078, Central accuracy on global test data 73.868, Local accuracy on global train data 37.490, Local accuracy on local train data 97.900
Round  33, Devices participated 10, Average loss 0.135, Central accuracy on global test data 86.569, Local accuracy on global train data 39.583, Local accuracy on local train data 96.167
Round  34, Devices participated 10, Average loss 0.069, Central accuracy on global test data 78.806, Local accuracy on global train data 40.288, Local accuracy on local train data 98.150
Round  35, Devices participated 10, Average loss 0.098, Central accuracy on global test data 84.445, Local accuracy on global train data 41.094, Local accuracy on local train data 96.867
Round  36, Devices participated 10, Average loss 0.106, Central accuracy on global test data 90.214, Local accuracy on global train data 45.374, Local accuracy on local train data 96.767
Round  37, Devices participated 10, Average loss 0.163, Central accuracy on global test data 89.964, Local accuracy on global train data 43.997, Local accuracy on local train data 95.600
Round  38, Devices participated 10, Average loss 0.081, Central accuracy on global test data 89.133, Local accuracy on global train data 47.568, Local accuracy on local train data 97.733
Round  39, Devices participated 10, Average loss 0.120, Central accuracy on global test data 83.293, Local accuracy on global train data 41.851, Local accuracy on local train data 96.717
Round  40, Devices participated 10, Average loss 0.111, Central accuracy on global test data 79.778, Local accuracy on global train data 41.294, Local accuracy on local train data 97.183
