Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.068, Central accuracy on global test data 17.638, Local accuracy on global train data 10.098, Local accuracy on local train data 98.367
Round   2, Devices participated 10, Average loss 0.075, Central accuracy on global test data 10.407, Local accuracy on global train data 10.190, Local accuracy on local train data 98.267
Round   3, Devices participated 10, Average loss 0.063, Central accuracy on global test data 29.637, Local accuracy on global train data 10.012, Local accuracy on local train data 98.683
Round   4, Devices participated 10, Average loss 0.070, Central accuracy on global test data 34.515, Local accuracy on global train data 11.660, Local accuracy on local train data 98.133
Round   5, Devices participated 10, Average loss 0.051, Central accuracy on global test data 10.467, Local accuracy on global train data 10.095, Local accuracy on local train data 98.783
Round   6, Devices participated 10, Average loss 0.074, Central accuracy on global test data 19.181, Local accuracy on global train data 10.801, Local accuracy on local train data 98.250
Round   7, Devices participated 10, Average loss 0.054, Central accuracy on global test data 8.934, Local accuracy on global train data 9.568, Local accuracy on local train data 99.100
Round   8, Devices participated 10, Average loss 0.067, Central accuracy on global test data 18.620, Local accuracy on global train data 11.094, Local accuracy on local train data 98.233
Round   9, Devices participated 10, Average loss 0.061, Central accuracy on global test data 18.359, Local accuracy on global train data 10.503, Local accuracy on local train data 98.250
Round  10, Devices participated 10, Average loss 0.035, Central accuracy on global test data 9.816, Local accuracy on global train data 9.915, Local accuracy on local train data 99.133
Round  11, Devices participated 10, Average loss 0.044, Central accuracy on global test data 9.285, Local accuracy on global train data 9.846, Local accuracy on local train data 99.100
Round  12, Devices participated 10, Average loss 0.055, Central accuracy on global test data 9.615, Local accuracy on global train data 11.597, Local accuracy on local train data 98.200
Round  13, Devices participated 10, Average loss 0.040, Central accuracy on global test data 12.841, Local accuracy on global train data 9.688, Local accuracy on local train data 98.667
Round  14, Devices participated 10, Average loss 0.039, Central accuracy on global test data 15.114, Local accuracy on global train data 10.186, Local accuracy on local train data 98.883
Round  15, Devices participated 10, Average loss 0.036, Central accuracy on global test data 26.052, Local accuracy on global train data 9.924, Local accuracy on local train data 98.750
Round  16, Devices participated 10, Average loss 0.042, Central accuracy on global test data 17.498, Local accuracy on global train data 10.081, Local accuracy on local train data 98.783
Round  17, Devices participated 10, Average loss 0.060, Central accuracy on global test data 40.244, Local accuracy on global train data 12.224, Local accuracy on local train data 98.383
Round  18, Devices participated 10, Average loss 0.036, Central accuracy on global test data 22.756, Local accuracy on global train data 11.372, Local accuracy on local train data 98.733
Round  19, Devices participated 10, Average loss 0.039, Central accuracy on global test data 12.690, Local accuracy on global train data 11.145, Local accuracy on local train data 98.850
Round  20, Devices participated 10, Average loss 0.043, Central accuracy on global test data 19.261, Local accuracy on global train data 10.591, Local accuracy on local train data 98.867
Round  21, Devices participated 10, Average loss 0.041, Central accuracy on global test data 17.959, Local accuracy on global train data 12.043, Local accuracy on local train data 98.783
Round  22, Devices participated 10, Average loss 0.032, Central accuracy on global test data 10.647, Local accuracy on global train data 9.905, Local accuracy on local train data 99.200
Round  23, Devices participated 10, Average loss 0.026, Central accuracy on global test data 8.904, Local accuracy on global train data 9.939, Local accuracy on local train data 99.067
Round  24, Devices participated 10, Average loss 0.037, Central accuracy on global test data 16.536, Local accuracy on global train data 11.167, Local accuracy on local train data 98.667
Round  25, Devices participated 10, Average loss 0.032, Central accuracy on global test data 22.196, Local accuracy on global train data 9.858, Local accuracy on local train data 98.983
Round  26, Devices participated 10, Average loss 0.064, Central accuracy on global test data 10.867, Local accuracy on global train data 10.789, Local accuracy on local train data 97.883
Round  27, Devices participated 10, Average loss 0.022, Central accuracy on global test data 28.656, Local accuracy on global train data 10.044, Local accuracy on local train data 99.550
Round  28, Devices participated 10, Average loss 0.028, Central accuracy on global test data 26.723, Local accuracy on global train data 9.968, Local accuracy on local train data 99.183
