Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.068, Central accuracy on global test data 17.638, Local accuracy on global train data 10.098, Local accuracy on local train data 98.367
Round   2, Devices participated 10, Average loss 0.075, Central accuracy on global test data 10.407, Local accuracy on global train data 10.190, Local accuracy on local train data 98.267
Round   3, Devices participated 10, Average loss 0.063, Central accuracy on global test data 21.534, Local accuracy on global train data 10.012, Local accuracy on local train data 98.683
Round   4, Devices participated 10, Average loss 0.071, Central accuracy on global test data 33.203, Local accuracy on global train data 11.660, Local accuracy on local train data 97.967
Round   5, Devices participated 10, Average loss 0.050, Central accuracy on global test data 17.318, Local accuracy on global train data 10.095, Local accuracy on local train data 98.850
Round   6, Devices participated 10, Average loss 0.075, Central accuracy on global test data 10.948, Local accuracy on global train data 10.801, Local accuracy on local train data 98.133
Round   7, Devices participated 10, Average loss 0.058, Central accuracy on global test data 20.683, Local accuracy on global train data 9.568, Local accuracy on local train data 99.100
Round   8, Devices participated 10, Average loss 0.066, Central accuracy on global test data 33.524, Local accuracy on global train data 11.086, Local accuracy on local train data 98.117
Round   9, Devices participated 10, Average loss 0.062, Central accuracy on global test data 18.980, Local accuracy on global train data 10.503, Local accuracy on local train data 98.200
Round  10, Devices participated 10, Average loss 0.041, Central accuracy on global test data 18.189, Local accuracy on global train data 9.915, Local accuracy on local train data 98.800
Round  11, Devices participated 10, Average loss 0.046, Central accuracy on global test data 14.964, Local accuracy on global train data 9.846, Local accuracy on local train data 98.767
Round  12, Devices participated 10, Average loss 0.052, Central accuracy on global test data 12.610, Local accuracy on global train data 11.597, Local accuracy on local train data 98.017
Round  13, Devices participated 10, Average loss 0.043, Central accuracy on global test data 10.637, Local accuracy on global train data 9.688, Local accuracy on local train data 98.650
Round  14, Devices participated 10, Average loss 0.042, Central accuracy on global test data 18.409, Local accuracy on global train data 10.186, Local accuracy on local train data 98.867
Round  15, Devices participated 10, Average loss 0.040, Central accuracy on global test data 16.236, Local accuracy on global train data 9.924, Local accuracy on local train data 98.850
Round  16, Devices participated 10, Average loss 0.045, Central accuracy on global test data 24.349, Local accuracy on global train data 10.081, Local accuracy on local train data 99.083
Round  17, Devices participated 10, Average loss 0.067, Central accuracy on global test data 18.059, Local accuracy on global train data 12.195, Local accuracy on local train data 98.067
Round  18, Devices participated 10, Average loss 0.029, Central accuracy on global test data 26.132, Local accuracy on global train data 11.372, Local accuracy on local train data 98.950
Round  19, Devices participated 10, Average loss 0.045, Central accuracy on global test data 26.212, Local accuracy on global train data 11.265, Local accuracy on local train data 98.783
Round  20, Devices participated 10, Average loss 0.042, Central accuracy on global test data 29.828, Local accuracy on global train data 10.693, Local accuracy on local train data 99.033
Round  21, Devices participated 10, Average loss 0.050, Central accuracy on global test data 35.877, Local accuracy on global train data 12.056, Local accuracy on local train data 98.617
Round  22, Devices participated 10, Average loss 0.036, Central accuracy on global test data 24.008, Local accuracy on global train data 9.905, Local accuracy on local train data 98.983
Round  23, Devices participated 10, Average loss 0.028, Central accuracy on global test data 48.167, Local accuracy on global train data 9.951, Local accuracy on local train data 99.117
Round  24, Devices participated 10, Average loss 0.038, Central accuracy on global test data 27.895, Local accuracy on global train data 12.317, Local accuracy on local train data 98.850
Round  25, Devices participated 10, Average loss 0.037, Central accuracy on global test data 46.054, Local accuracy on global train data 9.873, Local accuracy on local train data 98.950
Round  26, Devices participated 10, Average loss 0.075, Central accuracy on global test data 51.142, Local accuracy on global train data 10.886, Local accuracy on local train data 97.333
Round  27, Devices participated 10, Average loss 0.028, Central accuracy on global test data 21.384, Local accuracy on global train data 10.564, Local accuracy on local train data 99.117
Round  28, Devices participated 10, Average loss 0.041, Central accuracy on global test data 37.220, Local accuracy on global train data 11.172, Local accuracy on local train data 98.517
