Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Ensemble accuracy on global test data 26.689, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.067, Central accuracy on global test data 21.765, Ensemble accuracy on global test data 20.859, Local accuracy on global train data 9.795, Local accuracy on local train data 98.383
Round   2, Devices participated 10, Average loss 0.076, Central accuracy on global test data 10.437, Ensemble accuracy on global test data 13.955, Local accuracy on global train data 9.958, Local accuracy on local train data 98.283
Round   3, Devices participated 10, Average loss 0.063, Central accuracy on global test data 10.096, Ensemble accuracy on global test data 31.943, Local accuracy on global train data 10.117, Local accuracy on local train data 98.533
Round   4, Devices participated 10, Average loss 0.097, Central accuracy on global test data 10.096, Ensemble accuracy on global test data 9.854, Local accuracy on global train data 11.365, Local accuracy on local train data 97.650
Round   5, Devices participated 10, Average loss 0.080, Central accuracy on global test data 11.358, Ensemble accuracy on global test data 11.084, Local accuracy on global train data 10.278, Local accuracy on local train data 98.667
Round   6, Devices participated 10, Average loss 0.093, Central accuracy on global test data 15.375, Ensemble accuracy on global test data 9.854, Local accuracy on global train data 10.247, Local accuracy on local train data 97.833
Round   7, Devices participated 10, Average loss 0.096, Central accuracy on global test data 19.441, Ensemble accuracy on global test data 18.799, Local accuracy on global train data 9.502, Local accuracy on local train data 98.683
Round   8, Devices participated 10, Average loss 0.120, Central accuracy on global test data 17.298, Ensemble accuracy on global test data 18.057, Local accuracy on global train data 10.647, Local accuracy on local train data 97.983
Round   9, Devices participated 10, Average loss 0.102, Central accuracy on global test data 24.229, Ensemble accuracy on global test data 9.863, Local accuracy on global train data 10.825, Local accuracy on local train data 98.083
Round  10, Devices participated 10, Average loss 0.088, Central accuracy on global test data 13.742, Ensemble accuracy on global test data 9.570, Local accuracy on global train data 9.951, Local accuracy on local train data 98.683
Round  11, Devices participated 10, Average loss 0.064, Central accuracy on global test data 9.806, Ensemble accuracy on global test data 26.582, Local accuracy on global train data 9.734, Local accuracy on local train data 98.867
Round  12, Devices participated 10, Average loss 0.156, Central accuracy on global test data 12.831, Ensemble accuracy on global test data 9.355, Local accuracy on global train data 11.323, Local accuracy on local train data 97.567
Round  13, Devices participated 10, Average loss 0.103, Central accuracy on global test data 12.740, Ensemble accuracy on global test data 10.879, Local accuracy on global train data 9.773, Local accuracy on local train data 98.883
Round  14, Devices participated 10, Average loss 0.045, Central accuracy on global test data 25.881, Ensemble accuracy on global test data 13.525, Local accuracy on global train data 10.447, Local accuracy on local train data 98.850
Round  15, Devices participated 10, Average loss 0.093, Central accuracy on global test data 24.720, Ensemble accuracy on global test data 9.512, Local accuracy on global train data 10.857, Local accuracy on local train data 98.767
Round  16, Devices participated 10, Average loss 0.079, Central accuracy on global test data 32.452, Ensemble accuracy on global test data 9.863, Local accuracy on global train data 10.332, Local accuracy on local train data 98.600
Round  17, Devices participated 10, Average loss 0.116, Central accuracy on global test data 30.248, Ensemble accuracy on global test data 12.129, Local accuracy on global train data 11.877, Local accuracy on local train data 97.983
Round  18, Devices participated 10, Average loss 0.060, Central accuracy on global test data 49.099, Ensemble accuracy on global test data 36.934, Local accuracy on global train data 11.724, Local accuracy on local train data 98.567
Round  19, Devices participated 10, Average loss 0.065, Central accuracy on global test data 29.437, Ensemble accuracy on global test data 18.457, Local accuracy on global train data 12.490, Local accuracy on local train data 99.200
Round  20, Devices participated 10, Average loss 0.067, Central accuracy on global test data 35.317, Ensemble accuracy on global test data 9.355, Local accuracy on global train data 10.879, Local accuracy on local train data 98.850
Round  21, Devices participated 10, Average loss 0.095, Central accuracy on global test data 26.713, Ensemble accuracy on global test data 27.109, Local accuracy on global train data 12.129, Local accuracy on local train data 97.933
Round  22, Devices participated 10, Average loss 0.107, Central accuracy on global test data 21.124, Ensemble accuracy on global test data 19.121, Local accuracy on global train data 10.127, Local accuracy on local train data 98.483
Round  23, Devices participated 10, Average loss 0.036, Central accuracy on global test data 28.265, Ensemble accuracy on global test data 20.684, Local accuracy on global train data 10.137, Local accuracy on local train data 98.883
Round  24, Devices participated 10, Average loss 0.051, Central accuracy on global test data 19.842, Ensemble accuracy on global test data 38.369, Local accuracy on global train data 13.142, Local accuracy on local train data 98.600
Round  25, Devices participated 10, Average loss 0.025, Central accuracy on global test data 14.794, Ensemble accuracy on global test data 39.180, Local accuracy on global train data 10.430, Local accuracy on local train data 99.200
Round  26, Devices participated 10, Average loss 0.106, Central accuracy on global test data 25.901, Ensemble accuracy on global test data 15.469, Local accuracy on global train data 11.660, Local accuracy on local train data 98.083
Round  27, Devices participated 10, Average loss 0.042, Central accuracy on global test data 29.547, Ensemble accuracy on global test data 31.709, Local accuracy on global train data 11.055, Local accuracy on local train data 99.083
Round  28, Devices participated 10, Average loss 0.037, Central accuracy on global test data 27.965, Ensemble accuracy on global test data 30.840, Local accuracy on global train data 11.663, Local accuracy on local train data 99.200
Round  29, Devices participated 10, Average loss 0.037, Central accuracy on global test data 44.281, Ensemble accuracy on global test data 31.729, Local accuracy on global train data 11.489, Local accuracy on local train data 98.833
Round  30, Devices participated 10, Average loss 0.062, Central accuracy on global test data 14.794, Ensemble accuracy on global test data 10.000, Local accuracy on global train data 9.878, Local accuracy on local train data 98.567
Round  31, Devices participated 10, Average loss 0.065, Central accuracy on global test data 19.591, Ensemble accuracy on global test data 16.387, Local accuracy on global train data 13.130, Local accuracy on local train data 98.183
Round  32, Devices participated 10, Average loss 0.030, Central accuracy on global test data 21.484, Ensemble accuracy on global test data 22.939, Local accuracy on global train data 12.239, Local accuracy on local train data 99.050
Round  33, Devices participated 10, Average loss 0.077, Central accuracy on global test data 44.050, Ensemble accuracy on global test data 28.018, Local accuracy on global train data 13.687, Local accuracy on local train data 98.667
Round  34, Devices participated 10, Average loss 0.080, Central accuracy on global test data 44.762, Ensemble accuracy on global test data 24.609, Local accuracy on global train data 11.123, Local accuracy on local train data 98.617
Round  35, Devices participated 10, Average loss 0.057, Central accuracy on global test data 50.501, Ensemble accuracy on global test data 30.908, Local accuracy on global train data 17.354, Local accuracy on local train data 98.600
Round  36, Devices participated 10, Average loss 0.065, Central accuracy on global test data 54.077, Ensemble accuracy on global test data 41.445, Local accuracy on global train data 14.268, Local accuracy on local train data 98.500
Round  37, Devices participated 10, Average loss 0.095, Central accuracy on global test data 52.234, Ensemble accuracy on global test data 14.590, Local accuracy on global train data 14.541, Local accuracy on local train data 98.500
Round  38, Devices participated 10, Average loss 0.037, Central accuracy on global test data 55.879, Ensemble accuracy on global test data 48.506, Local accuracy on global train data 18.621, Local accuracy on local train data 99.067
Round  39, Devices participated 10, Average loss 0.057, Central accuracy on global test data 53.926, Ensemble accuracy on global test data 47.617, Local accuracy on global train data 16.638, Local accuracy on local train data 98.717
Round  40, Devices participated 10, Average loss 0.105, Central accuracy on global test data 50.751, Ensemble accuracy on global test data 40.225, Local accuracy on global train data 16.287, Local accuracy on local train data 98.550
Round  41, Devices participated 10, Average loss 0.038, Central accuracy on global test data 46.935, Ensemble accuracy on global test data 45.918, Local accuracy on global train data 20.776, Local accuracy on local train data 98.833
Round  42, Devices participated 10, Average loss 0.033, Central accuracy on global test data 47.806, Ensemble accuracy on global test data 48.223, Local accuracy on global train data 15.366, Local accuracy on local train data 99.167
Round  43, Devices participated 10, Average loss 0.074, Central accuracy on global test data 44.621, Ensemble accuracy on global test data 54.971, Local accuracy on global train data 19.248, Local accuracy on local train data 97.933
Round  44, Devices participated 10, Average loss 0.029, Central accuracy on global test data 49.920, Ensemble accuracy on global test data 50.830, Local accuracy on global train data 22.173, Local accuracy on local train data 99.150
Round  45, Devices participated 10, Average loss 0.027, Central accuracy on global test data 52.574, Ensemble accuracy on global test data 58.086, Local accuracy on global train data 17.649, Local accuracy on local train data 98.967
Round  46, Devices participated 10, Average loss 0.030, Central accuracy on global test data 48.007, Ensemble accuracy on global test data 53.389, Local accuracy on global train data 20.532, Local accuracy on local train data 99.150
Round  47, Devices participated 10, Average loss 0.036, Central accuracy on global test data 51.482, Ensemble accuracy on global test data 48.447, Local accuracy on global train data 20.430, Local accuracy on local train data 99.183
Round  48, Devices participated 10, Average loss 0.036, Central accuracy on global test data 58.834, Ensemble accuracy on global test data 53.623, Local accuracy on global train data 20.227, Local accuracy on local train data 98.900
