Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.068, Central accuracy on global test data 21.775, Local accuracy on global train data 10.098, Local accuracy on local train data 98.367
Round   2, Devices participated 10, Average loss 0.075, Central accuracy on global test data 10.377, Local accuracy on global train data 10.190, Local accuracy on local train data 98.267
Round   3, Devices participated 10, Average loss 0.064, Central accuracy on global test data 10.106, Local accuracy on global train data 10.012, Local accuracy on local train data 98.533
Round   4, Devices participated 10, Average loss 0.090, Central accuracy on global test data 10.086, Local accuracy on global train data 11.543, Local accuracy on local train data 97.667
Round   5, Devices participated 10, Average loss 0.076, Central accuracy on global test data 11.368, Local accuracy on global train data 10.095, Local accuracy on local train data 98.633
Round   6, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.179, Local accuracy on global train data 10.801, Local accuracy on local train data 98.083
Round   7, Devices participated 10, Average loss 0.094, Central accuracy on global test data 17.478, Local accuracy on global train data 9.568, Local accuracy on local train data 98.783
Round   8, Devices participated 10, Average loss 0.127, Central accuracy on global test data 19.391, Local accuracy on global train data 11.047, Local accuracy on local train data 97.833
Round   9, Devices participated 10, Average loss 0.105, Central accuracy on global test data 23.167, Local accuracy on global train data 10.503, Local accuracy on local train data 98.067
Round  10, Devices participated 10, Average loss 0.067, Central accuracy on global test data 27.975, Local accuracy on global train data 9.915, Local accuracy on local train data 98.717
Round  11, Devices participated 10, Average loss 0.078, Central accuracy on global test data 33.233, Local accuracy on global train data 9.846, Local accuracy on local train data 98.583
Round  12, Devices participated 10, Average loss 0.078, Central accuracy on global test data 22.125, Local accuracy on global train data 11.597, Local accuracy on local train data 97.767
Round  13, Devices participated 10, Average loss 0.076, Central accuracy on global test data 20.092, Local accuracy on global train data 9.854, Local accuracy on local train data 98.950
Round  14, Devices participated 10, Average loss 0.046, Central accuracy on global test data 20.353, Local accuracy on global train data 10.193, Local accuracy on local train data 98.750
Round  15, Devices participated 10, Average loss 0.049, Central accuracy on global test data 17.348, Local accuracy on global train data 9.924, Local accuracy on local train data 98.883
Round  16, Devices participated 10, Average loss 0.063, Central accuracy on global test data 24.419, Local accuracy on global train data 10.081, Local accuracy on local train data 98.933
Round  17, Devices participated 10, Average loss 0.113, Central accuracy on global test data 20.172, Local accuracy on global train data 12.371, Local accuracy on local train data 97.817
Round  18, Devices participated 10, Average loss 0.052, Central accuracy on global test data 20.974, Local accuracy on global train data 11.733, Local accuracy on local train data 98.883
Round  19, Devices participated 10, Average loss 0.097, Central accuracy on global test data 34.075, Local accuracy on global train data 11.133, Local accuracy on local train data 98.300
Round  20, Devices participated 10, Average loss 0.062, Central accuracy on global test data 26.893, Local accuracy on global train data 11.035, Local accuracy on local train data 99.017
Round  21, Devices participated 10, Average loss 0.084, Central accuracy on global test data 33.644, Local accuracy on global train data 12.234, Local accuracy on local train data 98.450
Round  22, Devices participated 10, Average loss 0.085, Central accuracy on global test data 23.818, Local accuracy on global train data 9.905, Local accuracy on local train data 98.300
Round  23, Devices participated 10, Average loss 0.028, Central accuracy on global test data 30.409, Local accuracy on global train data 10.151, Local accuracy on local train data 99.150
Round  24, Devices participated 10, Average loss 0.046, Central accuracy on global test data 40.956, Local accuracy on global train data 12.773, Local accuracy on local train data 98.583
Round  25, Devices participated 10, Average loss 0.034, Central accuracy on global test data 34.285, Local accuracy on global train data 9.937, Local accuracy on local train data 98.883
Round  26, Devices participated 10, Average loss 0.087, Central accuracy on global test data 34.135, Local accuracy on global train data 12.251, Local accuracy on local train data 97.867
Round  27, Devices participated 10, Average loss 0.037, Central accuracy on global test data 38.992, Local accuracy on global train data 11.145, Local accuracy on local train data 99.300
Round  28, Devices participated 10, Average loss 0.053, Central accuracy on global test data 38.231, Local accuracy on global train data 11.548, Local accuracy on local train data 98.600
Round  29, Devices participated 10, Average loss 0.034, Central accuracy on global test data 34.936, Local accuracy on global train data 11.753, Local accuracy on local train data 99.017
Round  30, Devices participated 10, Average loss 0.036, Central accuracy on global test data 20.333, Local accuracy on global train data 9.856, Local accuracy on local train data 98.750
Round  31, Devices participated 10, Average loss 0.049, Central accuracy on global test data 24.669, Local accuracy on global train data 12.576, Local accuracy on local train data 98.317
Round  32, Devices participated 10, Average loss 0.025, Central accuracy on global test data 28.836, Local accuracy on global train data 12.075, Local accuracy on local train data 99.250
