Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.068, Central accuracy on global test data 17.638, Local accuracy on global train data 10.098, Local accuracy on local train data 98.367
Round   2, Devices participated 10, Average loss 0.075, Central accuracy on global test data 10.407, Local accuracy on global train data 10.190, Local accuracy on local train data 98.267
Round   3, Devices participated 10, Average loss 0.063, Central accuracy on global test data 21.534, Local accuracy on global train data 10.012, Local accuracy on local train data 98.683
Round   4, Devices participated 10, Average loss 0.071, Central accuracy on global test data 33.203, Local accuracy on global train data 11.660, Local accuracy on local train data 97.967
Round   5, Devices participated 10, Average loss 0.050, Central accuracy on global test data 18.349, Local accuracy on global train data 10.095, Local accuracy on local train data 98.850
Round   6, Devices participated 10, Average loss 0.077, Central accuracy on global test data 17.488, Local accuracy on global train data 10.801, Local accuracy on local train data 98.083
Round   7, Devices participated 10, Average loss 0.061, Central accuracy on global test data 19.141, Local accuracy on global train data 9.568, Local accuracy on local train data 99.100
Round   8, Devices participated 10, Average loss 0.066, Central accuracy on global test data 26.002, Local accuracy on global train data 11.089, Local accuracy on local train data 98.217
Round   9, Devices participated 10, Average loss 0.063, Central accuracy on global test data 29.247, Local accuracy on global train data 10.503, Local accuracy on local train data 98.383
Round  10, Devices participated 10, Average loss 0.049, Central accuracy on global test data 19.551, Local accuracy on global train data 9.915, Local accuracy on local train data 98.583
Round  11, Devices participated 10, Average loss 0.053, Central accuracy on global test data 16.607, Local accuracy on global train data 9.846, Local accuracy on local train data 98.517
Round  12, Devices participated 10, Average loss 0.054, Central accuracy on global test data 19.521, Local accuracy on global train data 11.597, Local accuracy on local train data 97.917
Round  13, Devices participated 10, Average loss 0.050, Central accuracy on global test data 16.306, Local accuracy on global train data 9.688, Local accuracy on local train data 98.600
Round  14, Devices participated 10, Average loss 0.043, Central accuracy on global test data 26.693, Local accuracy on global train data 10.186, Local accuracy on local train data 98.867
Round  15, Devices participated 10, Average loss 0.043, Central accuracy on global test data 19.742, Local accuracy on global train data 9.924, Local accuracy on local train data 98.517
Round  16, Devices participated 10, Average loss 0.043, Central accuracy on global test data 18.900, Local accuracy on global train data 10.081, Local accuracy on local train data 98.950
Round  17, Devices participated 10, Average loss 0.069, Central accuracy on global test data 30.699, Local accuracy on global train data 12.195, Local accuracy on local train data 98.083
Round  18, Devices participated 10, Average loss 0.030, Central accuracy on global test data 23.427, Local accuracy on global train data 11.372, Local accuracy on local train data 98.950
Round  19, Devices participated 10, Average loss 0.049, Central accuracy on global test data 32.041, Local accuracy on global train data 11.243, Local accuracy on local train data 98.767
Round  20, Devices participated 10, Average loss 0.047, Central accuracy on global test data 30.879, Local accuracy on global train data 10.588, Local accuracy on local train data 98.750
Round  21, Devices participated 10, Average loss 0.052, Central accuracy on global test data 32.973, Local accuracy on global train data 12.087, Local accuracy on local train data 98.600
Round  22, Devices participated 10, Average loss 0.037, Central accuracy on global test data 24.649, Local accuracy on global train data 9.905, Local accuracy on local train data 99.117
Round  23, Devices participated 10, Average loss 0.030, Central accuracy on global test data 36.709, Local accuracy on global train data 9.973, Local accuracy on local train data 98.983
Round  24, Devices participated 10, Average loss 0.043, Central accuracy on global test data 33.994, Local accuracy on global train data 12.244, Local accuracy on local train data 98.633
Round  25, Devices participated 10, Average loss 0.042, Central accuracy on global test data 47.776, Local accuracy on global train data 9.941, Local accuracy on local train data 98.933
Round  26, Devices participated 10, Average loss 0.070, Central accuracy on global test data 39.203, Local accuracy on global train data 10.723, Local accuracy on local train data 97.767
Round  27, Devices participated 10, Average loss 0.028, Central accuracy on global test data 24.289, Local accuracy on global train data 10.393, Local accuracy on local train data 99.167
Round  28, Devices participated 10, Average loss 0.044, Central accuracy on global test data 39.894, Local accuracy on global train data 10.925, Local accuracy on local train data 98.617
