Round   0, Devices participated 10, Average loss 0.266, Central accuracy on global test data 28.285, Local accuracy on global train data 19.626, Local accuracy on local train data 91.533
Round   1, Devices participated 10, Average loss 0.274, Central accuracy on global test data 27.815, Local accuracy on global train data 17.432, Local accuracy on local train data 91.500
Round   2, Devices participated 10, Average loss 0.192, Central accuracy on global test data 41.597, Local accuracy on global train data 19.399, Local accuracy on local train data 94.800
Round   3, Devices participated 10, Average loss 0.203, Central accuracy on global test data 48.267, Local accuracy on global train data 19.753, Local accuracy on local train data 94.233
Round   4, Devices participated 10, Average loss 0.137, Central accuracy on global test data 65.034, Local accuracy on global train data 19.426, Local accuracy on local train data 95.983
Round   5, Devices participated 10, Average loss 0.168, Central accuracy on global test data 63.682, Local accuracy on global train data 22.693, Local accuracy on local train data 95.250
Round   6, Devices participated 10, Average loss 0.148, Central accuracy on global test data 63.201, Local accuracy on global train data 22.590, Local accuracy on local train data 95.850
Round   7, Devices participated 10, Average loss 0.169, Central accuracy on global test data 78.876, Local accuracy on global train data 22.729, Local accuracy on local train data 94.933
Round   8, Devices participated 10, Average loss 0.134, Central accuracy on global test data 79.677, Local accuracy on global train data 25.022, Local accuracy on local train data 96.450
Round   9, Devices participated 10, Average loss 0.119, Central accuracy on global test data 83.864, Local accuracy on global train data 28.147, Local accuracy on local train data 96.400
Round  10, Devices participated 10, Average loss 0.121, Central accuracy on global test data 84.585, Local accuracy on global train data 30.811, Local accuracy on local train data 96.433
Round  11, Devices participated 10, Average loss 0.085, Central accuracy on global test data 77.674, Local accuracy on global train data 36.423, Local accuracy on local train data 97.850
Round  12, Devices participated 10, Average loss 0.149, Central accuracy on global test data 83.203, Local accuracy on global train data 31.562, Local accuracy on local train data 95.867
Round  13, Devices participated 10, Average loss 0.096, Central accuracy on global test data 87.220, Local accuracy on global train data 34.058, Local accuracy on local train data 97.500
Round  14, Devices participated 10, Average loss 0.148, Central accuracy on global test data 87.981, Local accuracy on global train data 39.885, Local accuracy on local train data 95.650
Round  15, Devices participated 10, Average loss 0.121, Central accuracy on global test data 89.954, Local accuracy on global train data 40.369, Local accuracy on local train data 96.450
Round  16, Devices participated 10, Average loss 0.133, Central accuracy on global test data 90.345, Local accuracy on global train data 36.980, Local accuracy on local train data 96.017
Round  17, Devices participated 10, Average loss 0.069, Central accuracy on global test data 90.124, Local accuracy on global train data 42.610, Local accuracy on local train data 97.917
Round  18, Devices participated 10, Average loss 0.118, Central accuracy on global test data 89.754, Local accuracy on global train data 41.267, Local accuracy on local train data 96.433
Round  19, Devices participated 10, Average loss 0.055, Central accuracy on global test data 88.762, Local accuracy on global train data 47.073, Local accuracy on local train data 98.383
Round  20, Devices participated 10, Average loss 0.093, Central accuracy on global test data 88.902, Local accuracy on global train data 41.350, Local accuracy on local train data 97.500
Round  21, Devices participated 10, Average loss 0.077, Central accuracy on global test data 86.629, Local accuracy on global train data 46.382, Local accuracy on local train data 97.667
Round  22, Devices participated 10, Average loss 0.088, Central accuracy on global test data 90.685, Local accuracy on global train data 52.588, Local accuracy on local train data 97.533
Round  23, Devices participated 10, Average loss 0.106, Central accuracy on global test data 86.168, Local accuracy on global train data 48.992, Local accuracy on local train data 97.250
Round  24, Devices participated 10, Average loss 0.096, Central accuracy on global test data 89.393, Local accuracy on global train data 44.905, Local accuracy on local train data 97.250
Round  25, Devices participated 10, Average loss 0.087, Central accuracy on global test data 89.032, Local accuracy on global train data 49.392, Local accuracy on local train data 97.683
Round  26, Devices participated 10, Average loss 0.093, Central accuracy on global test data 89.954, Local accuracy on global train data 52.153, Local accuracy on local train data 97.317
Round  27, Devices participated 10, Average loss 0.087, Central accuracy on global test data 89.964, Local accuracy on global train data 56.855, Local accuracy on local train data 97.467
Round  28, Devices participated 10, Average loss 0.073, Central accuracy on global test data 90.996, Local accuracy on global train data 56.023, Local accuracy on local train data 98.067
Round  29, Devices participated 10, Average loss 0.100, Central accuracy on global test data 92.047, Local accuracy on global train data 46.729, Local accuracy on local train data 97.033
Round  30, Devices participated 10, Average loss 0.100, Central accuracy on global test data 90.425, Local accuracy on global train data 43.569, Local accuracy on local train data 97.483
Round  31, Devices participated 10, Average loss 0.062, Central accuracy on global test data 92.398, Local accuracy on global train data 54.946, Local accuracy on local train data 98.083
Round  32, Devices participated 10, Average loss 0.048, Central accuracy on global test data 92.258, Local accuracy on global train data 58.289, Local accuracy on local train data 98.683
Round  33, Devices participated 10, Average loss 0.088, Central accuracy on global test data 90.765, Local accuracy on global train data 48.623, Local accuracy on local train data 97.567
Round  34, Devices participated 10, Average loss 0.037, Central accuracy on global test data 89.653, Local accuracy on global train data 56.431, Local accuracy on local train data 99.033
Round  35, Devices participated 10, Average loss 0.074, Central accuracy on global test data 93.269, Local accuracy on global train data 52.107, Local accuracy on local train data 97.783
Round  36, Devices participated 10, Average loss 0.079, Central accuracy on global test data 92.468, Local accuracy on global train data 56.113, Local accuracy on local train data 97.600
Round  37, Devices participated 10, Average loss 0.157, Central accuracy on global test data 92.798, Local accuracy on global train data 53.533, Local accuracy on local train data 96.067
Round  38, Devices participated 10, Average loss 0.067, Central accuracy on global test data 93.379, Local accuracy on global train data 57.158, Local accuracy on local train data 98.067
Round  39, Devices participated 10, Average loss 0.083, Central accuracy on global test data 93.590, Local accuracy on global train data 55.630, Local accuracy on local train data 98.367
Round  40, Devices participated 10, Average loss 0.075, Central accuracy on global test data 93.910, Local accuracy on global train data 57.292, Local accuracy on local train data 97.983
Round  41, Devices participated 10, Average loss 0.071, Central accuracy on global test data 94.071, Local accuracy on global train data 63.042, Local accuracy on local train data 98.133
Round  42, Devices participated 10, Average loss 0.067, Central accuracy on global test data 93.930, Local accuracy on global train data 61.682, Local accuracy on local train data 98.167
Round  43, Devices participated 10, Average loss 0.057, Central accuracy on global test data 93.850, Local accuracy on global train data 54.167, Local accuracy on local train data 98.267
Round  44, Devices participated 10, Average loss 0.087, Central accuracy on global test data 92.618, Local accuracy on global train data 53.667, Local accuracy on local train data 97.517
Round  45, Devices participated 10, Average loss 0.074, Central accuracy on global test data 93.650, Local accuracy on global train data 65.684, Local accuracy on local train data 98.150
Round  46, Devices participated 10, Average loss 0.104, Central accuracy on global test data 93.099, Local accuracy on global train data 60.022, Local accuracy on local train data 96.967
Round  47, Devices participated 10, Average loss 0.037, Central accuracy on global test data 93.650, Local accuracy on global train data 65.505, Local accuracy on local train data 99.050
Round  48, Devices participated 10, Average loss 0.081, Central accuracy on global test data 93.059, Local accuracy on global train data 65.684, Local accuracy on local train data 97.750
Round  49, Devices participated 10, Average loss 0.044, Central accuracy on global test data 92.137, Local accuracy on global train data 65.081, Local accuracy on local train data 98.783
Round  50, Devices participated 10, Average loss 0.073, Central accuracy on global test data 93.530, Local accuracy on global train data 65.959, Local accuracy on local train data 98.083
Round  51, Devices participated 10, Average loss 0.060, Central accuracy on global test data 94.221, Local accuracy on global train data 67.576, Local accuracy on local train data 98.467
Round  52, Devices participated 10, Average loss 0.067, Central accuracy on global test data 92.989, Local accuracy on global train data 65.859, Local accuracy on local train data 98.033
Round  53, Devices participated 10, Average loss 0.054, Central accuracy on global test data 93.860, Local accuracy on global train data 66.704, Local accuracy on local train data 98.350
Round  54, Devices participated 10, Average loss 0.028, Central accuracy on global test data 92.919, Local accuracy on global train data 65.259, Local accuracy on local train data 99.250
Round  55, Devices participated 10, Average loss 0.056, Central accuracy on global test data 94.020, Local accuracy on global train data 63.391, Local accuracy on local train data 98.350
Round  56, Devices participated 10, Average loss 0.057, Central accuracy on global test data 94.371, Local accuracy on global train data 64.565, Local accuracy on local train data 98.200
Round  57, Devices participated 10, Average loss 0.044, Central accuracy on global test data 92.929, Local accuracy on global train data 72.703, Local accuracy on local train data 98.817
Round  58, Devices participated 10, Average loss 0.095, Central accuracy on global test data 92.919, Local accuracy on global train data 61.313, Local accuracy on local train data 97.600
Round  59, Devices participated 10, Average loss 0.052, Central accuracy on global test data 94.131, Local accuracy on global train data 67.029, Local accuracy on local train data 98.567
Round  60, Devices participated 10, Average loss 0.049, Central accuracy on global test data 94.091, Local accuracy on global train data 65.293, Local accuracy on local train data 98.567
Round  61, Devices participated 10, Average loss 0.051, Central accuracy on global test data 94.601, Local accuracy on global train data 64.226, Local accuracy on local train data 98.517
