Round   0, Devices participated 10, Average loss 0.261, Central accuracy on global test data 29.107, Local accuracy on global train data 19.688, Local accuracy on local train data 91.867
Round   1, Devices participated 10, Average loss 0.280, Central accuracy on global test data 29.437, Local accuracy on global train data 17.476, Local accuracy on local train data 91.633
Round   2, Devices participated 10, Average loss 0.178, Central accuracy on global test data 43.680, Local accuracy on global train data 19.526, Local accuracy on local train data 95.017
Round   3, Devices participated 10, Average loss 0.190, Central accuracy on global test data 49.149, Local accuracy on global train data 19.998, Local accuracy on local train data 94.267
Round   4, Devices participated 10, Average loss 0.136, Central accuracy on global test data 64.613, Local accuracy on global train data 19.863, Local accuracy on local train data 96.033
Round   5, Devices participated 10, Average loss 0.151, Central accuracy on global test data 63.421, Local accuracy on global train data 23.123, Local accuracy on local train data 95.633
Round   6, Devices participated 10, Average loss 0.148, Central accuracy on global test data 63.241, Local accuracy on global train data 23.259, Local accuracy on local train data 95.817
Round   7, Devices participated 10, Average loss 0.170, Central accuracy on global test data 81.310, Local accuracy on global train data 23.789, Local accuracy on local train data 94.800
Round   8, Devices participated 10, Average loss 0.127, Central accuracy on global test data 81.330, Local accuracy on global train data 25.955, Local accuracy on local train data 96.350
Round   9, Devices participated 10, Average loss 0.110, Central accuracy on global test data 84.726, Local accuracy on global train data 29.297, Local accuracy on local train data 96.650
Round  10, Devices participated 10, Average loss 0.125, Central accuracy on global test data 86.168, Local accuracy on global train data 30.930, Local accuracy on local train data 96.417
Round  11, Devices participated 10, Average loss 0.080, Central accuracy on global test data 79.147, Local accuracy on global train data 39.158, Local accuracy on local train data 97.983
Round  12, Devices participated 10, Average loss 0.138, Central accuracy on global test data 83.964, Local accuracy on global train data 33.938, Local accuracy on local train data 95.983
Round  13, Devices participated 10, Average loss 0.090, Central accuracy on global test data 88.161, Local accuracy on global train data 36.704, Local accuracy on local train data 97.517
Round  14, Devices participated 10, Average loss 0.146, Central accuracy on global test data 88.191, Local accuracy on global train data 42.258, Local accuracy on local train data 95.717
Round  15, Devices participated 10, Average loss 0.118, Central accuracy on global test data 90.455, Local accuracy on global train data 42.073, Local accuracy on local train data 96.600
Round  16, Devices participated 10, Average loss 0.136, Central accuracy on global test data 91.076, Local accuracy on global train data 39.473, Local accuracy on local train data 96.133
Round  17, Devices participated 10, Average loss 0.065, Central accuracy on global test data 90.355, Local accuracy on global train data 44.944, Local accuracy on local train data 98.017
Round  18, Devices participated 10, Average loss 0.121, Central accuracy on global test data 90.254, Local accuracy on global train data 43.918, Local accuracy on local train data 96.217
Round  19, Devices participated 10, Average loss 0.053, Central accuracy on global test data 89.283, Local accuracy on global train data 49.199, Local accuracy on local train data 98.483
Round  20, Devices participated 10, Average loss 0.084, Central accuracy on global test data 88.842, Local accuracy on global train data 43.420, Local accuracy on local train data 97.700
Round  21, Devices participated 10, Average loss 0.075, Central accuracy on global test data 86.639, Local accuracy on global train data 47.617, Local accuracy on local train data 97.783
Round  22, Devices participated 10, Average loss 0.086, Central accuracy on global test data 91.146, Local accuracy on global train data 53.677, Local accuracy on local train data 97.550
Round  23, Devices participated 10, Average loss 0.099, Central accuracy on global test data 86.138, Local accuracy on global train data 51.187, Local accuracy on local train data 97.217
Round  24, Devices participated 10, Average loss 0.103, Central accuracy on global test data 89.553, Local accuracy on global train data 46.350, Local accuracy on local train data 97.267
Round  25, Devices participated 10, Average loss 0.083, Central accuracy on global test data 89.263, Local accuracy on global train data 51.304, Local accuracy on local train data 97.767
Round  26, Devices participated 10, Average loss 0.088, Central accuracy on global test data 90.345, Local accuracy on global train data 55.286, Local accuracy on local train data 97.433
Round  27, Devices participated 10, Average loss 0.087, Central accuracy on global test data 90.485, Local accuracy on global train data 58.765, Local accuracy on local train data 97.567
Round  28, Devices participated 10, Average loss 0.065, Central accuracy on global test data 91.577, Local accuracy on global train data 57.925, Local accuracy on local train data 98.333
Round  29, Devices participated 10, Average loss 0.091, Central accuracy on global test data 92.628, Local accuracy on global train data 49.436, Local accuracy on local train data 97.267
Round  30, Devices participated 10, Average loss 0.093, Central accuracy on global test data 90.565, Local accuracy on global train data 46.812, Local accuracy on local train data 97.550
Round  31, Devices participated 10, Average loss 0.059, Central accuracy on global test data 92.588, Local accuracy on global train data 55.950, Local accuracy on local train data 98.150
Round  32, Devices participated 10, Average loss 0.047, Central accuracy on global test data 92.718, Local accuracy on global train data 59.795, Local accuracy on local train data 98.650
Round  33, Devices participated 10, Average loss 0.085, Central accuracy on global test data 90.785, Local accuracy on global train data 51.633, Local accuracy on local train data 97.733
Round  34, Devices participated 10, Average loss 0.035, Central accuracy on global test data 90.064, Local accuracy on global train data 58.926, Local accuracy on local train data 99.033
Round  35, Devices participated 10, Average loss 0.061, Central accuracy on global test data 93.570, Local accuracy on global train data 55.981, Local accuracy on local train data 98.150
Round  36, Devices participated 10, Average loss 0.072, Central accuracy on global test data 92.668, Local accuracy on global train data 58.130, Local accuracy on local train data 97.833
Round  37, Devices participated 10, Average loss 0.171, Central accuracy on global test data 92.498, Local accuracy on global train data 56.333, Local accuracy on local train data 95.517
Round  38, Devices participated 10, Average loss 0.061, Central accuracy on global test data 93.640, Local accuracy on global train data 59.856, Local accuracy on local train data 98.333
Round  39, Devices participated 10, Average loss 0.082, Central accuracy on global test data 94.071, Local accuracy on global train data 56.660, Local accuracy on local train data 98.283
Round  40, Devices participated 10, Average loss 0.076, Central accuracy on global test data 94.121, Local accuracy on global train data 57.625, Local accuracy on local train data 98.067
Round  41, Devices participated 10, Average loss 0.070, Central accuracy on global test data 94.251, Local accuracy on global train data 63.130, Local accuracy on local train data 98.117
Round  42, Devices participated 10, Average loss 0.087, Central accuracy on global test data 94.171, Local accuracy on global train data 62.583, Local accuracy on local train data 97.933
Round  43, Devices participated 10, Average loss 0.066, Central accuracy on global test data 93.650, Local accuracy on global train data 55.813, Local accuracy on local train data 98.217
Round  44, Devices participated 10, Average loss 0.093, Central accuracy on global test data 92.528, Local accuracy on global train data 56.370, Local accuracy on local train data 97.317
Round  45, Devices participated 10, Average loss 0.070, Central accuracy on global test data 93.970, Local accuracy on global train data 68.799, Local accuracy on local train data 98.200
Round  46, Devices participated 10, Average loss 0.097, Central accuracy on global test data 93.440, Local accuracy on global train data 61.753, Local accuracy on local train data 97.067
Round  47, Devices participated 10, Average loss 0.034, Central accuracy on global test data 93.810, Local accuracy on global train data 68.086, Local accuracy on local train data 99.083
Round  48, Devices participated 10, Average loss 0.070, Central accuracy on global test data 93.490, Local accuracy on global train data 69.810, Local accuracy on local train data 97.983
Round  49, Devices participated 10, Average loss 0.044, Central accuracy on global test data 92.758, Local accuracy on global train data 66.799, Local accuracy on local train data 98.783
Round  50, Devices participated 10, Average loss 0.077, Central accuracy on global test data 93.880, Local accuracy on global train data 68.191, Local accuracy on local train data 97.933
Round  51, Devices participated 10, Average loss 0.058, Central accuracy on global test data 94.611, Local accuracy on global train data 70.640, Local accuracy on local train data 98.467
Round  52, Devices participated 10, Average loss 0.056, Central accuracy on global test data 93.490, Local accuracy on global train data 67.766, Local accuracy on local train data 98.250
Round  53, Devices participated 10, Average loss 0.056, Central accuracy on global test data 94.101, Local accuracy on global train data 68.247, Local accuracy on local train data 98.350
Round  54, Devices participated 10, Average loss 0.022, Central accuracy on global test data 92.979, Local accuracy on global train data 68.574, Local accuracy on local train data 99.417
