Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.053, Central accuracy on global test data 18.259, Local accuracy on global train data 10.098, Local accuracy on local train data 98.467
Round   2, Devices participated 10, Average loss 0.049, Central accuracy on global test data 15.545, Local accuracy on global train data 10.286, Local accuracy on local train data 98.283
Round   3, Devices participated 10, Average loss 0.044, Central accuracy on global test data 21.675, Local accuracy on global train data 10.012, Local accuracy on local train data 98.433
Round   4, Devices participated 10, Average loss 0.063, Central accuracy on global test data 28.966, Local accuracy on global train data 11.731, Local accuracy on local train data 98.067
Round   5, Devices participated 10, Average loss 0.032, Central accuracy on global test data 31.671, Local accuracy on global train data 10.095, Local accuracy on local train data 98.883
Round   6, Devices participated 10, Average loss 0.049, Central accuracy on global test data 45.112, Local accuracy on global train data 10.808, Local accuracy on local train data 98.450
Round   7, Devices participated 10, Average loss 0.035, Central accuracy on global test data 9.595, Local accuracy on global train data 9.568, Local accuracy on local train data 98.750
Round   8, Devices participated 10, Average loss 0.065, Central accuracy on global test data 33.423, Local accuracy on global train data 11.084, Local accuracy on local train data 98.033
Round   9, Devices participated 10, Average loss 0.038, Central accuracy on global test data 49.940, Local accuracy on global train data 12.539, Local accuracy on local train data 98.567
Round  10, Devices participated 10, Average loss 0.022, Central accuracy on global test data 47.546, Local accuracy on global train data 14.631, Local accuracy on local train data 99.467
Round  11, Devices participated 10, Average loss 0.050, Central accuracy on global test data 66.056, Local accuracy on global train data 12.388, Local accuracy on local train data 98.950
Round  12, Devices participated 10, Average loss 0.028, Central accuracy on global test data 34.215, Local accuracy on global train data 13.975, Local accuracy on local train data 99.283
Round  13, Devices participated 10, Average loss 0.032, Central accuracy on global test data 58.694, Local accuracy on global train data 11.150, Local accuracy on local train data 99.150
Round  14, Devices participated 10, Average loss 0.020, Central accuracy on global test data 44.571, Local accuracy on global train data 14.363, Local accuracy on local train data 99.417
Round  15, Devices participated 10, Average loss 0.023, Central accuracy on global test data 53.175, Local accuracy on global train data 11.914, Local accuracy on local train data 99.083
