Round   0, Devices participated 10, Average loss 0.090, Central accuracy on global test data 18.960, Ensemble accuracy on global test data 26.689, Local accuracy on global train data 12.112, Local accuracy on local train data 97.400
Round   1, Devices participated 10, Average loss 0.052, Central accuracy on global test data 23.397, Ensemble accuracy on global test data 23.311, Local accuracy on global train data 9.795, Local accuracy on local train data 98.500
Round   2, Devices participated 10, Average loss 0.052, Central accuracy on global test data 14.774, Ensemble accuracy on global test data 15.381, Local accuracy on global train data 9.958, Local accuracy on local train data 98.317
Round   3, Devices participated 10, Average loss 0.046, Central accuracy on global test data 26.152, Ensemble accuracy on global test data 30.771, Local accuracy on global train data 10.117, Local accuracy on local train data 98.417
Round   4, Devices participated 10, Average loss 0.063, Central accuracy on global test data 31.821, Ensemble accuracy on global test data 30.459, Local accuracy on global train data 11.968, Local accuracy on local train data 98.117
Round   5, Devices participated 10, Average loss 0.034, Central accuracy on global test data 28.716, Ensemble accuracy on global test data 29.922, Local accuracy on global train data 10.278, Local accuracy on local train data 98.933
Round   6, Devices participated 10, Average loss 0.059, Central accuracy on global test data 47.546, Ensemble accuracy on global test data 43.916, Local accuracy on global train data 11.067, Local accuracy on local train data 98.000
Round   7, Devices participated 10, Average loss 0.035, Central accuracy on global test data 9.275, Ensemble accuracy on global test data 8.711, Local accuracy on global train data 9.502, Local accuracy on local train data 98.783
Round   8, Devices participated 10, Average loss 0.061, Central accuracy on global test data 31.671, Ensemble accuracy on global test data 28.809, Local accuracy on global train data 10.618, Local accuracy on local train data 98.233
Round   9, Devices participated 10, Average loss 0.037, Central accuracy on global test data 50.521, Ensemble accuracy on global test data 44.600, Local accuracy on global train data 12.708, Local accuracy on local train data 98.317
Round  10, Devices participated 10, Average loss 0.022, Central accuracy on global test data 48.007, Ensemble accuracy on global test data 39.346, Local accuracy on global train data 14.690, Local accuracy on local train data 99.467
Round  11, Devices participated 10, Average loss 0.050, Central accuracy on global test data 66.016, Ensemble accuracy on global test data 50.059, Local accuracy on global train data 12.405, Local accuracy on local train data 98.917
Round  12, Devices participated 10, Average loss 0.035, Central accuracy on global test data 40.395, Ensemble accuracy on global test data 26.738, Local accuracy on global train data 13.008, Local accuracy on local train data 99.317
Round  13, Devices participated 10, Average loss 0.034, Central accuracy on global test data 47.476, Ensemble accuracy on global test data 30.195, Local accuracy on global train data 11.426, Local accuracy on local train data 99.117
Round  14, Devices participated 10, Average loss 0.020, Central accuracy on global test data 43.550, Ensemble accuracy on global test data 34.893, Local accuracy on global train data 14.299, Local accuracy on local train data 99.250
Round  15, Devices participated 10, Average loss 0.026, Central accuracy on global test data 52.334, Ensemble accuracy on global test data 48.701, Local accuracy on global train data 11.912, Local accuracy on local train data 99.000
Round  16, Devices participated 10, Average loss 0.025, Central accuracy on global test data 67.718, Ensemble accuracy on global test data 59.863, Local accuracy on global train data 12.842, Local accuracy on local train data 99.067
Round  17, Devices participated 10, Average loss 0.029, Central accuracy on global test data 63.341, Ensemble accuracy on global test data 57.949, Local accuracy on global train data 19.644, Local accuracy on local train data 99.133
Round  18, Devices participated 10, Average loss 0.015, Central accuracy on global test data 58.454, Ensemble accuracy on global test data 50.801, Local accuracy on global train data 22.734, Local accuracy on local train data 99.583
Round  19, Devices participated 10, Average loss 0.021, Central accuracy on global test data 57.051, Ensemble accuracy on global test data 49.365, Local accuracy on global train data 18.110, Local accuracy on local train data 99.400
Round  20, Devices participated 10, Average loss 0.020, Central accuracy on global test data 66.166, Ensemble accuracy on global test data 59.209, Local accuracy on global train data 19.971, Local accuracy on local train data 99.417
Round  21, Devices participated 10, Average loss 0.032, Central accuracy on global test data 65.615, Ensemble accuracy on global test data 54.482, Local accuracy on global train data 20.024, Local accuracy on local train data 99.100
Round  22, Devices participated 10, Average loss 0.017, Central accuracy on global test data 69.000, Ensemble accuracy on global test data 61.367, Local accuracy on global train data 17.498, Local accuracy on local train data 99.433
Round  23, Devices participated 10, Average loss 0.017, Central accuracy on global test data 48.698, Ensemble accuracy on global test data 41.279, Local accuracy on global train data 17.734, Local accuracy on local train data 99.517
Round  24, Devices participated 10, Average loss 0.019, Central accuracy on global test data 59.455, Ensemble accuracy on global test data 54.727, Local accuracy on global train data 21.741, Local accuracy on local train data 99.200
Round  25, Devices participated 10, Average loss 0.017, Central accuracy on global test data 71.565, Ensemble accuracy on global test data 64.395, Local accuracy on global train data 19.644, Local accuracy on local train data 99.400
Round  26, Devices participated 10, Average loss 0.044, Central accuracy on global test data 66.176, Ensemble accuracy on global test data 60.801, Local accuracy on global train data 21.699, Local accuracy on local train data 98.800
Round  27, Devices participated 10, Average loss 0.015, Central accuracy on global test data 58.383, Ensemble accuracy on global test data 52.451, Local accuracy on global train data 26.816, Local accuracy on local train data 99.450
Round  28, Devices participated 10, Average loss 0.019, Central accuracy on global test data 67.047, Ensemble accuracy on global test data 59.541, Local accuracy on global train data 18.516, Local accuracy on local train data 99.433
Round  29, Devices participated 10, Average loss 0.032, Central accuracy on global test data 77.624, Ensemble accuracy on global test data 73.682, Local accuracy on global train data 17.429, Local accuracy on local train data 98.917
Round  30, Devices participated 10, Average loss 0.015, Central accuracy on global test data 69.501, Ensemble accuracy on global test data 59.883, Local accuracy on global train data 17.097, Local accuracy on local train data 99.533
Round  31, Devices participated 10, Average loss 0.038, Central accuracy on global test data 74.539, Ensemble accuracy on global test data 65.791, Local accuracy on global train data 24.604, Local accuracy on local train data 98.683
Round  32, Devices participated 10, Average loss 0.027, Central accuracy on global test data 75.761, Ensemble accuracy on global test data 69.346, Local accuracy on global train data 28.955, Local accuracy on local train data 99.317
Round  33, Devices participated 10, Average loss 0.013, Central accuracy on global test data 71.264, Ensemble accuracy on global test data 64.766, Local accuracy on global train data 26.108, Local accuracy on local train data 99.650
Round  34, Devices participated 10, Average loss 0.018, Central accuracy on global test data 74.880, Ensemble accuracy on global test data 71.045, Local accuracy on global train data 22.261, Local accuracy on local train data 99.433
Round  35, Devices participated 10, Average loss 0.023, Central accuracy on global test data 72.085, Ensemble accuracy on global test data 62.793, Local accuracy on global train data 25.115, Local accuracy on local train data 99.350
Round  36, Devices participated 10, Average loss 0.024, Central accuracy on global test data 67.027, Ensemble accuracy on global test data 60.146, Local accuracy on global train data 23.633, Local accuracy on local train data 99.383
Round  37, Devices participated 10, Average loss 0.036, Central accuracy on global test data 65.515, Ensemble accuracy on global test data 56.396, Local accuracy on global train data 16.155, Local accuracy on local train data 98.733
Round  38, Devices participated 10, Average loss 0.018, Central accuracy on global test data 81.230, Ensemble accuracy on global test data 73.594, Local accuracy on global train data 22.646, Local accuracy on local train data 99.450
Round  39, Devices participated 10, Average loss 0.011, Central accuracy on global test data 80.539, Ensemble accuracy on global test data 76.807, Local accuracy on global train data 33.066, Local accuracy on local train data 99.650
Round  40, Devices participated 10, Average loss 0.016, Central accuracy on global test data 78.305, Ensemble accuracy on global test data 71.484, Local accuracy on global train data 22.227, Local accuracy on local train data 99.383
Round  41, Devices participated 10, Average loss 0.019, Central accuracy on global test data 75.921, Ensemble accuracy on global test data 69.893, Local accuracy on global train data 24.385, Local accuracy on local train data 99.517
Round  42, Devices participated 10, Average loss 0.017, Central accuracy on global test data 75.571, Ensemble accuracy on global test data 68.184, Local accuracy on global train data 24.849, Local accuracy on local train data 99.533
Round  43, Devices participated 10, Average loss 0.026, Central accuracy on global test data 79.487, Ensemble accuracy on global test data 74.941, Local accuracy on global train data 29.009, Local accuracy on local train data 99.150
Round  44, Devices participated 10, Average loss 0.012, Central accuracy on global test data 81.851, Ensemble accuracy on global test data 78.369, Local accuracy on global train data 32.019, Local accuracy on local train data 99.600
Round  45, Devices participated 10, Average loss 0.015, Central accuracy on global test data 81.991, Ensemble accuracy on global test data 77.422, Local accuracy on global train data 33.992, Local accuracy on local train data 99.500
Round  46, Devices participated 10, Average loss 0.017, Central accuracy on global test data 79.968, Ensemble accuracy on global test data 74.424, Local accuracy on global train data 30.862, Local accuracy on local train data 99.450
Round  47, Devices participated 10, Average loss 0.015, Central accuracy on global test data 81.761, Ensemble accuracy on global test data 77.773, Local accuracy on global train data 32.202, Local accuracy on local train data 99.533
Round  48, Devices participated 10, Average loss 0.019, Central accuracy on global test data 84.315, Ensemble accuracy on global test data 81.562, Local accuracy on global train data 33.801, Local accuracy on local train data 99.417
Round  49, Devices participated 10, Average loss 0.011, Central accuracy on global test data 76.803, Ensemble accuracy on global test data 69.658, Local accuracy on global train data 24.189, Local accuracy on local train data 99.650
Round  50, Devices participated 10, Average loss 0.011, Central accuracy on global test data 77.244, Ensemble accuracy on global test data 73.633, Local accuracy on global train data 32.192, Local accuracy on local train data 99.567
Round  51, Devices participated 10, Average loss 0.012, Central accuracy on global test data 81.881, Ensemble accuracy on global test data 77.510, Local accuracy on global train data 29.392, Local accuracy on local train data 99.617
Round  52, Devices participated 10, Average loss 0.013, Central accuracy on global test data 79.307, Ensemble accuracy on global test data 70.801, Local accuracy on global train data 20.227, Local accuracy on local train data 99.467
Round  53, Devices participated 10, Average loss 0.016, Central accuracy on global test data 85.136, Ensemble accuracy on global test data 81.475, Local accuracy on global train data 28.289, Local accuracy on local train data 99.450
Round  54, Devices participated 10, Average loss 0.010, Central accuracy on global test data 71.424, Ensemble accuracy on global test data 64.004, Local accuracy on global train data 28.921, Local accuracy on local train data 99.733
Round  55, Devices participated 10, Average loss 0.023, Central accuracy on global test data 83.373, Ensemble accuracy on global test data 79.443, Local accuracy on global train data 23.296, Local accuracy on local train data 99.200
