Round   0, Devices participated 10, Average loss 0.072, Central accuracy on global test data 23.668, Local accuracy on global train data 12.078, Local accuracy on local train data 97.950
Round   1, Devices participated 10, Average loss 0.050, Central accuracy on global test data 30.138, Local accuracy on global train data 10.098, Local accuracy on local train data 98.483
Round   2, Devices participated 10, Average loss 0.048, Central accuracy on global test data 29.748, Local accuracy on global train data 10.237, Local accuracy on local train data 98.367
Round   3, Devices participated 10, Average loss 0.039, Central accuracy on global test data 32.732, Local accuracy on global train data 10.012, Local accuracy on local train data 98.717
Round   4, Devices participated 10, Average loss 0.058, Central accuracy on global test data 42.598, Local accuracy on global train data 11.738, Local accuracy on local train data 98.233
Round   5, Devices participated 10, Average loss 0.027, Central accuracy on global test data 37.440, Local accuracy on global train data 10.095, Local accuracy on local train data 99.233
Round   6, Devices participated 10, Average loss 0.048, Central accuracy on global test data 50.040, Local accuracy on global train data 10.798, Local accuracy on local train data 98.567
Round   7, Devices participated 10, Average loss 0.031, Central accuracy on global test data 16.867, Local accuracy on global train data 9.568, Local accuracy on local train data 99.100
Round   8, Devices participated 10, Average loss 0.047, Central accuracy on global test data 51.733, Local accuracy on global train data 11.079, Local accuracy on local train data 98.450
Round   9, Devices participated 10, Average loss 0.030, Central accuracy on global test data 54.547, Local accuracy on global train data 10.986, Local accuracy on local train data 99.133
Round  10, Devices participated 10, Average loss 0.020, Central accuracy on global test data 51.392, Local accuracy on global train data 11.707, Local accuracy on local train data 99.500
Round  11, Devices participated 10, Average loss 0.029, Central accuracy on global test data 64.002, Local accuracy on global train data 11.660, Local accuracy on local train data 99.050
Round  12, Devices participated 10, Average loss 0.028, Central accuracy on global test data 58.534, Local accuracy on global train data 12.339, Local accuracy on local train data 99.083
Round  13, Devices participated 10, Average loss 0.027, Central accuracy on global test data 49.239, Local accuracy on global train data 10.552, Local accuracy on local train data 99.283
Round  14, Devices participated 10, Average loss 0.018, Central accuracy on global test data 59.305, Local accuracy on global train data 14.268, Local accuracy on local train data 99.433
Round  15, Devices participated 10, Average loss 0.024, Central accuracy on global test data 70.172, Local accuracy on global train data 10.974, Local accuracy on local train data 99.083
Round  16, Devices participated 10, Average loss 0.017, Central accuracy on global test data 67.067, Local accuracy on global train data 13.293, Local accuracy on local train data 99.583
Round  17, Devices participated 10, Average loss 0.045, Central accuracy on global test data 59.786, Local accuracy on global train data 18.687, Local accuracy on local train data 98.883
Round  18, Devices participated 10, Average loss 0.017, Central accuracy on global test data 60.557, Local accuracy on global train data 20.486, Local accuracy on local train data 99.533
Round  19, Devices participated 10, Average loss 0.015, Central accuracy on global test data 62.370, Local accuracy on global train data 16.194, Local accuracy on local train data 99.633
Round  20, Devices participated 10, Average loss 0.024, Central accuracy on global test data 65.976, Local accuracy on global train data 20.786, Local accuracy on local train data 99.400
Round  21, Devices participated 10, Average loss 0.037, Central accuracy on global test data 72.806, Local accuracy on global train data 18.926, Local accuracy on local train data 99.050
Round  22, Devices participated 10, Average loss 0.016, Central accuracy on global test data 72.867, Local accuracy on global train data 18.315, Local accuracy on local train data 99.433
Round  23, Devices participated 10, Average loss 0.012, Central accuracy on global test data 59.495, Local accuracy on global train data 17.979, Local accuracy on local train data 99.700
Round  24, Devices participated 10, Average loss 0.017, Central accuracy on global test data 71.194, Local accuracy on global train data 23.672, Local accuracy on local train data 99.433
Round  25, Devices participated 10, Average loss 0.016, Central accuracy on global test data 75.120, Local accuracy on global train data 17.092, Local accuracy on local train data 99.533
Round  26, Devices participated 10, Average loss 0.042, Central accuracy on global test data 75.040, Local accuracy on global train data 18.125, Local accuracy on local train data 98.817
Round  27, Devices participated 10, Average loss 0.012, Central accuracy on global test data 66.126, Local accuracy on global train data 22.991, Local accuracy on local train data 99.667
Round  28, Devices participated 10, Average loss 0.016, Central accuracy on global test data 69.651, Local accuracy on global train data 17.361, Local accuracy on local train data 99.400
Round  29, Devices participated 10, Average loss 0.022, Central accuracy on global test data 76.402, Local accuracy on global train data 15.886, Local accuracy on local train data 99.150
Round  30, Devices participated 10, Average loss 0.013, Central accuracy on global test data 78.145, Local accuracy on global train data 17.012, Local accuracy on local train data 99.533
Round  31, Devices participated 10, Average loss 0.047, Central accuracy on global test data 79.778, Local accuracy on global train data 23.252, Local accuracy on local train data 98.683
Round  32, Devices participated 10, Average loss 0.026, Central accuracy on global test data 80.128, Local accuracy on global train data 27.246, Local accuracy on local train data 99.367
Round  33, Devices participated 10, Average loss 0.012, Central accuracy on global test data 73.828, Local accuracy on global train data 21.624, Local accuracy on local train data 99.650
Round  34, Devices participated 10, Average loss 0.016, Central accuracy on global test data 78.776, Local accuracy on global train data 22.869, Local accuracy on local train data 99.450
Round  35, Devices participated 10, Average loss 0.029, Central accuracy on global test data 73.668, Local accuracy on global train data 23.708, Local accuracy on local train data 99.250
Round  36, Devices participated 10, Average loss 0.022, Central accuracy on global test data 76.583, Local accuracy on global train data 22.698, Local accuracy on local train data 99.300
Round  37, Devices participated 10, Average loss 0.034, Central accuracy on global test data 78.315, Local accuracy on global train data 16.177, Local accuracy on local train data 99.067
Round  38, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.884, Local accuracy on global train data 22.551, Local accuracy on local train data 99.500
Round  39, Devices participated 10, Average loss 0.009, Central accuracy on global test data 82.572, Local accuracy on global train data 32.173, Local accuracy on local train data 99.800
Round  40, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.652, Local accuracy on global train data 21.074, Local accuracy on local train data 99.567
Round  41, Devices participated 10, Average loss 0.023, Central accuracy on global test data 83.123, Local accuracy on global train data 19.590, Local accuracy on local train data 99.400
Round  42, Devices participated 10, Average loss 0.012, Central accuracy on global test data 83.664, Local accuracy on global train data 25.759, Local accuracy on local train data 99.683
Round  43, Devices participated 10, Average loss 0.022, Central accuracy on global test data 82.843, Local accuracy on global train data 29.824, Local accuracy on local train data 99.417
Round  44, Devices participated 10, Average loss 0.013, Central accuracy on global test data 84.866, Local accuracy on global train data 31.069, Local accuracy on local train data 99.567
Round  45, Devices participated 10, Average loss 0.019, Central accuracy on global test data 81.130, Local accuracy on global train data 32.124, Local accuracy on local train data 99.450
Round  46, Devices participated 10, Average loss 0.017, Central accuracy on global test data 82.222, Local accuracy on global train data 30.339, Local accuracy on local train data 99.533
Round  47, Devices participated 10, Average loss 0.018, Central accuracy on global test data 84.325, Local accuracy on global train data 33.523, Local accuracy on local train data 99.483
Round  48, Devices participated 10, Average loss 0.025, Central accuracy on global test data 85.116, Local accuracy on global train data 35.020, Local accuracy on local train data 99.250
Round  49, Devices participated 10, Average loss 0.012, Central accuracy on global test data 83.834, Local accuracy on global train data 23.660, Local accuracy on local train data 99.650
Round  50, Devices participated 10, Average loss 0.010, Central accuracy on global test data 78.876, Local accuracy on global train data 34.041, Local accuracy on local train data 99.600
Round  51, Devices participated 10, Average loss 0.011, Central accuracy on global test data 84.806, Local accuracy on global train data 32.466, Local accuracy on local train data 99.683
Round  52, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.914, Local accuracy on global train data 16.326, Local accuracy on local train data 99.517
Round  53, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.647, Local accuracy on global train data 29.512, Local accuracy on local train data 99.550
Round  54, Devices participated 10, Average loss 0.010, Central accuracy on global test data 80.899, Local accuracy on global train data 27.944, Local accuracy on local train data 99.683
Round  55, Devices participated 10, Average loss 0.019, Central accuracy on global test data 85.857, Local accuracy on global train data 25.669, Local accuracy on local train data 99.283
