['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '0', '--vr_mode', '0', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep1_opt0vr0.log']
2020-07-31 05:07:59.964830

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.266, Local accuracy on global train data 10.181, Local accuracy on local train data 9.820
Round   1, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.637, Local accuracy on global train data 10.850, Local accuracy on local train data 10.220
Round   2, Devices participated 10, Average loss 2.301, Central accuracy on global test data 13.732, Local accuracy on global train data 11.672, Local accuracy on local train data 11.000
Round   3, Devices participated 10, Average loss 2.296, Central accuracy on global test data 14.683, Local accuracy on global train data 15.117, Local accuracy on local train data 13.940
Round   4, Devices participated 10, Average loss 2.285, Central accuracy on global test data 13.692, Local accuracy on global train data 15.439, Local accuracy on local train data 16.120
Round   5, Devices participated 10, Average loss 2.245, Central accuracy on global test data 15.515, Local accuracy on global train data 16.592, Local accuracy on local train data 15.500
Round   6, Devices participated 10, Average loss 2.211, Central accuracy on global test data 20.893, Local accuracy on global train data 19.104, Local accuracy on local train data 18.440
Round   7, Devices participated 10, Average loss 2.132, Central accuracy on global test data 25.180, Local accuracy on global train data 22.009, Local accuracy on local train data 21.040
Round   8, Devices participated 10, Average loss 2.266, Central accuracy on global test data 27.063, Local accuracy on global train data 23.640, Local accuracy on local train data 20.000
Round   9, Devices participated 10, Average loss 2.061, Central accuracy on global test data 27.915, Local accuracy on global train data 23.787, Local accuracy on local train data 25.520
Round  10, Devices participated 10, Average loss 2.028, Central accuracy on global test data 27.915, Local accuracy on global train data 24.705, Local accuracy on local train data 25.400
Round  11, Devices participated 10, Average loss 2.008, Central accuracy on global test data 29.708, Local accuracy on global train data 26.704, Local accuracy on local train data 25.340
Round  12, Devices participated 10, Average loss 1.985, Central accuracy on global test data 29.677, Local accuracy on global train data 26.418, Local accuracy on local train data 27.660
