['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--max_qndn', '1.5', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_lr10_maxqndn15.log']
2020-08-01 07:01:19.803348

Round   0, Devices participated 10, Average loss 2.301, Central accuracy on global test data 9.565, Local accuracy on global train data 10.740, Local accuracy on local train data 10.733
Round   1, Devices participated 10, Average loss 2.300, Central accuracy on global test data 15.204, Local accuracy on global train data 11.355, Local accuracy on local train data 10.813
Round   2, Devices participated 10, Average loss 2.288, Central accuracy on global test data 13.562, Local accuracy on global train data 14.089, Local accuracy on local train data 15.160
Round   3, Devices participated 10, Average loss 2.256, Central accuracy on global test data 12.089, Local accuracy on global train data 17.534, Local accuracy on local train data 14.953
Round   4, Devices participated 10, Average loss 2.180, Central accuracy on global test data 14.934, Local accuracy on global train data 21.431, Local accuracy on local train data 19.500
Round   5, Devices participated 10, Average loss 2.125, Central accuracy on global test data 22.065, Local accuracy on global train data 23.530, Local accuracy on local train data 22.233
Round   6, Devices participated 10, Average loss 2.094, Central accuracy on global test data 25.541, Local accuracy on global train data 24.204, Local accuracy on local train data 22.993
Round   7, Devices participated 10, Average loss 2.036, Central accuracy on global test data 25.952, Local accuracy on global train data 24.241, Local accuracy on local train data 24.440
Round   8, Devices participated 10, Average loss 2.018, Central accuracy on global test data 27.434, Local accuracy on global train data 25.237, Local accuracy on local train data 25.960
Round   9, Devices participated 10, Average loss 1.980, Central accuracy on global test data 29.637, Local accuracy on global train data 27.388, Local accuracy on local train data 26.327
Round  10, Devices participated 10, Average loss 1.936, Central accuracy on global test data 30.429, Local accuracy on global train data 28.284, Local accuracy on local train data 29.547
Round  11, Devices participated 10, Average loss 1.906, Central accuracy on global test data 32.171, Local accuracy on global train data 29.973, Local accuracy on local train data 30.373
Round  12, Devices participated 10, Average loss 1.881, Central accuracy on global test data 33.914, Local accuracy on global train data 30.916, Local accuracy on local train data 31.780
Round  13, Devices participated 10, Average loss 1.847, Central accuracy on global test data 36.138, Local accuracy on global train data 31.096, Local accuracy on local train data 32.867
Round  14, Devices participated 10, Average loss 1.787, Central accuracy on global test data 37.600, Local accuracy on global train data 32.878, Local accuracy on local train data 35.420
Round  15, Devices participated 10, Average loss 1.775, Central accuracy on global test data 38.331, Local accuracy on global train data 36.067, Local accuracy on local train data 35.760
Round  16, Devices participated 10, Average loss 1.739, Central accuracy on global test data 39.052, Local accuracy on global train data 35.786, Local accuracy on local train data 37.020
Round  17, Devices participated 10, Average loss 1.700, Central accuracy on global test data 40.234, Local accuracy on global train data 35.432, Local accuracy on local train data 38.473
Round  18, Devices participated 10, Average loss 1.671, Central accuracy on global test data 41.657, Local accuracy on global train data 37.910, Local accuracy on local train data 38.947
Round  19, Devices participated 10, Average loss 1.644, Central accuracy on global test data 42.648, Local accuracy on global train data 38.796, Local accuracy on local train data 40.473
Round  20, Devices participated 10, Average loss 1.655, Central accuracy on global test data 43.189, Local accuracy on global train data 39.978, Local accuracy on local train data 40.000
Round  21, Devices participated 10, Average loss 1.622, Central accuracy on global test data 43.980, Local accuracy on global train data 40.359, Local accuracy on local train data 41.240
Round  22, Devices participated 10, Average loss 1.597, Central accuracy on global test data 44.882, Local accuracy on global train data 41.235, Local accuracy on local train data 42.473
Round  23, Devices participated 10, Average loss 1.561, Central accuracy on global test data 45.533, Local accuracy on global train data 40.303, Local accuracy on local train data 43.473
Round  24, Devices participated 10, Average loss 1.534, Central accuracy on global test data 45.763, Local accuracy on global train data 41.814, Local accuracy on local train data 44.333
Round  25, Devices participated 10, Average loss 1.531, Central accuracy on global test data 46.424, Local accuracy on global train data 41.255, Local accuracy on local train data 44.607
Round  26, Devices participated 10, Average loss 1.489, Central accuracy on global test data 47.025, Local accuracy on global train data 43.477, Local accuracy on local train data 46.227
Round  27, Devices participated 10, Average loss 1.476, Central accuracy on global test data 47.366, Local accuracy on global train data 43.904, Local accuracy on local train data 46.473
Round  28, Devices participated 10, Average loss 1.477, Central accuracy on global test data 48.057, Local accuracy on global train data 44.248, Local accuracy on local train data 46.567
Round  29, Devices participated 10, Average loss 1.471, Central accuracy on global test data 48.628, Local accuracy on global train data 44.624, Local accuracy on local train data 47.180
Round  30, Devices participated 10, Average loss 1.444, Central accuracy on global test data 49.129, Local accuracy on global train data 43.896, Local accuracy on local train data 48.760
Round  31, Devices participated 10, Average loss 1.398, Central accuracy on global test data 49.239, Local accuracy on global train data 45.552, Local accuracy on local train data 49.727
Round  32, Devices participated 10, Average loss 1.433, Central accuracy on global test data 49.730, Local accuracy on global train data 46.687, Local accuracy on local train data 48.373
Round  33, Devices participated 10, Average loss 1.406, Central accuracy on global test data 50.371, Local accuracy on global train data 45.667, Local accuracy on local train data 49.333
Round  34, Devices participated 10, Average loss 1.393, Central accuracy on global test data 50.731, Local accuracy on global train data 47.351, Local accuracy on local train data 50.473
Round  35, Devices participated 10, Average loss 1.379, Central accuracy on global test data 50.701, Local accuracy on global train data 47.439, Local accuracy on local train data 51.107
Round  36, Devices participated 10, Average loss 1.377, Central accuracy on global test data 51.032, Local accuracy on global train data 47.490, Local accuracy on local train data 50.887
Round  37, Devices participated 10, Average loss 1.377, Central accuracy on global test data 51.272, Local accuracy on global train data 48.325, Local accuracy on local train data 50.953
Round  38, Devices participated 10, Average loss 1.361, Central accuracy on global test data 51.823, Local accuracy on global train data 49.280, Local accuracy on local train data 51.967
Round  39, Devices participated 10, Average loss 1.359, Central accuracy on global test data 52.103, Local accuracy on global train data 49.272, Local accuracy on local train data 52.007
Round  40, Devices participated 10, Average loss 1.332, Central accuracy on global test data 52.324, Local accuracy on global train data 49.341, Local accuracy on local train data 52.507
Round  41, Devices participated 10, Average loss 1.314, Central accuracy on global test data 52.564, Local accuracy on global train data 49.695, Local accuracy on local train data 53.907
Round  42, Devices participated 10, Average loss 1.310, Central accuracy on global test data 52.915, Local accuracy on global train data 51.423, Local accuracy on local train data 53.460
Round  43, Devices participated 10, Average loss 1.266, Central accuracy on global test data 53.345, Local accuracy on global train data 51.633, Local accuracy on local train data 55.547
Round  44, Devices participated 10, Average loss 1.256, Central accuracy on global test data 53.616, Local accuracy on global train data 52.371, Local accuracy on local train data 56.233
Round  45, Devices participated 10, Average loss 1.271, Central accuracy on global test data 53.816, Local accuracy on global train data 51.182, Local accuracy on local train data 55.627
Round  46, Devices participated 10, Average loss 1.245, Central accuracy on global test data 54.087, Local accuracy on global train data 52.043, Local accuracy on local train data 55.887
Round  47, Devices participated 10, Average loss 1.193, Central accuracy on global test data 54.457, Local accuracy on global train data 52.852, Local accuracy on local train data 57.620
Round  48, Devices participated 10, Average loss 1.243, Central accuracy on global test data 54.547, Local accuracy on global train data 53.354, Local accuracy on local train data 56.213
Round  49, Devices participated 10, Average loss 1.222, Central accuracy on global test data 54.677, Local accuracy on global train data 54.021, Local accuracy on local train data 56.820
Round  50, Devices participated 10, Average loss 1.235, Central accuracy on global test data 54.968, Local accuracy on global train data 53.208, Local accuracy on local train data 56.433
Round  51, Devices participated 10, Average loss 1.182, Central accuracy on global test data 55.008, Local accuracy on global train data 53.599, Local accuracy on local train data 58.533
