['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--max_qndn', '2.0', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_maxqndn20.log']
2020-08-01 06:55:54.184449

Round   0, Devices participated 10, Average loss 2.301, Central accuracy on global test data 9.415, Local accuracy on global train data 10.740, Local accuracy on local train data 10.733
Round   1, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.078, Local accuracy on global train data 11.226, Local accuracy on local train data 10.680
Round   2, Devices participated 10, Average loss 2.297, Central accuracy on global test data 14.223, Local accuracy on global train data 12.490, Local accuracy on local train data 12.127
Round   3, Devices participated 10, Average loss 2.291, Central accuracy on global test data 15.385, Local accuracy on global train data 15.059, Local accuracy on local train data 15.400
Round   4, Devices participated 10, Average loss 2.269, Central accuracy on global test data 13.812, Local accuracy on global train data 16.958, Local accuracy on local train data 15.927
Round   5, Devices participated 10, Average loss 2.226, Central accuracy on global test data 13.962, Local accuracy on global train data 18.906, Local accuracy on local train data 16.727
Round   6, Devices participated 10, Average loss 2.194, Central accuracy on global test data 15.345, Local accuracy on global train data 21.345, Local accuracy on local train data 19.533
Round   7, Devices participated 10, Average loss 2.123, Central accuracy on global test data 19.872, Local accuracy on global train data 22.483, Local accuracy on local train data 21.853
Round   8, Devices participated 10, Average loss 2.102, Central accuracy on global test data 23.538, Local accuracy on global train data 22.515, Local accuracy on local train data 22.407
Round   9, Devices participated 10, Average loss 2.064, Central accuracy on global test data 26.342, Local accuracy on global train data 24.377, Local accuracy on local train data 23.460
Round  10, Devices participated 10, Average loss 2.033, Central accuracy on global test data 27.654, Local accuracy on global train data 25.356, Local accuracy on local train data 25.340
Round  11, Devices participated 10, Average loss 2.012, Central accuracy on global test data 28.566, Local accuracy on global train data 26.016, Local accuracy on local train data 25.133
Round  12, Devices participated 10, Average loss 2.000, Central accuracy on global test data 28.846, Local accuracy on global train data 26.379, Local accuracy on local train data 26.707
Round  13, Devices participated 10, Average loss 1.979, Central accuracy on global test data 29.117, Local accuracy on global train data 26.855, Local accuracy on local train data 27.227
Round  14, Devices participated 10, Average loss 1.942, Central accuracy on global test data 30.659, Local accuracy on global train data 28.596, Local accuracy on local train data 29.220
Round  15, Devices participated 10, Average loss 1.940, Central accuracy on global test data 31.550, Local accuracy on global train data 29.753, Local accuracy on local train data 28.607
Round  16, Devices participated 10, Average loss 1.917, Central accuracy on global test data 32.652, Local accuracy on global train data 28.945, Local accuracy on local train data 29.960
Round  17, Devices participated 10, Average loss 1.886, Central accuracy on global test data 33.714, Local accuracy on global train data 30.740, Local accuracy on local train data 31.620
Round  18, Devices participated 10, Average loss 1.853, Central accuracy on global test data 34.766, Local accuracy on global train data 31.636, Local accuracy on local train data 32.427
Round  19, Devices participated 10, Average loss 1.833, Central accuracy on global test data 36.008, Local accuracy on global train data 31.667, Local accuracy on local train data 33.367
Round  20, Devices participated 10, Average loss 1.832, Central accuracy on global test data 37.079, Local accuracy on global train data 34.546, Local accuracy on local train data 33.333
Round  21, Devices participated 10, Average loss 1.807, Central accuracy on global test data 37.951, Local accuracy on global train data 33.845, Local accuracy on local train data 33.733
Round  22, Devices participated 10, Average loss 1.781, Central accuracy on global test data 38.682, Local accuracy on global train data 35.391, Local accuracy on local train data 35.780
Round  23, Devices participated 10, Average loss 1.751, Central accuracy on global test data 39.714, Local accuracy on global train data 35.703, Local accuracy on local train data 36.927
Round  24, Devices participated 10, Average loss 1.723, Central accuracy on global test data 40.254, Local accuracy on global train data 36.992, Local accuracy on local train data 37.093
Round  25, Devices participated 10, Average loss 1.712, Central accuracy on global test data 40.996, Local accuracy on global train data 36.917, Local accuracy on local train data 37.333
Round  26, Devices participated 10, Average loss 1.678, Central accuracy on global test data 41.717, Local accuracy on global train data 38.220, Local accuracy on local train data 39.733
Round  27, Devices participated 10, Average loss 1.664, Central accuracy on global test data 42.498, Local accuracy on global train data 37.432, Local accuracy on local train data 39.393
Round  28, Devices participated 10, Average loss 1.648, Central accuracy on global test data 42.989, Local accuracy on global train data 38.989, Local accuracy on local train data 39.480
Round  29, Devices participated 10, Average loss 1.658, Central accuracy on global test data 43.630, Local accuracy on global train data 39.377, Local accuracy on local train data 39.820
Round  30, Devices participated 10, Average loss 1.628, Central accuracy on global test data 44.201, Local accuracy on global train data 39.590, Local accuracy on local train data 41.513
Round  31, Devices participated 10, Average loss 1.589, Central accuracy on global test data 44.571, Local accuracy on global train data 40.151, Local accuracy on local train data 42.180
Round  32, Devices participated 10, Average loss 1.603, Central accuracy on global test data 45.323, Local accuracy on global train data 41.975, Local accuracy on local train data 41.447
Round  33, Devices participated 10, Average loss 1.574, Central accuracy on global test data 45.663, Local accuracy on global train data 41.440, Local accuracy on local train data 42.807
Round  34, Devices participated 10, Average loss 1.571, Central accuracy on global test data 46.024, Local accuracy on global train data 41.814, Local accuracy on local train data 44.280
Round  35, Devices participated 10, Average loss 1.553, Central accuracy on global test data 46.464, Local accuracy on global train data 42.578, Local accuracy on local train data 43.713
Round  36, Devices participated 10, Average loss 1.542, Central accuracy on global test data 46.825, Local accuracy on global train data 42.341, Local accuracy on local train data 44.033
Round  37, Devices participated 10, Average loss 1.537, Central accuracy on global test data 47.236, Local accuracy on global train data 44.509, Local accuracy on local train data 44.833
Round  38, Devices participated 10, Average loss 1.524, Central accuracy on global test data 47.686, Local accuracy on global train data 44.539, Local accuracy on local train data 44.867
Round  39, Devices participated 10, Average loss 1.518, Central accuracy on global test data 47.796, Local accuracy on global train data 44.519, Local accuracy on local train data 45.687
Round  40, Devices participated 10, Average loss 1.513, Central accuracy on global test data 48.427, Local accuracy on global train data 44.001, Local accuracy on local train data 45.233
Round  41, Devices participated 10, Average loss 1.502, Central accuracy on global test data 48.658, Local accuracy on global train data 44.521, Local accuracy on local train data 46.553
Round  42, Devices participated 10, Average loss 1.492, Central accuracy on global test data 49.149, Local accuracy on global train data 45.247, Local accuracy on local train data 46.287
Round  43, Devices participated 10, Average loss 1.465, Central accuracy on global test data 49.619, Local accuracy on global train data 45.544, Local accuracy on local train data 47.407
Round  44, Devices participated 10, Average loss 1.445, Central accuracy on global test data 50.020, Local accuracy on global train data 47.214, Local accuracy on local train data 48.533
Round  45, Devices participated 10, Average loss 1.460, Central accuracy on global test data 50.270, Local accuracy on global train data 46.272, Local accuracy on local train data 47.833
Round  46, Devices participated 10, Average loss 1.446, Central accuracy on global test data 50.631, Local accuracy on global train data 47.195, Local accuracy on local train data 47.920
Round  47, Devices participated 10, Average loss 1.399, Central accuracy on global test data 50.831, Local accuracy on global train data 46.951, Local accuracy on local train data 49.347
Round  48, Devices participated 10, Average loss 1.424, Central accuracy on global test data 51.082, Local accuracy on global train data 47.839, Local accuracy on local train data 49.013
Round  49, Devices participated 10, Average loss 1.430, Central accuracy on global test data 51.262, Local accuracy on global train data 48.933, Local accuracy on local train data 48.420
Round  50, Devices participated 10, Average loss 1.418, Central accuracy on global test data 51.583, Local accuracy on global train data 48.164, Local accuracy on local train data 49.453
Round  51, Devices participated 10, Average loss 1.390, Central accuracy on global test data 51.853, Local accuracy on global train data 48.726, Local accuracy on local train data 51.240
Round  52, Devices participated 10, Average loss 1.365, Central accuracy on global test data 52.173, Local accuracy on global train data 48.521, Local accuracy on local train data 51.213
Round  53, Devices participated 10, Average loss 1.378, Central accuracy on global test data 52.284, Local accuracy on global train data 49.580, Local accuracy on local train data 51.427
Round  54, Devices participated 10, Average loss 1.381, Central accuracy on global test data 52.754, Local accuracy on global train data 49.971, Local accuracy on local train data 50.333
Round  55, Devices participated 10, Average loss 1.340, Central accuracy on global test data 52.754, Local accuracy on global train data 50.317, Local accuracy on local train data 51.460
Round  56, Devices participated 10, Average loss 1.380, Central accuracy on global test data 53.095, Local accuracy on global train data 50.166, Local accuracy on local train data 51.027
Round  57, Devices participated 10, Average loss 1.323, Central accuracy on global test data 53.295, Local accuracy on global train data 50.437, Local accuracy on local train data 52.960
Round  58, Devices participated 10, Average loss 1.378, Central accuracy on global test data 53.596, Local accuracy on global train data 50.771, Local accuracy on local train data 51.107
Round  59, Devices participated 10, Average loss 1.303, Central accuracy on global test data 54.307, Local accuracy on global train data 51.831, Local accuracy on local train data 53.707
Round  60, Devices participated 10, Average loss 1.305, Central accuracy on global test data 54.337, Local accuracy on global train data 51.792, Local accuracy on local train data 53.480
Round  61, Devices participated 10, Average loss 1.331, Central accuracy on global test data 54.627, Local accuracy on global train data 51.621, Local accuracy on local train data 52.127
Round  62, Devices participated 10, Average loss 1.310, Central accuracy on global test data 54.958, Local accuracy on global train data 52.598, Local accuracy on local train data 52.847
Round  63, Devices participated 10, Average loss 1.286, Central accuracy on global test data 55.148, Local accuracy on global train data 52.007, Local accuracy on local train data 54.300
