['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '2', '--vr_mode', '1', '--vr_scale', '0.01', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_vrs001.log']
2020-08-01 01:13:02.399197

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.425, Local accuracy on global train data 9.272, Local accuracy on local train data 9.233
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.405, Local accuracy on global train data 9.490, Local accuracy on local train data 9.093
Round   2, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.405, Local accuracy on global train data 9.275, Local accuracy on local train data 8.613
Round   3, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.405, Local accuracy on global train data 9.307, Local accuracy on local train data 9.540
Round   4, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.465, Local accuracy on global train data 9.641, Local accuracy on local train data 9.147
Round   5, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.465, Local accuracy on global train data 9.387, Local accuracy on local train data 9.647
Round   6, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.525, Local accuracy on global train data 9.583, Local accuracy on local train data 9.787
Round   7, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.535, Local accuracy on global train data 9.409, Local accuracy on local train data 9.360
Round   8, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.535, Local accuracy on global train data 9.343, Local accuracy on local train data 9.813
Round   9, Devices participated 10, Average loss 2.305, Central accuracy on global test data 9.515, Local accuracy on global train data 9.690, Local accuracy on local train data 9.187
Round  10, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.515, Local accuracy on global train data 9.702, Local accuracy on local train data 9.193
Round  11, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.525, Local accuracy on global train data 9.641, Local accuracy on local train data 9.473
Round  12, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.535, Local accuracy on global train data 9.514, Local accuracy on local train data 9.673
Round  13, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.555, Local accuracy on global train data 9.741, Local accuracy on local train data 9.160
Round  14, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.535, Local accuracy on global train data 9.902, Local accuracy on local train data 9.947
Round  15, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.565, Local accuracy on global train data 9.778, Local accuracy on local train data 9.600
Round  16, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.575, Local accuracy on global train data 9.695, Local accuracy on local train data 9.420
Round  17, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.605, Local accuracy on global train data 9.670, Local accuracy on local train data 9.533
Round  18, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.605, Local accuracy on global train data 9.714, Local accuracy on local train data 10.213
Round  19, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.555, Local accuracy on global train data 9.648, Local accuracy on local train data 10.213
Round  20, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.625, Local accuracy on global train data 9.668, Local accuracy on local train data 9.773
Round  21, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.615, Local accuracy on global train data 9.797, Local accuracy on local train data 10.060
Round  22, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.685, Local accuracy on global train data 9.561, Local accuracy on local train data 9.887
Round  23, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.716, Local accuracy on global train data 9.941, Local accuracy on local train data 9.553
Round  24, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.736, Local accuracy on global train data 10.002, Local accuracy on local train data 9.640
Round  25, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.786, Local accuracy on global train data 9.895, Local accuracy on local train data 9.733
Round  26, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.766, Local accuracy on global train data 9.980, Local accuracy on local train data 9.607
Round  27, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.786, Local accuracy on global train data 9.668, Local accuracy on local train data 9.607
Round  28, Devices participated 10, Average loss 2.302, Central accuracy on global test data 9.786, Local accuracy on global train data 9.851, Local accuracy on local train data 10.793
Round  29, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.836, Local accuracy on global train data 9.990, Local accuracy on local train data 9.513
Round  30, Devices participated 10, Average loss 2.302, Central accuracy on global test data 9.866, Local accuracy on global train data 10.051, Local accuracy on local train data 9.627
Round  31, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.906, Local accuracy on global train data 9.878, Local accuracy on local train data 9.987
Round  32, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.906, Local accuracy on global train data 9.924, Local accuracy on local train data 10.167
Round  33, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.936, Local accuracy on global train data 9.912, Local accuracy on local train data 10.473
Round  34, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.926, Local accuracy on global train data 10.171, Local accuracy on local train data 10.353
Round  35, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.916, Local accuracy on global train data 10.173, Local accuracy on local train data 10.047
Round  36, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.936, Local accuracy on global train data 10.137, Local accuracy on local train data 9.580
Round  37, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.956, Local accuracy on global train data 10.186, Local accuracy on local train data 9.760
Round  38, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.036, Local accuracy on global train data 10.271, Local accuracy on local train data 10.793
Round  39, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.036, Local accuracy on global train data 10.422, Local accuracy on local train data 10.213
Round  40, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.036, Local accuracy on global train data 10.222, Local accuracy on local train data 9.733
Round  41, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.126, Local accuracy on global train data 10.015, Local accuracy on local train data 10.440
Round  42, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.126, Local accuracy on global train data 10.176, Local accuracy on local train data 10.280
Round  43, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.126, Local accuracy on global train data 10.393, Local accuracy on local train data 10.400
Round  44, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.076, Local accuracy on global train data 10.447, Local accuracy on local train data 10.393
Round  45, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.166, Local accuracy on global train data 10.391, Local accuracy on local train data 10.693
Round  46, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.176, Local accuracy on global train data 10.378, Local accuracy on local train data 10.807
Round  47, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.176, Local accuracy on global train data 10.264, Local accuracy on local train data 10.580
Round  48, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.176, Local accuracy on global train data 10.530, Local accuracy on local train data 10.640
Round  49, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.186, Local accuracy on global train data 10.354, Local accuracy on local train data 10.187
Round  50, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.156, Local accuracy on global train data 10.510, Local accuracy on local train data 10.207
Round  51, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.216, Local accuracy on global train data 10.566, Local accuracy on local train data 10.840
Round  52, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.196, Local accuracy on global train data 10.442, Local accuracy on local train data 10.727
Round  53, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.266, Local accuracy on global train data 10.518, Local accuracy on local train data 9.940
Round  54, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.266, Local accuracy on global train data 10.710, Local accuracy on local train data 9.827
Round  55, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.306, Local accuracy on global train data 10.664, Local accuracy on local train data 10.787
Round  56, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.317, Local accuracy on global train data 10.527, Local accuracy on local train data 10.600
Round  57, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.317, Local accuracy on global train data 10.708, Local accuracy on local train data 11.160
Round  58, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.387, Local accuracy on global train data 10.525, Local accuracy on local train data 10.780
Round  59, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.447, Local accuracy on global train data 10.671, Local accuracy on local train data 10.827
Round  60, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.477, Local accuracy on global train data 10.710, Local accuracy on local train data 10.193
Round  61, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.487, Local accuracy on global train data 10.671, Local accuracy on local train data 10.953
Round  62, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.517, Local accuracy on global train data 10.930, Local accuracy on local train data 10.487
Round  63, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.547, Local accuracy on global train data 10.557, Local accuracy on local train data 10.280
