Round   0, Devices participated 10, Average loss 0.586, Central accuracy on global test data 25.703, Ensemble accuracy on global test data 27.080, Local accuracy on global train data 19.380, Local accuracy on local train data 87.067
Round   1, Devices participated 10, Average loss 0.434, Central accuracy on global test data 23.643, Ensemble accuracy on global test data 22.754, Local accuracy on global train data 20.598, Local accuracy on local train data 88.733
Round   2, Devices participated 10, Average loss 0.528, Central accuracy on global test data 47.129, Ensemble accuracy on global test data 46.045, Local accuracy on global train data 22.488, Local accuracy on local train data 88.367
Round   3, Devices participated 10, Average loss 0.524, Central accuracy on global test data 62.734, Ensemble accuracy on global test data 62.207, Local accuracy on global train data 23.989, Local accuracy on local train data 88.133
Round   4, Devices participated 10, Average loss 0.442, Central accuracy on global test data 49.102, Ensemble accuracy on global test data 48.887, Local accuracy on global train data 20.989, Local accuracy on local train data 91.517
Round   5, Devices participated 10, Average loss 0.486, Central accuracy on global test data 52.637, Ensemble accuracy on global test data 52.490, Local accuracy on global train data 27.080, Local accuracy on local train data 89.583
Round   6, Devices participated 10, Average loss 0.372, Central accuracy on global test data 65.859, Ensemble accuracy on global test data 63.223, Local accuracy on global train data 26.685, Local accuracy on local train data 92.017
Round   7, Devices participated 10, Average loss 0.483, Central accuracy on global test data 64.961, Ensemble accuracy on global test data 65.850, Local accuracy on global train data 28.140, Local accuracy on local train data 89.100
Round   8, Devices participated 10, Average loss 0.362, Central accuracy on global test data 71.318, Ensemble accuracy on global test data 70.176, Local accuracy on global train data 36.067, Local accuracy on local train data 93.483
Round   9, Devices participated 10, Average loss 0.392, Central accuracy on global test data 65.996, Ensemble accuracy on global test data 66.836, Local accuracy on global train data 34.031, Local accuracy on local train data 92.717
Round  10, Devices participated 10, Average loss 0.332, Central accuracy on global test data 66.787, Ensemble accuracy on global test data 68.994, Local accuracy on global train data 34.775, Local accuracy on local train data 93.933
Round  11, Devices participated 10, Average loss 0.206, Central accuracy on global test data 71.260, Ensemble accuracy on global test data 70.684, Local accuracy on global train data 40.647, Local accuracy on local train data 95.617
Round  12, Devices participated 10, Average loss 0.473, Central accuracy on global test data 66.699, Ensemble accuracy on global test data 64.229, Local accuracy on global train data 27.483, Local accuracy on local train data 88.617
Round  13, Devices participated 10, Average loss 0.346, Central accuracy on global test data 68.516, Ensemble accuracy on global test data 68.760, Local accuracy on global train data 32.231, Local accuracy on local train data 93.650
Round  14, Devices participated 10, Average loss 0.368, Central accuracy on global test data 73.809, Ensemble accuracy on global test data 75.410, Local accuracy on global train data 41.060, Local accuracy on local train data 92.650
Round  15, Devices participated 10, Average loss 0.333, Central accuracy on global test data 74.121, Ensemble accuracy on global test data 74.160, Local accuracy on global train data 38.557, Local accuracy on local train data 95.283
Round  16, Devices participated 10, Average loss 0.379, Central accuracy on global test data 72.441, Ensemble accuracy on global test data 73.867, Local accuracy on global train data 38.047, Local accuracy on local train data 92.283
Round  17, Devices participated 10, Average loss 0.310, Central accuracy on global test data 74.961, Ensemble accuracy on global test data 75.283, Local accuracy on global train data 40.276, Local accuracy on local train data 94.483
Round  18, Devices participated 10, Average loss 0.356, Central accuracy on global test data 72.568, Ensemble accuracy on global test data 73.525, Local accuracy on global train data 41.123, Local accuracy on local train data 93.200
Round  19, Devices participated 10, Average loss 0.199, Central accuracy on global test data 77.764, Ensemble accuracy on global test data 78.496, Local accuracy on global train data 47.664, Local accuracy on local train data 96.667
Round  20, Devices participated 10, Average loss 0.241, Central accuracy on global test data 63.838, Ensemble accuracy on global test data 62.773, Local accuracy on global train data 40.876, Local accuracy on local train data 95.933
Round  21, Devices participated 10, Average loss 0.316, Central accuracy on global test data 69.697, Ensemble accuracy on global test data 69.863, Local accuracy on global train data 36.096, Local accuracy on local train data 95.033
Round  22, Devices participated 10, Average loss 0.265, Central accuracy on global test data 76.846, Ensemble accuracy on global test data 76.904, Local accuracy on global train data 49.683, Local accuracy on local train data 94.317
Round  23, Devices participated 10, Average loss 0.319, Central accuracy on global test data 61.523, Ensemble accuracy on global test data 60.518, Local accuracy on global train data 48.228, Local accuracy on local train data 96.100
Round  24, Devices participated 10, Average loss 0.285, Central accuracy on global test data 76.279, Ensemble accuracy on global test data 75.889, Local accuracy on global train data 45.559, Local accuracy on local train data 95.933
Round  25, Devices participated 10, Average loss 0.352, Central accuracy on global test data 66.533, Ensemble accuracy on global test data 66.309, Local accuracy on global train data 34.175, Local accuracy on local train data 94.333
Round  26, Devices participated 10, Average loss 0.366, Central accuracy on global test data 77.764, Ensemble accuracy on global test data 75.381, Local accuracy on global train data 52.036, Local accuracy on local train data 95.433
Round  27, Devices participated 10, Average loss 0.345, Central accuracy on global test data 78.418, Ensemble accuracy on global test data 78.809, Local accuracy on global train data 45.161, Local accuracy on local train data 94.883
Round  28, Devices participated 10, Average loss 0.299, Central accuracy on global test data 76.182, Ensemble accuracy on global test data 77.080, Local accuracy on global train data 49.243, Local accuracy on local train data 95.933
Round  29, Devices participated 10, Average loss 0.478, Central accuracy on global test data 79.443, Ensemble accuracy on global test data 80.566, Local accuracy on global train data 45.869, Local accuracy on local train data 93.717
Round  30, Devices participated 10, Average loss 0.303, Central accuracy on global test data 78.447, Ensemble accuracy on global test data 75.244, Local accuracy on global train data 44.939, Local accuracy on local train data 96.250
Round  31, Devices participated 10, Average loss 0.294, Central accuracy on global test data 69.912, Ensemble accuracy on global test data 70.684, Local accuracy on global train data 50.554, Local accuracy on local train data 96.450
Round  32, Devices participated 10, Average loss 0.254, Central accuracy on global test data 79.658, Ensemble accuracy on global test data 79.795, Local accuracy on global train data 51.694, Local accuracy on local train data 96.717
Round  33, Devices participated 10, Average loss 0.373, Central accuracy on global test data 72.031, Ensemble accuracy on global test data 71.699, Local accuracy on global train data 47.776, Local accuracy on local train data 95.783
Round  34, Devices participated 10, Average loss 0.222, Central accuracy on global test data 75.703, Ensemble accuracy on global test data 76.875, Local accuracy on global train data 46.636, Local accuracy on local train data 97.483
Round  35, Devices participated 10, Average loss 0.328, Central accuracy on global test data 78.467, Ensemble accuracy on global test data 78.809, Local accuracy on global train data 41.877, Local accuracy on local train data 95.500
Round  36, Devices participated 10, Average loss 0.317, Central accuracy on global test data 76.963, Ensemble accuracy on global test data 78.164, Local accuracy on global train data 50.427, Local accuracy on local train data 96.117
Round  37, Devices participated 10, Average loss 0.393, Central accuracy on global test data 77.275, Ensemble accuracy on global test data 77.510, Local accuracy on global train data 51.599, Local accuracy on local train data 94.600
Round  38, Devices participated 10, Average loss 0.340, Central accuracy on global test data 78.379, Ensemble accuracy on global test data 79.893, Local accuracy on global train data 50.930, Local accuracy on local train data 96.067
Round  39, Devices participated 10, Average loss 0.262, Central accuracy on global test data 73.018, Ensemble accuracy on global test data 74.941, Local accuracy on global train data 47.742, Local accuracy on local train data 96.200
Round  40, Devices participated 10, Average loss 0.388, Central accuracy on global test data 77.568, Ensemble accuracy on global test data 79.775, Local accuracy on global train data 45.815, Local accuracy on local train data 95.350
Round  41, Devices participated 10, Average loss 0.412, Central accuracy on global test data 76.387, Ensemble accuracy on global test data 77.568, Local accuracy on global train data 49.304, Local accuracy on local train data 95.350
Round  42, Devices participated 10, Average loss 0.302, Central accuracy on global test data 75.508, Ensemble accuracy on global test data 77.393, Local accuracy on global train data 45.120, Local accuracy on local train data 95.850
Round  43, Devices participated 10, Average loss 0.299, Central accuracy on global test data 79.785, Ensemble accuracy on global test data 81.191, Local accuracy on global train data 44.355, Local accuracy on local train data 96.333
Round  44, Devices participated 10, Average loss 0.382, Central accuracy on global test data 73.848, Ensemble accuracy on global test data 74.717, Local accuracy on global train data 48.042, Local accuracy on local train data 95.417
Round  45, Devices participated 10, Average loss 0.351, Central accuracy on global test data 80.088, Ensemble accuracy on global test data 80.732, Local accuracy on global train data 58.125, Local accuracy on local train data 95.817
Round  46, Devices participated 10, Average loss 0.391, Central accuracy on global test data 76.113, Ensemble accuracy on global test data 77.148, Local accuracy on global train data 52.776, Local accuracy on local train data 94.983
Round  47, Devices participated 10, Average loss 0.247, Central accuracy on global test data 76.543, Ensemble accuracy on global test data 78.330, Local accuracy on global train data 51.060, Local accuracy on local train data 97.450
Round  48, Devices participated 10, Average loss 0.385, Central accuracy on global test data 78.799, Ensemble accuracy on global test data 80.088, Local accuracy on global train data 54.065, Local accuracy on local train data 95.683
Round  49, Devices participated 10, Average loss 0.270, Central accuracy on global test data 74.463, Ensemble accuracy on global test data 76.533, Local accuracy on global train data 54.773, Local accuracy on local train data 96.683
Round  50, Devices participated 10, Average loss 0.309, Central accuracy on global test data 80.215, Ensemble accuracy on global test data 80.107, Local accuracy on global train data 52.830, Local accuracy on local train data 96.183
Round  51, Devices participated 10, Average loss 0.359, Central accuracy on global test data 82.725, Ensemble accuracy on global test data 83.291, Local accuracy on global train data 57.256, Local accuracy on local train data 95.867
Round  52, Devices participated 10, Average loss 0.404, Central accuracy on global test data 79.414, Ensemble accuracy on global test data 78.701, Local accuracy on global train data 52.009, Local accuracy on local train data 95.700
Round  53, Devices participated 10, Average loss 0.347, Central accuracy on global test data 79.639, Ensemble accuracy on global test data 79.023, Local accuracy on global train data 54.805, Local accuracy on local train data 96.467
Round  54, Devices participated 10, Average loss 0.235, Central accuracy on global test data 79.062, Ensemble accuracy on global test data 79.443, Local accuracy on global train data 49.136, Local accuracy on local train data 97.233
Round  55, Devices participated 10, Average loss 0.346, Central accuracy on global test data 81.475, Ensemble accuracy on global test data 81.221, Local accuracy on global train data 49.180, Local accuracy on local train data 96.317
Round  56, Devices participated 10, Average loss 0.315, Central accuracy on global test data 81.172, Ensemble accuracy on global test data 82.480, Local accuracy on global train data 54.629, Local accuracy on local train data 96.367
Round  57, Devices participated 10, Average loss 0.279, Central accuracy on global test data 78.857, Ensemble accuracy on global test data 79.893, Local accuracy on global train data 52.773, Local accuracy on local train data 96.850
Round  58, Devices participated 10, Average loss 0.382, Central accuracy on global test data 81.592, Ensemble accuracy on global test data 82.920, Local accuracy on global train data 50.266, Local accuracy on local train data 95.617
Round  59, Devices participated 10, Average loss 0.311, Central accuracy on global test data 78.633, Ensemble accuracy on global test data 79.854, Local accuracy on global train data 55.120, Local accuracy on local train data 96.533
Round  60, Devices participated 10, Average loss 0.418, Central accuracy on global test data 81.846, Ensemble accuracy on global test data 81.846, Local accuracy on global train data 50.923, Local accuracy on local train data 95.633
Round  61, Devices participated 10, Average loss 0.294, Central accuracy on global test data 80.205, Ensemble accuracy on global test data 80.234, Local accuracy on global train data 53.625, Local accuracy on local train data 96.450
Round  62, Devices participated 10, Average loss 0.330, Central accuracy on global test data 80.459, Ensemble accuracy on global test data 80.703, Local accuracy on global train data 51.843, Local accuracy on local train data 96.433
Round  63, Devices participated 10, Average loss 0.305, Central accuracy on global test data 84.170, Ensemble accuracy on global test data 83.945, Local accuracy on global train data 52.683, Local accuracy on local train data 96.150
Round  64, Devices participated 10, Average loss 0.340, Central accuracy on global test data 75.527, Ensemble accuracy on global test data 75.342, Local accuracy on global train data 51.257, Local accuracy on local train data 96.117
Round  65, Devices participated 10, Average loss 0.398, Central accuracy on global test data 83.525, Ensemble accuracy on global test data 83.672, Local accuracy on global train data 58.481, Local accuracy on local train data 95.033
Round  66, Devices participated 10, Average loss 0.323, Central accuracy on global test data 80.986, Ensemble accuracy on global test data 81.982, Local accuracy on global train data 58.647, Local accuracy on local train data 96.300
Round  67, Devices participated 10, Average loss 0.288, Central accuracy on global test data 83.975, Ensemble accuracy on global test data 84.570, Local accuracy on global train data 56.650, Local accuracy on local train data 96.650
Round  68, Devices participated 10, Average loss 0.216, Central accuracy on global test data 82.676, Ensemble accuracy on global test data 82.637, Local accuracy on global train data 57.642, Local accuracy on local train data 97.450
Round  69, Devices participated 10, Average loss 0.242, Central accuracy on global test data 76.504, Ensemble accuracy on global test data 76.953, Local accuracy on global train data 54.585, Local accuracy on local train data 97.283
Round  70, Devices participated 10, Average loss 0.348, Central accuracy on global test data 82.910, Ensemble accuracy on global test data 83.066, Local accuracy on global train data 57.678, Local accuracy on local train data 95.617
Round  71, Devices participated 10, Average loss 0.289, Central accuracy on global test data 81.123, Ensemble accuracy on global test data 80.430, Local accuracy on global train data 58.259, Local accuracy on local train data 96.883
Round  72, Devices participated 10, Average loss 0.317, Central accuracy on global test data 77.588, Ensemble accuracy on global test data 82.217, Local accuracy on global train data 57.876, Local accuracy on local train data 95.967
Round  73, Devices participated 10, Average loss 0.246, Central accuracy on global test data 80.547, Ensemble accuracy on global test data 82.549, Local accuracy on global train data 60.979, Local accuracy on local train data 97.133
Round  74, Devices participated 10, Average loss 0.343, Central accuracy on global test data 76.230, Ensemble accuracy on global test data 82.236, Local accuracy on global train data 55.852, Local accuracy on local train data 96.067
Round  75, Devices participated 10, Average loss 0.293, Central accuracy on global test data 78.467, Ensemble accuracy on global test data 80.605, Local accuracy on global train data 57.537, Local accuracy on local train data 96.200
Round  76, Devices participated 10, Average loss 0.312, Central accuracy on global test data 75.010, Ensemble accuracy on global test data 83.682, Local accuracy on global train data 60.503, Local accuracy on local train data 95.817
Round  77, Devices participated 10, Average loss 0.250, Central accuracy on global test data 81.064, Ensemble accuracy on global test data 82.031, Local accuracy on global train data 56.946, Local accuracy on local train data 96.500
Round  78, Devices participated 10, Average loss 0.217, Central accuracy on global test data 81.846, Ensemble accuracy on global test data 82.773, Local accuracy on global train data 53.684, Local accuracy on local train data 96.800
Round  79, Devices participated 10, Average loss 0.280, Central accuracy on global test data 82.246, Ensemble accuracy on global test data 84.199, Local accuracy on global train data 59.565, Local accuracy on local train data 96.383
Round  80, Devices participated 10, Average loss 0.303, Central accuracy on global test data 82.275, Ensemble accuracy on global test data 83.447, Local accuracy on global train data 60.708, Local accuracy on local train data 95.767
Round  81, Devices participated 10, Average loss 0.273, Central accuracy on global test data 82.070, Ensemble accuracy on global test data 82.490, Local accuracy on global train data 58.850, Local accuracy on local train data 96.267
Round  82, Devices participated 10, Average loss 0.244, Central accuracy on global test data 80.879, Ensemble accuracy on global test data 81.445, Local accuracy on global train data 58.147, Local accuracy on local train data 96.567
Round  83, Devices participated 10, Average loss 0.244, Central accuracy on global test data 82.422, Ensemble accuracy on global test data 82.949, Local accuracy on global train data 57.898, Local accuracy on local train data 96.533
Round  84, Devices participated 10, Average loss 0.331, Central accuracy on global test data 81.006, Ensemble accuracy on global test data 81.387, Local accuracy on global train data 62.300, Local accuracy on local train data 95.117
Round  85, Devices participated 10, Average loss 0.250, Central accuracy on global test data 82.715, Ensemble accuracy on global test data 83.047, Local accuracy on global train data 61.055, Local accuracy on local train data 96.617
Round  86, Devices participated 10, Average loss 0.210, Central accuracy on global test data 83.115, Ensemble accuracy on global test data 83.975, Local accuracy on global train data 61.333, Local accuracy on local train data 97.233
Round  87, Devices participated 10, Average loss 0.225, Central accuracy on global test data 80.244, Ensemble accuracy on global test data 81.279, Local accuracy on global train data 59.739, Local accuracy on local train data 96.600
Round  88, Devices participated 10, Average loss 0.210, Central accuracy on global test data 82.471, Ensemble accuracy on global test data 83.281, Local accuracy on global train data 56.929, Local accuracy on local train data 97.383
Round  89, Devices participated 10, Average loss 0.197, Central accuracy on global test data 81.318, Ensemble accuracy on global test data 82.197, Local accuracy on global train data 60.857, Local accuracy on local train data 97.033
Round  90, Devices participated 10, Average loss 0.274, Central accuracy on global test data 81.348, Ensemble accuracy on global test data 80.967, Local accuracy on global train data 57.949, Local accuracy on local train data 96.750
Round  91, Devices participated 10, Average loss 0.399, Central accuracy on global test data 82.773, Ensemble accuracy on global test data 82.412, Local accuracy on global train data 55.046, Local accuracy on local train data 94.833
Round  92, Devices participated 10, Average loss 0.262, Central accuracy on global test data 83.555, Ensemble accuracy on global test data 85.586, Local accuracy on global train data 62.214, Local accuracy on local train data 96.700
Round  93, Devices participated 10, Average loss 0.209, Central accuracy on global test data 78.779, Ensemble accuracy on global test data 79.609, Local accuracy on global train data 59.270, Local accuracy on local train data 96.983
Round  94, Devices participated 10, Average loss 0.239, Central accuracy on global test data 83.223, Ensemble accuracy on global test data 83.496, Local accuracy on global train data 58.564, Local accuracy on local train data 96.767
Round  95, Devices participated 10, Average loss 0.208, Central accuracy on global test data 76.074, Ensemble accuracy on global test data 77.295, Local accuracy on global train data 64.165, Local accuracy on local train data 97.350
Round  96, Devices participated 10, Average loss 0.356, Central accuracy on global test data 84.023, Ensemble accuracy on global test data 84.990, Local accuracy on global train data 63.591, Local accuracy on local train data 94.900
Round  97, Devices participated 10, Average loss 0.239, Central accuracy on global test data 81.484, Ensemble accuracy on global test data 82.461, Local accuracy on global train data 56.672, Local accuracy on local train data 96.550
Round  98, Devices participated 10, Average loss 0.210, Central accuracy on global test data 80.713, Ensemble accuracy on global test data 80.371, Local accuracy on global train data 59.751, Local accuracy on local train data 97.050
Round  99, Devices participated 10, Average loss 0.336, Central accuracy on global test data 81.133, Ensemble accuracy on global test data 81.777, Local accuracy on global train data 60.547, Local accuracy on local train data 95.633
Round 100, Devices participated 10, Average loss 0.210, Central accuracy on global test data 85.020, Ensemble accuracy on global test data 84.775, Local accuracy on global train data 59.412, Local accuracy on local train data 97.417
Round 101, Devices participated 10, Average loss 0.268, Central accuracy on global test data 83.848, Ensemble accuracy on global test data 84.219, Local accuracy on global train data 58.147, Local accuracy on local train data 96.183
Round 102, Devices participated 10, Average loss 0.308, Central accuracy on global test data 84.531, Ensemble accuracy on global test data 84.199, Local accuracy on global train data 59.348, Local accuracy on local train data 95.517
Round 103, Devices participated 10, Average loss 0.253, Central accuracy on global test data 83.330, Ensemble accuracy on global test data 83.623, Local accuracy on global train data 61.250, Local accuracy on local train data 96.567
Round 104, Devices participated 10, Average loss 0.256, Central accuracy on global test data 84.297, Ensemble accuracy on global test data 83.828, Local accuracy on global train data 56.528, Local accuracy on local train data 96.367
Round 105, Devices participated 10, Average loss 0.303, Central accuracy on global test data 84.375, Ensemble accuracy on global test data 84.326, Local accuracy on global train data 56.948, Local accuracy on local train data 95.900
Round 106, Devices participated 10, Average loss 0.281, Central accuracy on global test data 84.590, Ensemble accuracy on global test data 84.727, Local accuracy on global train data 63.223, Local accuracy on local train data 96.117
Round 107, Devices participated 10, Average loss 0.325, Central accuracy on global test data 73.252, Ensemble accuracy on global test data 72.637, Local accuracy on global train data 60.583, Local accuracy on local train data 96.200
Round 108, Devices participated 10, Average loss 0.222, Central accuracy on global test data 82.383, Ensemble accuracy on global test data 81.143, Local accuracy on global train data 56.216, Local accuracy on local train data 97.000
Round 109, Devices participated 10, Average loss 0.303, Central accuracy on global test data 84.619, Ensemble accuracy on global test data 85.117, Local accuracy on global train data 61.982, Local accuracy on local train data 95.450
Round 110, Devices participated 10, Average loss 0.227, Central accuracy on global test data 85.781, Ensemble accuracy on global test data 85.654, Local accuracy on global train data 63.940, Local accuracy on local train data 96.967
Round 111, Devices participated 10, Average loss 0.236, Central accuracy on global test data 82.217, Ensemble accuracy on global test data 81.641, Local accuracy on global train data 62.971, Local accuracy on local train data 97.183
Round 112, Devices participated 10, Average loss 0.244, Central accuracy on global test data 81.367, Ensemble accuracy on global test data 80.469, Local accuracy on global train data 55.979, Local accuracy on local train data 96.717
Round 113, Devices participated 10, Average loss 0.210, Central accuracy on global test data 82.090, Ensemble accuracy on global test data 82.373, Local accuracy on global train data 59.014, Local accuracy on local train data 96.883
Round 114, Devices participated 10, Average loss 0.236, Central accuracy on global test data 85.107, Ensemble accuracy on global test data 85.273, Local accuracy on global train data 60.195, Local accuracy on local train data 96.800
