Round   0, Devices participated 10, Average loss 0.552, Central accuracy on global test data 19.551, Local accuracy on global train data 19.524, Local accuracy on local train data 87.717
Round   1, Devices participated 10, Average loss 0.435, Central accuracy on global test data 12.344, Local accuracy on global train data 17.490, Local accuracy on local train data 88.717
Round   2, Devices participated 10, Average loss 0.503, Central accuracy on global test data 26.357, Local accuracy on global train data 18.713, Local accuracy on local train data 89.067
Round   3, Devices participated 10, Average loss 0.465, Central accuracy on global test data 29.131, Local accuracy on global train data 20.039, Local accuracy on local train data 89.050
Round   4, Devices participated 10, Average loss 0.395, Central accuracy on global test data 33.408, Local accuracy on global train data 18.884, Local accuracy on local train data 92.133
Round   5, Devices participated 10, Average loss 0.432, Central accuracy on global test data 25.898, Local accuracy on global train data 19.722, Local accuracy on local train data 90.933
Round   6, Devices participated 10, Average loss 0.366, Central accuracy on global test data 24.600, Local accuracy on global train data 18.342, Local accuracy on local train data 91.467
Round   7, Devices participated 10, Average loss 0.414, Central accuracy on global test data 39.072, Local accuracy on global train data 20.054, Local accuracy on local train data 90.200
Round   8, Devices participated 10, Average loss 0.311, Central accuracy on global test data 18.691, Local accuracy on global train data 18.628, Local accuracy on local train data 93.517
Round   9, Devices participated 10, Average loss 0.312, Central accuracy on global test data 20.566, Local accuracy on global train data 19.651, Local accuracy on local train data 92.567
Round  10, Devices participated 10, Average loss 0.290, Central accuracy on global test data 35.479, Local accuracy on global train data 18.521, Local accuracy on local train data 93.283
Round  11, Devices participated 10, Average loss 0.235, Central accuracy on global test data 39.043, Local accuracy on global train data 19.666, Local accuracy on local train data 94.883
Round  12, Devices participated 10, Average loss 0.454, Central accuracy on global test data 22.910, Local accuracy on global train data 19.868, Local accuracy on local train data 88.883
Round  13, Devices participated 10, Average loss 0.305, Central accuracy on global test data 22.871, Local accuracy on global train data 18.411, Local accuracy on local train data 92.333
Round  14, Devices participated 10, Average loss 0.300, Central accuracy on global test data 19.131, Local accuracy on global train data 19.456, Local accuracy on local train data 91.950
Round  15, Devices participated 10, Average loss 0.245, Central accuracy on global test data 33.340, Local accuracy on global train data 18.613, Local accuracy on local train data 94.533
Round  16, Devices participated 10, Average loss 0.335, Central accuracy on global test data 49.414, Local accuracy on global train data 19.004, Local accuracy on local train data 91.567
Round  17, Devices participated 10, Average loss 0.251, Central accuracy on global test data 41.582, Local accuracy on global train data 19.355, Local accuracy on local train data 94.767
Round  18, Devices participated 10, Average loss 0.297, Central accuracy on global test data 23.115, Local accuracy on global train data 19.290, Local accuracy on local train data 92.867
Round  19, Devices participated 10, Average loss 0.150, Central accuracy on global test data 47.275, Local accuracy on global train data 17.734, Local accuracy on local train data 96.633
Round  20, Devices participated 10, Average loss 0.188, Central accuracy on global test data 19.639, Local accuracy on global train data 19.517, Local accuracy on local train data 95.000
Round  21, Devices participated 10, Average loss 0.227, Central accuracy on global test data 33.516, Local accuracy on global train data 15.886, Local accuracy on local train data 94.667
Round  22, Devices participated 10, Average loss 0.211, Central accuracy on global test data 48.525, Local accuracy on global train data 18.953, Local accuracy on local train data 94.583
Round  23, Devices participated 10, Average loss 0.184, Central accuracy on global test data 22.598, Local accuracy on global train data 20.835, Local accuracy on local train data 95.617
Round  24, Devices participated 10, Average loss 0.181, Central accuracy on global test data 47.480, Local accuracy on global train data 19.663, Local accuracy on local train data 94.883
Round  25, Devices participated 10, Average loss 0.319, Central accuracy on global test data 50.059, Local accuracy on global train data 19.580, Local accuracy on local train data 93.683
Round  26, Devices participated 10, Average loss 0.180, Central accuracy on global test data 43.408, Local accuracy on global train data 18.052, Local accuracy on local train data 95.417
Round  27, Devices participated 10, Average loss 0.200, Central accuracy on global test data 42.393, Local accuracy on global train data 19.561, Local accuracy on local train data 95.250
Round  28, Devices participated 10, Average loss 0.192, Central accuracy on global test data 50.264, Local accuracy on global train data 20.930, Local accuracy on local train data 96.183
Round  29, Devices participated 10, Average loss 0.248, Central accuracy on global test data 43.428, Local accuracy on global train data 20.168, Local accuracy on local train data 93.783
Round  30, Devices participated 10, Average loss 0.154, Central accuracy on global test data 15.713, Local accuracy on global train data 17.461, Local accuracy on local train data 96.417
Round  31, Devices participated 10, Average loss 0.153, Central accuracy on global test data 30.225, Local accuracy on global train data 19.185, Local accuracy on local train data 96.483
Round  32, Devices participated 10, Average loss 0.151, Central accuracy on global test data 57.812, Local accuracy on global train data 19.924, Local accuracy on local train data 96.117
Round  33, Devices participated 10, Average loss 0.150, Central accuracy on global test data 29.844, Local accuracy on global train data 18.511, Local accuracy on local train data 96.017
Round  34, Devices participated 10, Average loss 0.099, Central accuracy on global test data 46.729, Local accuracy on global train data 16.904, Local accuracy on local train data 97.783
Round  35, Devices participated 10, Average loss 0.178, Central accuracy on global test data 44.482, Local accuracy on global train data 19.414, Local accuracy on local train data 95.800
Round  36, Devices participated 10, Average loss 0.162, Central accuracy on global test data 42.598, Local accuracy on global train data 19.409, Local accuracy on local train data 95.300
Round  37, Devices participated 10, Average loss 0.194, Central accuracy on global test data 42.686, Local accuracy on global train data 18.777, Local accuracy on local train data 94.600
Round  38, Devices participated 10, Average loss 0.148, Central accuracy on global test data 52.598, Local accuracy on global train data 19.910, Local accuracy on local train data 96.200
Round  39, Devices participated 10, Average loss 0.163, Central accuracy on global test data 36.523, Local accuracy on global train data 17.231, Local accuracy on local train data 95.717
Round  40, Devices participated 10, Average loss 0.196, Central accuracy on global test data 43.779, Local accuracy on global train data 19.961, Local accuracy on local train data 95.100
Round  41, Devices participated 10, Average loss 0.185, Central accuracy on global test data 46.523, Local accuracy on global train data 21.777, Local accuracy on local train data 95.167
Round  42, Devices participated 10, Average loss 0.148, Central accuracy on global test data 46.182, Local accuracy on global train data 18.381, Local accuracy on local train data 96.483
Round  43, Devices participated 10, Average loss 0.132, Central accuracy on global test data 60.928, Local accuracy on global train data 17.693, Local accuracy on local train data 96.417
Round  44, Devices participated 10, Average loss 0.189, Central accuracy on global test data 44.570, Local accuracy on global train data 19.089, Local accuracy on local train data 94.050
Round  45, Devices participated 10, Average loss 0.158, Central accuracy on global test data 46.074, Local accuracy on global train data 19.924, Local accuracy on local train data 95.700
Round  46, Devices participated 10, Average loss 0.184, Central accuracy on global test data 47.197, Local accuracy on global train data 22.502, Local accuracy on local train data 94.933
Round  47, Devices participated 10, Average loss 0.107, Central accuracy on global test data 58.955, Local accuracy on global train data 17.986, Local accuracy on local train data 97.467
Round  48, Devices participated 10, Average loss 0.135, Central accuracy on global test data 63.906, Local accuracy on global train data 18.760, Local accuracy on local train data 96.167
Round  49, Devices participated 10, Average loss 0.109, Central accuracy on global test data 49.346, Local accuracy on global train data 19.246, Local accuracy on local train data 97.167
Round  50, Devices participated 10, Average loss 0.142, Central accuracy on global test data 44.941, Local accuracy on global train data 19.563, Local accuracy on local train data 96.283
Round  51, Devices participated 10, Average loss 0.138, Central accuracy on global test data 65.635, Local accuracy on global train data 18.521, Local accuracy on local train data 96.233
Round  52, Devices participated 10, Average loss 0.167, Central accuracy on global test data 47.451, Local accuracy on global train data 19.868, Local accuracy on local train data 95.633
Round  53, Devices participated 10, Average loss 0.124, Central accuracy on global test data 33.740, Local accuracy on global train data 19.399, Local accuracy on local train data 96.833
Round  54, Devices participated 10, Average loss 0.112, Central accuracy on global test data 59.053, Local accuracy on global train data 19.548, Local accuracy on local train data 97.033
Round  55, Devices participated 10, Average loss 0.124, Central accuracy on global test data 62.520, Local accuracy on global train data 19.473, Local accuracy on local train data 96.767
Round  56, Devices participated 10, Average loss 0.136, Central accuracy on global test data 70.596, Local accuracy on global train data 21.438, Local accuracy on local train data 96.550
Round  57, Devices participated 10, Average loss 0.097, Central accuracy on global test data 59.658, Local accuracy on global train data 17.644, Local accuracy on local train data 97.517
Round  58, Devices participated 10, Average loss 0.130, Central accuracy on global test data 59.541, Local accuracy on global train data 17.859, Local accuracy on local train data 96.317
Round  59, Devices participated 10, Average loss 0.111, Central accuracy on global test data 68.398, Local accuracy on global train data 19.490, Local accuracy on local train data 96.933
Round  60, Devices participated 10, Average loss 0.134, Central accuracy on global test data 50.723, Local accuracy on global train data 19.846, Local accuracy on local train data 96.117
Round  61, Devices participated 10, Average loss 0.123, Central accuracy on global test data 65.059, Local accuracy on global train data 17.629, Local accuracy on local train data 96.450
Round  62, Devices participated 10, Average loss 0.108, Central accuracy on global test data 52.744, Local accuracy on global train data 18.840, Local accuracy on local train data 97.267
Round  63, Devices participated 10, Average loss 0.119, Central accuracy on global test data 53.369, Local accuracy on global train data 19.910, Local accuracy on local train data 97.350
Round  64, Devices participated 10, Average loss 0.123, Central accuracy on global test data 44.004, Local accuracy on global train data 19.583, Local accuracy on local train data 96.400
Round  65, Devices participated 10, Average loss 0.168, Central accuracy on global test data 62.676, Local accuracy on global train data 20.620, Local accuracy on local train data 94.717
Round  66, Devices participated 10, Average loss 0.116, Central accuracy on global test data 61.104, Local accuracy on global train data 22.434, Local accuracy on local train data 96.850
Round  67, Devices participated 10, Average loss 0.118, Central accuracy on global test data 68.770, Local accuracy on global train data 20.537, Local accuracy on local train data 96.800
Round  68, Devices participated 10, Average loss 0.098, Central accuracy on global test data 59.561, Local accuracy on global train data 20.261, Local accuracy on local train data 97.917
Round  69, Devices participated 10, Average loss 0.081, Central accuracy on global test data 44.258, Local accuracy on global train data 16.890, Local accuracy on local train data 97.650
Round  70, Devices participated 10, Average loss 0.138, Central accuracy on global test data 61.885, Local accuracy on global train data 21.423, Local accuracy on local train data 95.817
Round  71, Devices participated 10, Average loss 0.087, Central accuracy on global test data 64.805, Local accuracy on global train data 18.005, Local accuracy on local train data 97.417
Round  72, Devices participated 10, Average loss 0.116, Central accuracy on global test data 54.756, Local accuracy on global train data 21.812, Local accuracy on local train data 96.950
Round  73, Devices participated 10, Average loss 0.090, Central accuracy on global test data 58.555, Local accuracy on global train data 20.779, Local accuracy on local train data 97.817
Round  74, Devices participated 10, Average loss 0.120, Central accuracy on global test data 51.514, Local accuracy on global train data 19.824, Local accuracy on local train data 96.617
Round  75, Devices participated 10, Average loss 0.133, Central accuracy on global test data 65.469, Local accuracy on global train data 20.378, Local accuracy on local train data 95.917
Round  76, Devices participated 10, Average loss 0.141, Central accuracy on global test data 68.467, Local accuracy on global train data 21.125, Local accuracy on local train data 96.167
Round  77, Devices participated 10, Average loss 0.118, Central accuracy on global test data 62.529, Local accuracy on global train data 17.781, Local accuracy on local train data 96.383
