python main_dfan.py --dataset mnist --model mlp --epochs 500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --ensemble_mode 1 --async_s2d 1 
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ../data/mnist/MNIST/raw/train-images-idx3-ubyte.gz
Extracting ../data/mnist/MNIST/raw/train-images-idx3-ubyte.gz to ../data/mnist/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ../data/mnist/MNIST/raw/train-labels-idx1-ubyte.gz
Extracting ../data/mnist/MNIST/raw/train-labels-idx1-ubyte.gz to ../data/mnist/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ../data/mnist/MNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ../data/mnist/MNIST/raw/t10k-images-idx3-ubyte.gz to ../data/mnist/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ../data/mnist/MNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ../data/mnist/MNIST/raw/t10k-labels-idx1-ubyte.gz to ../data/mnist/MNIST/raw
Processing...
Done!
MLP(
  (layer_input): Linear(in_features=784, out_features=200, bias=True)
  (relu): ReLU()
  (layer_hidden1): Linear(in_features=200, out_features=200, bias=True)
  (layer_hidden2): Linear(in_features=200, out_features=10, bias=True)
)
Round   0, Devices participated 10, Average loss 0.287, Central accuracy on global test data 43.872, Ensemble accuracy on global test data 22.510, Local accuracy on global train data 11.675, Local accuracy on local train data 95.050
Round   1, Devices participated 10, Average loss 0.246, Central accuracy on global test data 65.649, Ensemble accuracy on global test data 23.096, Local accuracy on global train data 9.866, Local accuracy on local train data 97.233
Round   2, Devices participated 10, Average loss 0.239, Central accuracy on global test data 36.255, Ensemble accuracy on global test data 24.512, Local accuracy on global train data 12.417, Local accuracy on local train data 97.283
Round   3, Devices participated 10, Average loss 0.228, Central accuracy on global test data 47.363, Ensemble accuracy on global test data 43.555, Local accuracy on global train data 12.085, Local accuracy on local train data 97.767
Round   4, Devices participated 10, Average loss 0.159, Central accuracy on global test data 54.736, Ensemble accuracy on global test data 56.421, Local accuracy on global train data 24.819, Local accuracy on local train data 97.300
Round   5, Devices participated 10, Average loss 0.150, Central accuracy on global test data 37.231, Ensemble accuracy on global test data 44.214, Local accuracy on global train data 21.289, Local accuracy on local train data 98.400
Round   6, Devices participated 10, Average loss 0.215, Central accuracy on global test data 38.892, Ensemble accuracy on global test data 39.014, Local accuracy on global train data 13.909, Local accuracy on local train data 96.933
Round   7, Devices participated 10, Average loss 0.172, Central accuracy on global test data 46.704, Ensemble accuracy on global test data 28.613, Local accuracy on global train data 19.216, Local accuracy on local train data 98.550
Round   8, Devices participated 10, Average loss 0.170, Central accuracy on global test data 38.110, Ensemble accuracy on global test data 43.262, Local accuracy on global train data 20.088, Local accuracy on local train data 97.700
Round   9, Devices participated 10, Average loss 0.178, Central accuracy on global test data 34.497, Ensemble accuracy on global test data 43.213, Local accuracy on global train data 18.423, Local accuracy on local train data 97.800
Round  10, Devices participated 10, Average loss 0.097, Central accuracy on global test data 52.515, Ensemble accuracy on global test data 54.712, Local accuracy on global train data 28.496, Local accuracy on local train data 98.300
Round  11, Devices participated 10, Average loss 0.131, Central accuracy on global test data 46.069, Ensemble accuracy on global test data 52.856, Local accuracy on global train data 24.780, Local accuracy on local train data 98.633
Round  12, Devices participated 10, Average loss 0.095, Central accuracy on global test data 33.716, Ensemble accuracy on global test data 42.480, Local accuracy on global train data 30.854, Local accuracy on local train data 97.883
Round  13, Devices participated 10, Average loss 0.092, Central accuracy on global test data 48.608, Ensemble accuracy on global test data 63.159, Local accuracy on global train data 29.580, Local accuracy on local train data 98.667
Round  14, Devices participated 10, Average loss 0.109, Central accuracy on global test data 55.591, Ensemble accuracy on global test data 68.506, Local accuracy on global train data 28.765, Local accuracy on local train data 98.533
Round  15, Devices participated 10, Average loss 0.106, Central accuracy on global test data 48.560, Ensemble accuracy on global test data 62.793, Local accuracy on global train data 28.479, Local accuracy on local train data 98.450
Round  16, Devices participated 10, Average loss 0.142, Central accuracy on global test data 51.807, Ensemble accuracy on global test data 58.716, Local accuracy on global train data 26.975, Local accuracy on local train data 98.550
