python main_dfan.py --dataset mnist --model mlp --epochs 500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --ensemble_mode 0 --async_s2d 1
MLP(
  (layer_input): Linear(in_features=784, out_features=200, bias=True)
  (relu): ReLU()
  (layer_hidden1): Linear(in_features=200, out_features=200, bias=True)
  (layer_hidden2): Linear(in_features=200, out_features=10, bias=True)
)
Round   0, Devices participated 10, Average loss 0.287, Central accuracy on global test data 24.976, Ensemble accuracy on global test data 21.924, Local accuracy on global train data 11.675, Local accuracy on local train data 95.050
Round   1, Devices participated 10, Average loss 0.247, Central accuracy on global test data 20.801, Ensemble accuracy on global test data 22.803, Local accuracy on global train data 10.081, Local accuracy on local train data 97.150
Round   2, Devices participated 10, Average loss 0.234, Central accuracy on global test data 17.822, Ensemble accuracy on global test data 17.212, Local accuracy on global train data 10.908, Local accuracy on local train data 97.267
Round   3, Devices participated 10, Average loss 0.224, Central accuracy on global test data 37.598, Ensemble accuracy on global test data 38.037, Local accuracy on global train data 9.866, Local accuracy on local train data 97.883
Round   4, Devices participated 10, Average loss 0.159, Central accuracy on global test data 37.622, Ensemble accuracy on global test data 36.572, Local accuracy on global train data 16.917, Local accuracy on local train data 97.150
Round   5, Devices participated 10, Average loss 0.178, Central accuracy on global test data 38.013, Ensemble accuracy on global test data 38.428, Local accuracy on global train data 15.503, Local accuracy on local train data 98.383
Round   6, Devices participated 10, Average loss 0.229, Central accuracy on global test data 32.739, Ensemble accuracy on global test data 33.130, Local accuracy on global train data 12.236, Local accuracy on local train data 96.950
Round   7, Devices participated 10, Average loss 0.219, Central accuracy on global test data 51.709, Ensemble accuracy on global test data 48.608, Local accuracy on global train data 13.481, Local accuracy on local train data 98.400
Round   8, Devices participated 10, Average loss 0.188, Central accuracy on global test data 19.775, Ensemble accuracy on global test data 20.093, Local accuracy on global train data 13.513, Local accuracy on local train data 97.533
Round   9, Devices participated 10, Average loss 0.192, Central accuracy on global test data 38.403, Ensemble accuracy on global test data 43.237, Local accuracy on global train data 15.759, Local accuracy on local train data 97.733
Round  10, Devices participated 10, Average loss 0.105, Central accuracy on global test data 27.271, Ensemble accuracy on global test data 26.880, Local accuracy on global train data 16.362, Local accuracy on local train data 98.350
Round  11, Devices participated 10, Average loss 0.123, Central accuracy on global test data 54.590, Ensemble accuracy on global test data 53.369, Local accuracy on global train data 18.369, Local accuracy on local train data 98.633
Round  12, Devices participated 10, Average loss 0.132, Central accuracy on global test data 50.610, Ensemble accuracy on global test data 50.000, Local accuracy on global train data 21.028, Local accuracy on local train data 97.483
Round  13, Devices participated 10, Average loss 0.347, Central accuracy on global test data 60.938, Ensemble accuracy on global test data 59.912, Local accuracy on global train data 21.350, Local accuracy on local train data 97.400
Round  14, Devices participated 10, Average loss 0.116, Central accuracy on global test data 54.688, Ensemble accuracy on global test data 53.125, Local accuracy on global train data 23.594, Local accuracy on local train data 98.683
Round  15, Devices participated 10, Average loss 0.137, Central accuracy on global test data 42.822, Ensemble accuracy on global test data 45.044, Local accuracy on global train data 20.125, Local accuracy on local train data 98.533
Round  16, Devices participated 10, Average loss 0.130, Central accuracy on global test data 54.688, Ensemble accuracy on global test data 55.566, Local accuracy on global train data 22.627, Local accuracy on local train data 98.767
Round  17, Devices participated 10, Average loss 0.152, Central accuracy on global test data 50.830, Ensemble accuracy on global test data 53.125, Local accuracy on global train data 24.255, Local accuracy on local train data 97.750
Round  18, Devices participated 10, Average loss 0.072, Central accuracy on global test data 55.518, Ensemble accuracy on global test data 55.811, Local accuracy on global train data 28.281, Local accuracy on local train data 99.133
Round  19, Devices participated 10, Average loss 0.108, Central accuracy on global test data 44.556, Ensemble accuracy on global test data 44.043, Local accuracy on global train data 27.134, Local accuracy on local train data 98.900
Round  20, Devices participated 10, Average loss 0.144, Central accuracy on global test data 60.522, Ensemble accuracy on global test data 61.377, Local accuracy on global train data 26.895, Local accuracy on local train data 98.200
Round  21, Devices participated 10, Average loss 0.092, Central accuracy on global test data 56.714, Ensemble accuracy on global test data 58.252, Local accuracy on global train data 28.274, Local accuracy on local train data 98.483
Round  22, Devices participated 10, Average loss 0.088, Central accuracy on global test data 51.245, Ensemble accuracy on global test data 53.662, Local accuracy on global train data 24.883, Local accuracy on local train data 98.667
Round  23, Devices participated 10, Average loss 0.114, Central accuracy on global test data 57.153, Ensemble accuracy on global test data 56.885, Local accuracy on global train data 27.976, Local accuracy on local train data 98.883
Round  24, Devices participated 10, Average loss 0.125, Central accuracy on global test data 56.812, Ensemble accuracy on global test data 56.982, Local accuracy on global train data 36.406, Local accuracy on local train data 98.650
Round  25, Devices participated 10, Average loss 0.157, Central accuracy on global test data 66.113, Ensemble accuracy on global test data 65.552, Local accuracy on global train data 25.789, Local accuracy on local train data 98.200
Round  26, Devices participated 10, Average loss 0.196, Central accuracy on global test data 54.956, Ensemble accuracy on global test data 55.933, Local accuracy on global train data 28.159, Local accuracy on local train data 97.800
Round  27, Devices participated 10, Average loss 0.035, Central accuracy on global test data 59.082, Ensemble accuracy on global test data 61.255, Local accuracy on global train data 34.285, Local accuracy on local train data 99.417
Round  28, Devices participated 10, Average loss 0.055, Central accuracy on global test data 58.911, Ensemble accuracy on global test data 58.374, Local accuracy on global train data 27.603, Local accuracy on local train data 99.117
Round  29, Devices participated 10, Average loss 0.185, Central accuracy on global test data 64.429, Ensemble accuracy on global test data 63.647, Local accuracy on global train data 28.176, Local accuracy on local train data 98.100
Round  30, Devices participated 10, Average loss 0.123, Central accuracy on global test data 56.641, Ensemble accuracy on global test data 57.788, Local accuracy on global train data 23.933, Local accuracy on local train data 98.750
Round  31, Devices participated 10, Average loss 0.188, Central accuracy on global test data 60.571, Ensemble accuracy on global test data 61.792, Local accuracy on global train data 34.558, Local accuracy on local train data 98.067
Round  32, Devices participated 10, Average loss 0.067, Central accuracy on global test data 10.522, Ensemble accuracy on global test data 59.863, Local accuracy on global train data 31.187, Local accuracy on local train data 98.983
Round  33, Devices participated 10, Average loss 0.129, Central accuracy on global test data 65.112, Ensemble accuracy on global test data 65.552, Local accuracy on global train data 30.054, Local accuracy on local train data 98.633
Round  34, Devices participated 10, Average loss 0.076, Central accuracy on global test data 51.807, Ensemble accuracy on global test data 54.663, Local accuracy on global train data 24.192, Local accuracy on local train data 98.883
Round  35, Devices participated 10, Average loss 0.324, Central accuracy on global test data 60.083, Ensemble accuracy on global test data 59.937, Local accuracy on global train data 26.416, Local accuracy on local train data 97.167
Round  36, Devices participated 10, Average loss 0.209, Central accuracy on global test data 55.688, Ensemble accuracy on global test data 55.908, Local accuracy on global train data 23.337, Local accuracy on local train data 97.717
Round  37, Devices participated 10, Average loss 0.161, Central accuracy on global test data 53.955, Ensemble accuracy on global test data 56.274, Local accuracy on global train data 25.750, Local accuracy on local train data 97.800
Round  38, Devices participated 10, Average loss 0.056, Central accuracy on global test data 67.114, Ensemble accuracy on global test data 67.407, Local accuracy on global train data 29.712, Local accuracy on local train data 99.150
Round  39, Devices participated 10, Average loss 0.150, Central accuracy on global test data 66.504, Ensemble accuracy on global test data 67.261, Local accuracy on global train data 29.617, Local accuracy on local train data 98.317
Round  40, Devices participated 10, Average loss 0.207, Central accuracy on global test data 58.154, Ensemble accuracy on global test data 59.229, Local accuracy on global train data 26.013, Local accuracy on local train data 97.800
Round  41, Devices participated 10, Average loss 0.229, Central accuracy on global test data 63.989, Ensemble accuracy on global test data 63.843, Local accuracy on global train data 29.504, Local accuracy on local train data 97.900
Round  42, Devices participated 10, Average loss 0.081, Central accuracy on global test data 63.867, Ensemble accuracy on global test data 62.817, Local accuracy on global train data 29.805, Local accuracy on local train data 99.033
Round  43, Devices participated 10, Average loss 0.167, Central accuracy on global test data 67.261, Ensemble accuracy on global test data 68.994, Local accuracy on global train data 30.273, Local accuracy on local train data 97.933
Round  44, Devices participated 10, Average loss 0.124, Central accuracy on global test data 66.577, Ensemble accuracy on global test data 66.016, Local accuracy on global train data 36.682, Local accuracy on local train data 98.517
Round  45, Devices participated 10, Average loss 0.157, Central accuracy on global test data 68.384, Ensemble accuracy on global test data 68.286, Local accuracy on global train data 39.023, Local accuracy on local train data 98.217
Round  46, Devices participated 10, Average loss 0.121, Central accuracy on global test data 63.086, Ensemble accuracy on global test data 65.430, Local accuracy on global train data 36.973, Local accuracy on local train data 98.250
Round  47, Devices participated 10, Average loss 0.218, Central accuracy on global test data 63.184, Ensemble accuracy on global test data 64.355, Local accuracy on global train data 33.257, Local accuracy on local train data 97.883
Round  48, Devices participated 10, Average loss 0.089, Central accuracy on global test data 66.602, Ensemble accuracy on global test data 67.358, Local accuracy on global train data 38.647, Local accuracy on local train data 98.867
Round  49, Devices participated 10, Average loss 0.209, Central accuracy on global test data 62.134, Ensemble accuracy on global test data 62.109, Local accuracy on global train data 25.576, Local accuracy on local train data 97.850
Round  50, Devices participated 10, Average loss 0.116, Central accuracy on global test data 65.430, Ensemble accuracy on global test data 64.087, Local accuracy on global train data 36.816, Local accuracy on local train data 98.617
Round  51, Devices participated 10, Average loss 0.116, Central accuracy on global test data 67.700, Ensemble accuracy on global test data 67.676, Local accuracy on global train data 33.271, Local accuracy on local train data 98.767
Round  52, Devices participated 10, Average loss 0.042, Central accuracy on global test data 9.717, Ensemble accuracy on global test data 64.209, Local accuracy on global train data 27.686, Local accuracy on local train data 99.217
Round  53, Devices participated 10, Average loss 0.181, Central accuracy on global test data 67.725, Ensemble accuracy on global test data 67.236, Local accuracy on global train data 31.785, Local accuracy on local train data 98.000
Round  54, Devices participated 10, Average loss 0.042, Central accuracy on global test data 62.598, Ensemble accuracy on global test data 62.769, Local accuracy on global train data 32.214, Local accuracy on local train data 99.233
Round  55, Devices participated 10, Average loss 0.176, Central accuracy on global test data 66.895, Ensemble accuracy on global test data 67.041, Local accuracy on global train data 30.801, Local accuracy on local train data 97.767
Round  56, Devices participated 10, Average loss 0.181, Central accuracy on global test data 64.941, Ensemble accuracy on global test data 66.211, Local accuracy on global train data 37.188, Local accuracy on local train data 98.333
Round  57, Devices participated 10, Average loss 0.176, Central accuracy on global test data 64.648, Ensemble accuracy on global test data 66.138, Local accuracy on global train data 36.528, Local accuracy on local train data 98.017
Round  58, Devices participated 10, Average loss 0.053, Central accuracy on global test data 54.321, Ensemble accuracy on global test data 56.494, Local accuracy on global train data 34.841, Local accuracy on local train data 99.300
Round  59, Devices participated 10, Average loss 0.126, Central accuracy on global test data 53.735, Ensemble accuracy on global test data 67.114, Local accuracy on global train data 34.324, Local accuracy on local train data 98.733
Round  60, Devices participated 10, Average loss 0.120, Central accuracy on global test data 68.066, Ensemble accuracy on global test data 67.725, Local accuracy on global train data 30.942, Local accuracy on local train data 98.667
Round  61, Devices participated 10, Average loss 0.202, Central accuracy on global test data 64.209, Ensemble accuracy on global test data 64.966, Local accuracy on global train data 28.977, Local accuracy on local train data 97.967
Round  62, Devices participated 10, Average loss 0.138, Central accuracy on global test data 61.523, Ensemble accuracy on global test data 61.890, Local accuracy on global train data 36.501, Local accuracy on local train data 98.350
Round  63, Devices participated 10, Average loss 0.241, Central accuracy on global test data 66.943, Ensemble accuracy on global test data 69.775, Local accuracy on global train data 25.669, Local accuracy on local train data 97.550
Round  64, Devices participated 10, Average loss 0.122, Central accuracy on global test data 61.646, Ensemble accuracy on global test data 62.964, Local accuracy on global train data 31.233, Local accuracy on local train data 98.750
Round  65, Devices participated 10, Average loss 0.214, Central accuracy on global test data 69.019, Ensemble accuracy on global test data 70.850, Local accuracy on global train data 24.907, Local accuracy on local train data 98.283
Round  66, Devices participated 10, Average loss 0.130, Central accuracy on global test data 63.696, Ensemble accuracy on global test data 63.623, Local accuracy on global train data 34.666, Local accuracy on local train data 98.500
Round  67, Devices participated 10, Average loss 0.187, Central accuracy on global test data 63.477, Ensemble accuracy on global test data 62.598, Local accuracy on global train data 31.018, Local accuracy on local train data 98.067
Round  68, Devices participated 10, Average loss 0.186, Central accuracy on global test data 69.092, Ensemble accuracy on global test data 68.701, Local accuracy on global train data 34.136, Local accuracy on local train data 98.400
Round  69, Devices participated 10, Average loss 0.034, Central accuracy on global test data 68.555, Ensemble accuracy on global test data 70.020, Local accuracy on global train data 36.941, Local accuracy on local train data 99.383
Round  70, Devices participated 10, Average loss 0.169, Central accuracy on global test data 10.083, Ensemble accuracy on global test data 64.575, Local accuracy on global train data 27.617, Local accuracy on local train data 98.367
Round  71, Devices participated 10, Average loss 0.136, Central accuracy on global test data 66.846, Ensemble accuracy on global test data 66.040, Local accuracy on global train data 34.458, Local accuracy on local train data 98.267
Round  72, Devices participated 10, Average loss 0.065, Central accuracy on global test data 14.111, Ensemble accuracy on global test data 68.066, Local accuracy on global train data 32.397, Local accuracy on local train data 99.150
Round  73, Devices participated 10, Average loss 0.120, Central accuracy on global test data 30.078, Ensemble accuracy on global test data 63.599, Local accuracy on global train data 25.967, Local accuracy on local train data 98.367
Round  74, Devices participated 10, Average loss 0.111, Central accuracy on global test data 68.628, Ensemble accuracy on global test data 67.236, Local accuracy on global train data 28.882, Local accuracy on local train data 98.617
Round  75, Devices participated 10, Average loss 0.192, Central accuracy on global test data 55.835, Ensemble accuracy on global test data 58.838, Local accuracy on global train data 22.004, Local accuracy on local train data 97.633
Round  76, Devices participated 10, Average loss 0.114, Central accuracy on global test data 66.821, Ensemble accuracy on global test data 67.700, Local accuracy on global train data 32.891, Local accuracy on local train data 98.650
Round  77, Devices participated 10, Average loss 0.133, Central accuracy on global test data 30.371, Ensemble accuracy on global test data 61.157, Local accuracy on global train data 29.500, Local accuracy on local train data 98.633
Round  78, Devices participated 10, Average loss 0.126, Central accuracy on global test data 66.309, Ensemble accuracy on global test data 68.896, Local accuracy on global train data 27.080, Local accuracy on local train data 98.333
Round  79, Devices participated 10, Average loss 0.088, Central accuracy on global test data 62.622, Ensemble accuracy on global test data 63.452, Local accuracy on global train data 29.817, Local accuracy on local train data 98.950
Round  80, Devices participated 10, Average loss 0.051, Central accuracy on global test data 69.727, Ensemble accuracy on global test data 69.482, Local accuracy on global train data 29.297, Local accuracy on local train data 99.117
Round  81, Devices participated 10, Average loss 0.057, Central accuracy on global test data 62.939, Ensemble accuracy on global test data 63.867, Local accuracy on global train data 29.978, Local accuracy on local train data 99.350
Round  82, Devices participated 10, Average loss 0.038, Central accuracy on global test data 60.034, Ensemble accuracy on global test data 62.329, Local accuracy on global train data 34.778, Local accuracy on local train data 99.317
Round  83, Devices participated 10, Average loss 0.193, Central accuracy on global test data 67.773, Ensemble accuracy on global test data 68.262, Local accuracy on global train data 25.659, Local accuracy on local train data 98.033
Round  84, Devices participated 10, Average loss 0.164, Central accuracy on global test data 68.018, Ensemble accuracy on global test data 69.336, Local accuracy on global train data 31.160, Local accuracy on local train data 98.450
Round  85, Devices participated 10, Average loss 0.065, Central accuracy on global test data 64.575, Ensemble accuracy on global test data 65.381, Local accuracy on global train data 29.089, Local accuracy on local train data 98.900
